scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,1349.852,4,1024,337.463,1.31821484375,True
D1,decode,3972.975,4,1024,993.24375,3.8798583984375,True
P0,prefill,4523.826,4,1024,1130.9565,4.417798828125,True
P1,prefill,4569.873,4,1024,1142.46825,4.4627666015625,True
P_pool,prefill,9093.699,4,1024,2273.42475,8.8805654296875,True
D_pool,decode,5322.827,4,1024,1330.70675,5.1980732421875,True
all_GPU_boards,all,14416.526000000002,4,1024,3604.1315000000004,14.078638671875002,True
