canary_active_at_end,canary_active_at_start,control_inclusive_ttft_ms,d_mhz,duration_s,end,endpoints,energy_j,frequency_changed,frequency_source,inference,mean_power_w,observed_output_tokens,p_mhz,phase,request_id,service_sequence,settle_wait_s,start,table_hit,table_revision,tpot_ms,ttft_ms,window_index,window_request_index,workload_id
small_light,small_light,177.96969413757324,1500,3.70803165435791,1788695619.212796,"{""P1"": {""energy_j"": 300.24435886740685, ""clock_match_fraction"": null, ""mean_power_w"": 80.9713580828095, ""samples"": 36}, ""D1"": {""energy_j"": 245.23370745033026, ""clock_match_fraction"": null, ""mean_power_w"": 66.13581822100043, ""samples"": 33}}",545.4780663177371,False,safe_high,"{""start"": 1788695615.5085027, ""end"": 1788695619.212796, ""duration_s"": 3.7042932510375977, ""energy_j"": 544.8445544205606, ""mean_power_w"": 147.08461709070846, ""endpoints"": {""P1"": {""energy_j"": 299.6869351565838, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.9025945968612, ""samples"": 36}, ""D1"": {""energy_j"": 245.1576192639768, ""clock_match_fraction"": 1.0, ""mean_power_w"": 66.18202249384724, ""samples"": 33}}}",147.10717630380992,64,2520,production,production-00011,11,0.0,1788695615.5047643,False,0,55.956063380036206,174.22683804761618,1,11,small_light
small_light,small_light,208.50253105163574,1500,3.7383408546447754,1788695628.109937,"{""P1"": {""energy_j"": 309.48556447029114, ""clock_match_fraction"": null, ""mean_power_w"": 82.78687698735783, ""samples"": 36}, ""D1"": {""energy_j"": 244.07591377943754, ""clock_match_fraction"": null, ""mean_power_w"": 65.28990353466047, ""samples"": 32}}",553.5614782497287,False,safe_high,"{""start"": 1788695624.376387, ""end"": 1788695628.109937, ""duration_s"": 3.7335500717163086, ""energy_j"": 553.0181879363954, ""mean_power_w"": 148.12127259945214, ""endpoints"": {""P1"": {""energy_j"": 309.13430389761925, ""clock_match_fraction"": 1.0, ""mean_power_w"": 82.79902451007187, ""samples"": 36}, ""D1"": {""energy_j"": 243.88388403877616, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.32224808938025, ""samples"": 32}}}",148.07678052201828,64,2520,production,production-00012,12,0.0,1788695624.371596,False,0,55.95087172973546,203.70729896239936,1,12,small_light
small_light,small_light,207.34047889709473,1500,3.7357683181762695,1788695636.9027572,"{""P1"": {""energy_j"": 302.81932723522186, ""clock_match_fraction"": null, ""mean_power_w"": 81.05945054511636, ""samples"": 36}, ""D1"": {""energy_j"": 242.88475002348423, ""clock_match_fraction"": null, ""mean_power_w"": 65.01600991735374, ""samples"": 33}}",545.7040772587061,False,safe_high,"{""start"": 1788695633.1721346, ""end"": 1788695636.9027572, ""duration_s"": 3.7306225299835205, ""energy_j"": 545.1482918076217, ""mean_power_w"": 146.12796856990778, ""endpoints"": {""P1"": {""energy_j"": 302.44635140895844, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.07128206570243, ""samples"": 36}, ""D1"": {""energy_j"": 242.70194039866328, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.05668650420535, ""samples"": 32}}}",146.0754604624701,64,2520,production,production-00013,13,0.0,1788695633.1669888,False,0,55.94303144422907,202.192471944727,1,13,small_light
small_light,small_light,170.5646514892578,1500,3.698373794555664,1788695645.6569567,"{""P1"": {""energy_j"": 298.9302884042263, ""clock_match_fraction"": null, ""mean_power_w"": 80.82749473411215, ""samples"": 35}, ""D1"": {""energy_j"": 246.21024065464735, ""clock_match_fraction"": null, ""mean_power_w"": 66.57256792623038, ""samples"": 32}}",545.1405290588737,False,safe_high,"{""start"": 1788695641.9625587, ""end"": 1788695645.6569567, ""duration_s"": 3.6943979263305664, ""energy_j"": 544.6663287803531, ""mean_power_w"": 147.43033632041335, ""endpoints"": {""P1"": {""energy_j"": 298.53673389554024, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.80795297328993, ""samples"": 35}, ""D1"": {""energy_j"": 246.12959488481283, ""clock_match_fraction"": 1.0, ""mean_power_w"": 66.62238334712342, ""samples"": 32}}}",147.40006266034254,64,2520,production,production-00014,14,0.0,1788695641.9585829,False,0,55.949625411322195,166.58415109850466,1,14,small_light
small_light,small_light,171.0822582244873,1500,3.6987686157226562,1788695654.409934,"{""P1"": {""energy_j"": 306.57363188266754, ""clock_match_fraction"": null, ""mean_power_w"": 82.88532312605068, ""samples"": 35}, ""D1"": {""energy_j"": 245.04782992228866, ""clock_match_fraction"": null, ""mean_power_w"": 66.25119205365914, ""samples"": 33}}",551.6214618049562,False,safe_high,"{""start"": 1788695650.7144938, ""end"": 1788695654.409934, ""duration_s"": 3.6954402923583984, ""energy_j"": 550.8882813118398, ""mean_power_w"": 149.07243460298682, ""endpoints"": {""P1"": {""energy_j"": 305.90841242671013, ""clock_match_fraction"": 1.0, ""mean_power_w"": 82.77996347533517, ""samples"": 35}, ""D1"": {""energy_j"": 244.9798688851297, ""clock_match_fraction"": 1.0, ""mean_power_w"": 66.29247112765165, ""samples"": 33}}}",149.13651517970982,64,2520,production,production-00015,15,0.0,1788695650.7111654,False,0,55.950876730050716,167.75397397577763,1,15,small_light
small_light,small_light,174.34096336364746,1500,3.7031164169311523,1788695663.2697992,"{""P1"": {""energy_j"": 308.0836892426014, ""clock_match_fraction"": null, ""mean_power_w"": 83.19578823771265, ""samples"": 36}, ""D1"": {""energy_j"": 243.7025382630527, ""clock_match_fraction"": null, ""mean_power_w"": 65.81012067263441, ""samples"": 32}}",551.7862275056541,False,safe_high,"{""start"": 1788695659.570101, ""end"": 1788695663.2697992, ""duration_s"": 3.6996982097625732, ""energy_j"": 551.3963467776775, ""mean_power_w"": 149.0381959595194, ""endpoints"": {""P1"": {""energy_j"": 307.83629593253136, ""clock_match_fraction"": 1.0, ""mean_power_w"": 83.2057855746798, ""samples"": 36}, ""D1"": {""energy_j"": 243.56005084514618, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.83241038483962, ""samples"": 32}}}",149.00590891034707,64,2520,production,production-00016,16,0.0,1788695659.5666828,False,0,55.95079638130431,170.91896501369774,1,16,small_light
small_light,small_light,171.96297645568848,1500,3.698996067047119,1788695672.076166,"{""P1"": {""energy_j"": 299.2067318558693, ""clock_match_fraction"": null, ""mean_power_w"": 80.88863205921811, ""samples"": 35}, ""D1"": {""energy_j"": 245.16654727235436, ""clock_match_fraction"": null, ""mean_power_w"": 66.27921274543797, ""samples"": 33}}",544.3732791282237,False,safe_high,"{""start"": 1788695668.380809, ""end"": 1788695672.076166, ""duration_s"": 3.695356845855713, ""energy_j"": 544.0251326449215, ""mean_power_w"": 147.218565171869, ""endpoints"": {""P1"": {""energy_j"": 298.9321251511574, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.89398064124856, ""samples"": 35}, ""D1"": {""energy_j"": 245.09300749376416, ""clock_match_fraction"": 1.0, ""mean_power_w"": 66.32458453062044, ""samples"": 33}}}",147.16784480465608,64,2520,production,production-00017,17,0.0,1788695668.3771698,False,0,55.931425586874994,168.31814497709274,1,17,small_light
small_light,small_light,175.81772804260254,1500,3.7098827362060547,1788695680.9422028,"{""P1"": {""energy_j"": 300.6668329834938, ""clock_match_fraction"": null, ""mean_power_w"": 81.04483466530628, ""samples"": 35}, ""D1"": {""energy_j"": 245.73914719745517, ""clock_match_fraction"": null, ""mean_power_w"": 66.23906055013549, ""samples"": 32}}",546.405980180949,False,safe_high,"{""start"": 1788695677.2358522, ""end"": 1788695680.9422028, ""duration_s"": 3.706350564956665, ""energy_j"": 545.9414111785591, ""mean_power_w"": 147.2989134758067, ""endpoints"": {""P1"": {""energy_j"": 300.2738136947155, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.01603138510086, ""samples"": 35}, ""D1"": {""energy_j"": 245.66759748384356, ""clock_match_fraction"": 1.0, ""mean_power_w"": 66.28288209070583, ""samples"": 32}}}",147.28389521544176,64,2520,production,production-00018,18,0.0,1788695677.23232,False,0,55.965047492276106,172.2836410626769,1,18,small_light
small_light,small_light,173.6607551574707,1500,3.7040364742279053,1788695689.7520697,"{""P1"": {""energy_j"": 307.18476155400276, ""clock_match_fraction"": null, ""mean_power_w"": 82.93243430277896, ""samples"": 36}, ""D1"": {""energy_j"": 245.20150205492973, ""clock_match_fraction"": null, ""mean_power_w"": 66.19845775304931, ""samples"": 32}}",552.3862636089325,False,safe_high,"{""start"": 1788695686.0529535, ""end"": 1788695689.7520697, ""duration_s"": 3.6991162300109863, ""energy_j"": 551.8214216791093, ""mean_power_w"": 149.17655660618982, ""endpoints"": {""P1"": {""energy_j"": 306.82571309804916, ""clock_match_fraction"": 1.0, ""mean_power_w"": 82.94568054087284, ""samples"": 36}, ""D1"": {""energy_j"": 244.99570858106017, ""clock_match_fraction"": 1.0, ""mean_power_w"": 66.23087606531696, ""samples"": 32}}}",149.13089205582827,64,2520,production,production-00019,19,0.0,1788695686.0480332,False,0,55.953917492713245,168.73634106013924,1,19,small_light
,small_light,204.10609245300293,1500,3.734626531600952,1788695698.5921197,"{""P1"": {""energy_j"": 302.9444371163845, ""clock_match_fraction"": null, ""mean_power_w"": 81.11773280487002, ""samples"": 37}, ""D1"": {""energy_j"": 245.09246575459838, ""clock_match_fraction"": null, ""mean_power_w"": 65.6270349071645, ""samples"": 33}}",548.0369028709829,False,safe_high,"{""start"": 1788695694.8616085, ""end"": 1788695698.5921197, ""duration_s"": 3.73051118850708, ""energy_j"": 547.5625537447631, ""mean_power_w"": 146.77949644855326, ""endpoints"": {""P1"": {""energy_j"": 302.6421006321907, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.12617422635464, ""samples"": 36}, ""D1"": {""energy_j"": 244.92045311257243, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.65332222219861, ""samples"": 33}}}",146.74476771203453,64,2520,production,production-00020,20,0.0,1788695694.8574932,False,0,55.95688649179739,199.9872070737183,1,20,small_light
