seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,threshold_long_prompt,48.592752,12,3388.180461,2517.458714,5905.639176,1.640455327,121.533336,492.136598
2,long_decode,154.079548,12,12124.529707,10420.829396,22545.359103,6.262599751,146.322854,1878.779925
3,moderate_balanced,56.912757,50,3949.731576,3356.817646,7306.549222,2.029597006,128.381571,146.130984
4,extreme_short_rps,160.446046,500,11981.198367,10972.053316,22953.251683,6.375903245,143.059005,45.906503
5,long_prompt_high_rate,66.773182,50,5873.15872,3864.50336,9737.66208,2.704906133,145.831931,194.753242
6,very_long_prompt_r1,46.29056,12,3307.302312,2553.053486,5860.355797,1.62787661,126.599371,488.362983
7,very_long_prompt_r2,45.526283,24,3153.626664,2673.083187,5826.709851,1.618530514,127.985627,242.779577
