unix_ts,host,gpu_index,gpu_uuid,power_w,sm_clock_mhz,gpu_util_pct
1786139774.683473,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.96,210.0,0.0
1786139775.184003,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.71,210.0,0.0
1786139775.184003,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139775.184003,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139775.184003,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.96,210.0,0.0
1786139775.684501,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.77,210.0,0.0
1786139775.684501,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139775.684501,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139775.684501,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.96,210.0,0.0
1786139776.185002,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.77,210.0,0.0
1786139776.185002,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139776.185002,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139776.185002,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.96,210.0,0.0
1786139776.687580,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.72,210.0,0.0
1786139776.687580,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139776.687580,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139776.687580,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.96,210.0,0.0
1786139777.188146,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.72,210.0,0.0
1786139777.188146,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139777.188146,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139777.188146,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.84,210.0,0.0
1786139777.688636,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.67,210.0,0.0
1786139777.688636,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139777.688636,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139777.688636,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.84,210.0,0.0
1786139778.189099,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.67,210.0,0.0
1786139778.189099,uranus,1,GPU-f86d44b5-2a98-9fec-5dfa-846305de5c6e,32.36,210.0,0.0
1786139778.189099,uranus,2,GPU-486e3468-ebed-0ab2-d394-075b52e54509,31.4,210.0,0.0
1786139778.189099,uranus,3,GPU-cf1b5b7d-8763-6525-9981-6475b78f93ef,32.83,210.0,0.0
1786139778.689592,uranus,0,GPU-6755bd3b-01b2-2c3d-ffd4-0bd39bfa5cbf,31.67,210.0,0.0
