unix_ts,iso_ts,index,clocks_gr_mhz,clocks_sm_mhz,clocks_mem_mhz,max_gr_mhz,power_w,power_limit_w,util_gpu_pct,memory_used_mib,temperature_c
1784549276.511892,2026-07-20T14:07:56+02:00,0, 210, 210, 405, 2520, 30.87, 350.00, 0, 0, 22
1784549281.630389,2026-07-20T14:08:01+02:00,0, 210, 210, 405, 2520, 30.89, 350.00, 0, 0, 22
1784549286.715955,2026-07-20T14:08:06+02:00,0, 990, 990, 9001, 2520, 60.01, 350.00, 0, 0, 23
1784549291.806118,2026-07-20T14:08:11+02:00,0, 990, 990, 9001, 2520, 137.26, 350.00, 100, 437, 30
1784549296.882348,2026-07-20T14:08:16+02:00,0, 990, 990, 9001, 2520, 134.27, 350.00, 100, 437, 31
1784549301.946025,2026-07-20T14:08:21+02:00,0, 990, 990, 9001, 2520, 134.30, 350.00, 100, 437, 32
1784549307.021584,2026-07-20T14:08:27+02:00,0, 990, 990, 9001, 2520, 134.93, 350.00, 100, 437, 33
1784549312.082012,2026-07-20T14:08:32+02:00,0, 990, 990, 9001, 2520, 136.27, 350.00, 100, 437, 33
1784549317.141062,2026-07-20T14:08:37+02:00,0, 990, 990, 9001, 2520, 135.77, 350.00, 100, 437, 34
1784549322.203774,2026-07-20T14:08:42+02:00,0, 990, 990, 9001, 2520, 135.65, 350.00, 100, 437, 35
1784549327.266468,2026-07-20T14:08:47+02:00,0, 990, 990, 9001, 2520, 135.74, 350.00, 100, 437, 35
1784549332.333817,2026-07-20T14:08:52+02:00,0, 990, 990, 9001, 2520, 136.63, 350.00, 100, 437, 36
1784549337.395123,2026-07-20T14:08:57+02:00,0, 990, 990, 9001, 2520, 135.37, 350.00, 100, 437, 36
1784549342.455464,2026-07-20T14:09:02+02:00,0, 990, 990, 9001, 2520, 134.80, 350.00, 100, 437, 36
1784549347.518060,2026-07-20T14:09:07+02:00,0, 990, 990, 9001, 2520, 134.85, 350.00, 100, 437, 37
1784549352.580518,2026-07-20T14:09:12+02:00,0, 990, 990, 9001, 2520, 135.84, 350.00, 100, 437, 37
1784549357.643533,2026-07-20T14:09:17+02:00,0, 990, 990, 9001, 2520, 135.64, 350.00, 100, 437, 37
1784549362.705461,2026-07-20T14:09:22+02:00,0, 990, 990, 9001, 2520, 135.01, 350.00, 100, 437, 38
1784549367.775217,2026-07-20T14:09:27+02:00,0, 990, 990, 9001, 2520, 135.15, 350.00, 100, 437, 38
1784549372.838616,2026-07-20T14:09:32+02:00,0, 990, 990, 9001, 2520, 135.65, 350.00, 100, 437, 38
1784549377.900161,2026-07-20T14:09:37+02:00,0, 990, 990, 9001, 2520, 136.24, 350.00, 100, 437, 38
1784549382.967126,2026-07-20T14:09:42+02:00,0, 990, 990, 9001, 2520, 135.51, 350.00, 100, 437, 38
1784549388.026129,2026-07-20T14:09:48+02:00,0, 990, 990, 9001, 2520, 135.30, 350.00, 100, 437, 38
1784549393.088542,2026-07-20T14:09:53+02:00,0, 990, 990, 9001, 2520, 135.70, 350.00, 100, 437, 39
1784549398.154627,2026-07-20T14:09:58+02:00,0, 990, 990, 9001, 2520, 136.60, 350.00, 100, 437, 39
1784549403.219855,2026-07-20T14:10:03+02:00,0, 990, 990, 9001, 2520, 136.30, 350.00, 100, 437, 39
1784549408.283075,2026-07-20T14:10:08+02:00,0, 990, 990, 9001, 2520, 135.67, 350.00, 100, 437, 39
1784549413.348357,2026-07-20T14:10:13+02:00,0, 990, 990, 9001, 2520, 135.57, 350.00, 100, 437, 39
1784549418.414150,2026-07-20T14:10:18+02:00,0, 990, 990, 9001, 2520, 136.56, 350.00, 100, 437, 39
1784549423.478337,2026-07-20T14:10:23+02:00,0, 990, 990, 9001, 2520, 136.68, 350.00, 100, 437, 39
1784549428.551277,2026-07-20T14:10:28+02:00,0, 990, 990, 9001, 2520, 135.87, 350.00, 100, 437, 40
1784549433.613861,2026-07-20T14:10:33+02:00,0, 990, 990, 9001, 2520, 135.72, 350.00, 100, 437, 40
1784549438.678959,2026-07-20T14:10:38+02:00,0, 990, 990, 9001, 2520, 136.07, 350.00, 100, 437, 40
1784549443.751192,2026-07-20T14:10:43+02:00,0, 990, 990, 9001, 2520, 137.04, 350.00, 100, 437, 40
1784549448.815684,2026-07-20T14:10:48+02:00,0, 990, 990, 9001, 2520, 136.31, 350.00, 100, 437, 40
1784549453.879935,2026-07-20T14:10:53+02:00,0, 990, 990, 9001, 2520, 136.11, 350.00, 100, 437, 40
