seq,workload_id,duration_s,successful_requests,gpu_stream_count,covered_gpu_stream_count,min_gpu_coverage_ratio,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,short_low,26.408915,12,8,8,1.0,0.0,2896.280846,9233.077671,2.564743798,349.619724,769.423139
2,prefill_128,25.562917,48,8,8,1.0,0.0,3073.702919,9434.811287,2.620780913,369.081955,196.558568
3,mixed_512,30.89102,36,8,8,1.0,0.0,3809.452941,11626.807597,3.229668777,376.381472,322.966878
4,prefill_1024,23.787854,24,8,8,1.0,0.0,2833.645599,8871.271737,2.464242149,372.932832,369.636322
5,decode_512,44.881451,24,8,8,1.0,0.0,5999.18437,16877.826172,4.688285048,376.05349,703.242757
