request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-b12-r03-feedback_routing_only-decode_heavy-0000,P0,D1,1788008951.7086544,1788008951.8390589,1788008951.839061,1788008951.8391786,1788008966.2031322,completed
phase3c-b12-r03-feedback_routing_only-decode_heavy-0001,P0,D1,1788008966.2141168,1788008966.3192496,1788008966.3192513,1788008966.3193185,1788008980.690026,completed
phase3c-b12-r03-feedback_routing_only-decode_heavy-0002,P0,D1,1788008980.6960135,1788008980.8003457,1788008980.8003476,1788008980.8004327,1788008995.1612282,completed
phase3c-b12-r03-feedback_routing_only-decode_heavy-0003,P0,D1,1788008995.1676185,1788008995.2739406,1788008995.2739427,1788008995.2740405,1788009009.6352613,completed
