gpu_type,phase,slo_ms,target,p_th,rho_th,false_safe,false_unsafe,true_safe,true_unsafe,unsafe_support,safe_support,false_safe_rate_pct,false_unsafe_rate_pct,safe_precision_pct,admit_rate_pct
l4,prefill,200,p99_ttft,0.5,1.0,4,41,105,444,448,146,0.89,28.08,96.33,18.35
l4,prefill,200,p99_ttft,0.5,0.9,3,41,105,445,448,146,0.67,28.08,97.22,18.18
l4,prefill,200,p99_ttft,0.5,0.8,3,41,105,445,448,146,0.67,28.08,97.22,18.18
l4,prefill,200,p99_ttft,0.5,0.7,3,41,105,445,448,146,0.67,28.08,97.22,18.18
l4,prefill,200,p99_ttft,0.5,0.6,3,44,102,445,448,146,0.67,30.14,97.14,17.68
l4,prefill,200,p99_ttft,0.5,0.5,2,53,93,446,448,146,0.45,36.3,97.89,15.99
l4,prefill,200,p99_ttft,0.5,0.4,2,74,72,446,448,146,0.45,50.68,97.3,12.46
l4,prefill,200,p99_ttft,0.5,0.3,2,78,68,446,448,146,0.45,53.42,97.14,11.78
l4,prefill,200,p99_ttft,0.5,0.2,1,94,52,447,448,146,0.22,64.38,98.11,8.92
l4,prefill,200,p99_ttft,0.5,0.1,0,115,31,448,448,146,0.0,78.77,100.0,5.22
l4,prefill,200,p99_ttft,0.4,1.0,3,48,98,445,448,146,0.67,32.88,97.03,17.0
l4,prefill,200,p99_ttft,0.4,0.9,2,48,98,446,448,146,0.45,32.88,98.0,16.84
l4,prefill,200,p99_ttft,0.4,0.8,2,48,98,446,448,146,0.45,32.88,98.0,16.84
l4,prefill,200,p99_ttft,0.4,0.7,2,48,98,446,448,146,0.45,32.88,98.0,16.84
l4,prefill,200,p99_ttft,0.4,0.6,2,50,96,446,448,146,0.45,34.25,97.96,16.5
l4,prefill,200,p99_ttft,0.4,0.5,1,58,88,447,448,146,0.22,39.73,98.88,14.98
l4,prefill,200,p99_ttft,0.4,0.4,1,77,69,447,448,146,0.22,52.74,98.57,11.78
l4,prefill,200,p99_ttft,0.4,0.3,1,81,65,447,448,146,0.22,55.48,98.48,11.11
l4,prefill,200,p99_ttft,0.4,0.2,1,96,50,447,448,146,0.22,65.75,98.04,8.59
