seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,39.502458,12,2399.211348,1279.696632,3678.90798,1.021918883,93.131115,306.575665
2,short_ramp,30.849949,48,2005.527851,1123.912394,3129.440245,0.869288957,101.440693,65.196672
3,prefill_shift,35.751976,36,2277.731426,1246.944966,3524.676392,0.979076776,98.586899,97.907678
4,decode_shift,45.691753,24,2789.157689,1939.699148,4728.856837,1.313571344,103.494755,197.035702
5,sudden_burst,30.00539,80,2096.344163,1244.852431,3341.196594,0.928110165,111.353214,41.764957
6,short_recovery,30.85731,24,1894.875236,1089.587838,2984.463074,0.82901752,96.718187,124.352628
7,long_prefill,35.129381,24,2483.051811,1636.289136,4119.340947,1.144261374,117.261986,171.639206
8,mixed_pressure,45.207764,30,2790.396473,2016.071502,4806.467975,1.335129993,106.319525,160.215599
9,quiet_window,30.984757,12,1885.135116,1020.54909,2905.684206,0.807134502,93.777861,242.140351
10,prefill_peak,27.200132,20,2348.04142,1060.259849,3408.301269,0.946750352,125.304587,170.415063
11,decode_peak,93.814184,10,5544.593229,4600.155811,10144.749041,2.817985845,108.136623,1014.474904
12,final_recovery,30.945273,12,1860.003198,1158.614596,3018.617794,0.838504943,97.546974,251.551483
