proxy_start hostname=ganymede http=0.0.0.0:30160 registry=0.0.0.0:31160
registry_add role=decode http=10.1.0.3:33160 zmq=10.1.0.3:34160
registry_add role=prefill http=10.1.0.6:32160 zmq=10.1.0.6:34160
route count=29 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_9692a110ea6c4851a4663a36431bb2e9 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=30 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_9ff37d8828924f37953d9b63dce58129 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=31 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_43351f526e7244c1b448338a598c0843 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=32 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_c94277a92c4d40b09d3fb2a88c1a1621 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=33 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_8a85d39c05af49709fe4f6dbc0092e07 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=34 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_4efa81f1931f4594979f024642bc3d80 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=35 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_c48ab1366a3d462da17a6edec03a3d6d prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=36 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_f8151b9877bb49e4b55a7473744c351a prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=37 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_9004838f8d0a4b4ba37cfe5f43cdb093 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=38 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_be3abb8988594d62968e83e1cc2c7535 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=39 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_19b022c478f54e60aae8308014bed26b prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=40 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_8ea5f0b5027c4c30a65e8734b38cabdf prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=41 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_6e641a32911c424386f04e91e6986b4a prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=42 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_dd1c3340a9954ad8aa72ee84b1a5e037 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=43 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_b557e2433bf34d7aafc974ea036fbd95 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=44 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_57f8b8171d48401ab6a73e6960318238 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=45 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_b41b1c5235ab41c286dc084df2938438 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=46 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_68a1565771744312b6e5dccc8194c7fe prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=47 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_660bb439860f453cad63da790610dabf prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=48 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_8ce7033336ed402dbf0579eabcd15e28 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=49 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_1b17a7f5348f4a82ad7d5b141e244e0a prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=50 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_8d9daf65e9854d96a07990465bedafe8 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=51 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_77d8b391b12d41a5bbccbc494cd630c8 prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
route count=52 request_id=___prefill_addr_10.1.0.6:34160___decode_addr_10.1.0.3:34160_5eaffe11f19d4abc997423fe6993176c prefill_http=10.1.0.6:32160 decode_http=10.1.0.3:33160
