request_index,request_id,route,prefill_tp,decode_tp,input_tokens,output_tokens,prefill_mhz,decode_mhz,predicted_p99_ttft_ms,forwarding_ttft_ms,forwarding_ttft_slo_met,wait_excluded_ttft_ms,raw_ttft_ms,pre_forward_overhead_ms,prefill_http_ms,prefill_to_decode_dispatch_ms,decode_to_first_chunk_ms,actual_minus_predicted_ms
0,5b6a35a2948142798e9b3387c4ae6bc9,P2-D2,2,2,512,128,210,360,176.9,2201.027,False,2911.587,22911.587,710.56,304.218,0.167,1896.637,2024.127
1,fa0d1551802a4ccf833ff9e6e0c3c753,P2-D0,2,1,512,128,210,570,176.9,1960.92,False,2547.073,22547.073,586.153,204.838,0.151,1755.919,1784.02
2,9795d9d6761f43e6a0394efbe29e672a,P0-D1,1,1,512,128,210,570,497.8,1048.076,False,1512.665,21512.665,464.589,424.483,0.156,623.434,550.276
3,ea0642de8c1a4a12b285023563ef7708,P2-D0,2,1,512,128,210,570,176.9,379.113,True,784.76,20784.76,405.647,202.41,0.199,176.485,202.213
4,dd186f943b12402db1b62d3b9d379c7f,P1-D0,1,1,512,128,210,570,497.8,1001.833,False,1347.493,21347.493,345.66,479.137,0.148,522.545,504.033
5,e55ee8eca1e749afa600770805d4118b,P2-D1,2,1,512,128,210,570,176.9,1850.872,False,2247.229,22247.229,396.357,201.136,0.155,1649.577,1673.972
6,d972feddb38f46f1abf9c6da42440d56,P1-D0,1,1,512,128,210,570,497.8,542.108,False,995.844,20995.844,453.736,342.805,0.159,199.136,44.308
7,f0f53c4dc9884be1be1a0d826ad11daf,P2-D2,2,2,512,128,210,360,176.9,325.562,True,958.547,20958.547,632.985,202.73,0.15,122.679,148.662
8,22bb69b6017c4938af556d2193d512c0,P1-D1,1,1,512,128,210,570,497.8,815.749,False,1362.652,21362.652,546.903,341.482,0.16,474.102,317.949
9,a345a66feed9431c8e135d80d5f46261,P2-D2,2,2,512,128,210,360,176.9,324.596,True,919.336,20919.336,594.74,203.665,0.144,120.784,147.696
10,b0609142e7584e15b1dbfee80cf5fb22,P0-D1,1,1,512,128,210,570,497.8,554.128,False,1009.905,21009.905,455.777,343.729,0.156,210.24,56.328
11,a4497ef8f126499fa695dd00adc62bf8,P1-D1,1,1,512,128,210,570,497.8,539.503,False,883.498,20883.498,343.995,339.544,0.17,199.785,41.703
12,9b4bc5fa3e6d45399263f5ab0fbeffdf,P0-D1,1,1,512,128,210,570,497.8,543.324,False,844.768,20844.768,301.444,340.723,0.188,202.407,45.524
13,bfc9d0d8f91e43cb9e3cda32630f1fc0,P2-D1,2,1,512,128,210,570,176.9,379.233,True,848.493,20848.493,469.26,202.974,0.157,176.098,202.333
14,15600e9a74554ab0a415e6fbab3adec8,P2-D0,2,1,512,128,210,570,176.9,367.86,True,835.912,20835.912,468.052,201.444,0.145,166.268,190.96
15,3c9594f87b5840beb6e6b76904adeec1,P2-D0,2,1,512,128,210,570,176.9,378.352,True,735.524,20735.524,357.172,204.956,0.156,173.234,201.452
16,fb63401127d4448991f9395853a24062,P1-D2,1,2,512,128,210,360,497.8,974.385,False,1568.025,21568.025,593.64,342.996,0.16,631.224,476.585
17,036ba95e383e4fcfb78fbd14526d9a2d,P0-D2,1,2,512,128,210,360,497.8,898.956,False,1512.177,21512.177,613.221,346.634,0.153,552.165,401.156
18,c0e62c4597f6476a84150e3396b62b8d,P1-D0,1,1,512,128,210,570,497.8,541.312,False,846.352,20846.352,305.04,341.862,0.15,199.297,43.512
19,b0ce8b44dc0b4c6f85d8ce1d16eb06b9,P1-D1,1,1,512,128,210,570,497.8,540.738,False,995.305,20995.305,454.567,339.543,0.148,201.04,42.938
20,f175c6c9aa4e48bfb40b75b84dbcc9c7,P0-D1,1,1,512,128,210,570,497.8,543.304,False,1039.632,21039.632,496.328,340.969,0.163,202.168,45.504
21,dd0557040d2544498ca30e9c89ce5c67,P1-D0,1,1,512,128,210,570,497.8,541.93,False,995.089,20995.089,453.159,340.615,0.151,201.16,44.13
22,d5ab96984a6145e684542487ebdc9b04,P2-D0,2,1,512,128,210,570,176.9,378.089,True,907.118,20907.118,529.029,209.105,0.141,168.84,201.189
23,7de0cbf4f299410f8722c02dc882b90b,P1-D1,1,1,512,128,210,570,497.8,540.64,False,1046.677,21046.677,506.037,340.812,0.161,199.664,42.84
24,c8ad99719cd647dc816908d87a52f24d,P0-D1,1,1,512,128,210,570,497.8,547.765,False,1100.071,21100.071,552.306,340.627,0.153,206.981,49.965
25,cd91ea6757e2422c842911683c2d1fae,P0-D1,1,1,512,128,210,570,497.8,544.389,False,942.674,20942.674,398.285,342.126,0.151,202.109,46.589
26,b653ae951f284c64814614e63a9ef678,P0-D2,1,2,512,128,210,360,497.8,568.155,False,1187.997,21187.997,619.842,341.994,0.155,225.997,70.355
27,93c8d8e895f74caeb2145e81b3b6fc1c,P1-D0,1,1,512,128,210,570,497.8,541.991,False,997.303,20997.303,455.312,341.296,0.181,200.51,44.191
28,68b9f185778742c79ea054890c1a036b,P0-D2,1,2,512,128,210,360,497.8,577.254,False,1182.243,21182.243,604.989,341.734,0.149,235.367,79.454
29,176f15fcdb5740eb8e47b3c82e0c181d,P1-D0,1,1,512,128,210,570,497.8,546.457,False,989.007,20989.007,442.55,341.597,0.155,204.701,48.657
30,12b85a895bf544199f4a23739633e1f7,P1-D2,1,2,512,128,210,360,497.8,567.833,False,1158.268,21158.268,590.435,340.489,0.155,227.185,70.033
31,b652786bb05847c2837fc45d0a17ffcf,P2-D0,2,1,512,128,210,570,176.9,369.945,True,897.553,20897.553,527.608,204.247,0.146,165.548,193.045
32,45ba458615354c06b3a4bb6a2540b9ff,P0-D2,1,2,512,128,210,360,497.8,565.54,False,1122.352,21122.352,556.812,342.702,0.14,222.695,67.74
33,f4528be3eed14a19977d94cb433983cc,P1-D2,1,2,512,128,210,360,497.8,566.721,False,1146.744,21146.744,580.023,343.204,0.149,223.364,68.921
34,9418d0ae6309440691dea062f0739620,P0-D2,1,2,512,128,210,360,497.8,566.184,False,1157.714,21157.714,591.53,340.295,0.194,225.691,68.384
35,1d125ce0e322403da63817ee2f4cd919,P2-D2,2,2,512,128,210,360,176.9,325.934,True,1088.768,21088.768,762.834,204.821,0.148,120.961,149.034
