unix_ts,event,seq,workload_id,policy
1785855155.866500901,warmup_start,1,input8192_r1_o128,fixed_tp4_tp4_8192
1785855175.880096581,warmup_end,1,input8192_r1_o128,fixed_tp4_tp4_8192
1785855175.892051844,workload_start,1,input8192_r1_o128,fixed_tp4_tp4_8192
1785855201.708388661,workload_end,1,input8192_r1_o128,fixed_tp4_tp4_8192
1785855201.853909614,warmup_start,2,input8192_r2_o128,fixed_tp4_tp4_8192
1785855221.867299134,warmup_end,2,input8192_r2_o128,fixed_tp4_tp4_8192
1785855221.879303782,workload_start,2,input8192_r2_o128,fixed_tp4_tp4_8192
1785855250.675880455,workload_end,2,input8192_r2_o128,fixed_tp4_tp4_8192
1785855250.915784318,warmup_start,3,input8192_r4_o128,fixed_tp4_tp4_8192
1785855270.927756833,warmup_end,3,input8192_r4_o128,fixed_tp4_tp4_8192
1785855270.940253897,workload_start,3,input8192_r4_o128,fixed_tp4_tp4_8192
1785855311.912361390,workload_end,3,input8192_r4_o128,fixed_tp4_tp4_8192
1785855312.215503558,warmup_start,4,input8192_r1_o512,fixed_tp4_tp4_8192
