unix_second,endpoint,mean_sensor_power_w,mean_clock_mhz,samples
1789746462,P0,79.02963636363636,2520,11
1789746463,P0,79.8266,2520,15
1789746464,P0,79.867,2520,15
1789746465,P0,79.24,2520,15
1789746466,P0,79.31146666666666,2520,15
1789746467,P0,79.50773333333333,2520,15
1789746468,P0,79.50086666666667,2520,15
1789746469,P0,79.51679999999999,2520,15
1789746470,P0,79.4766,2520,15
1789746471,P0,79.15053333333333,2520,15
1789746472,P0,79.27253333333333,2520,15
1789746473,P0,79.39453333333333,2520,15
1789746474,P0,79.51679999999999,2520,15
1789746475,P0,79.57446666666667,2520,15
1789746476,P0,79.4586,2520,15
1789746477,P0,79.37986666666666,2520,15
1789746478,P0,79.363,2520,15
1789746479,P0,81.91746666666667,2520,15
1789746480,P0,89.21133333333333,2520,15
1789746481,P0,87.021,2520,15
1789746482,P0,78.21820000000001,2520,15
1789746483,P0,77.817,2520,15
1789746484,P0,77.4334,2520,15
1789746485,P0,77.51100000000001,2520,15
1789746486,P0,77.4112,2520,15
1789746487,P0,77.3564,2520,15
1789746488,P0,77.5274,2520,15
1789746489,P0,76.5302,2466,15
1789746490,P0,72.14273333333334,1710,15
1789746491,P0,71.30578571428572,1710,14
1789746492,P0,66.969,1710,15
1789746493,P0,75.52946666666666,1710,15
1789746494,P0,73.55839999999999,1710,15
1789746495,P0,65.267,1710,14
1789746496,P0,64.38586666666666,1710,15
1789746497,P0,72.226,1710,15
1789746498,P0,71.10171428571428,1710,14
1789746499,P0,66.6596,1710,15
1789746500,P0,65.26106666666666,1710,15
1789746501,P0,65.65053333333333,1710,15
1789746502,P0,66.18373333333332,1710,15
1789746503,P0,66.0136,1710,15
1789746504,P0,64.79728571428572,1710,14
1789746505,P0,64.31026666666666,1710,15
1789746506,P0,64.55613333333334,1710,15
1789746507,P0,64.78893333333333,1710,15
1789746508,P0,64.56713333333333,1404,15
1789746509,P0,68.5854,1200,15
1789746510,P0,65.06373333333333,1200,15
1789746511,P0,63.786,1200,14
1789746512,P0,67.8166,1200,15
1789746513,P0,68.71313333333335,1200,15
1789746514,P0,63.24593333333333,1200,15
1789746515,P0,63.53871428571429,1200,14
1789746516,P0,74.568,1200,15
1789746517,P0,67.6228,1200,15
1789746518,P0,62.831,1200,15
1789746519,P0,62.84766666666667,1200,15
1789746520,P0,62.93007142857143,1200,14
1789746521,P0,62.568533333333335,1200,15
1789746522,P0,62.23406666666666,1200,15
1789746523,P0,62.34706666666667,1200,15
1789746524,P0,62.34793333333333,1200,15
1789746525,P0,62.36333333333334,1200,15
1789746526,P0,62.57573333333333,1174,15
1789746527,P0,65.48764285714286,1005,14
1789746528,P0,65.9738,1005,15
1789746529,P0,62.213,1005,15
1789746530,P0,67.95442857142856,1005,14
1789746531,P0,66.4148,1005,15
1789746532,P0,62.549533333333336,1005,15
1789746533,P0,61.580666666666666,1005,15
1789746534,P0,70.6968,1005,15
1789746535,P0,69.23371428571429,1005,14
1789746536,P0,64.30706666666667,1005,15
1789746537,P0,62.413066666666666,1005,15
1789746538,P0,62.40493333333333,1005,15
1789746539,P0,62.15226666666667,1005,15
1789746540,P0,61.915933333333335,1005,15
1789746541,P0,61.940333333333335,1005,15
1789746542,P0,62.13657142857143,1005,14
1789746543,P0,62.3694,1005,15
1789746544,P0,62.687200000000004,1005,15
1789746545,P0,63.92373333333334,942,15
1789746546,P0,69.6626,900,15
1789746547,P0,65.393,900,14
1789746548,P0,63.10393333333333,900,15
1789746549,P0,69.95364285714285,900,14
1789746550,P0,64.31833333333333,900,15
1789746551,P0,60.9526,900,15
1789746552,P0,63.2746,900,15
1789746553,P0,71.20133333333334,900,15
1789746554,P0,63.1436,900,15
1789746555,P0,61.40457142857143,900,14
1789746556,P0,61.54093333333333,900,15
1789746557,P0,61.785000000000004,900,15
1789746558,P0,61.415,900,15
1789746559,P0,61.1442,900,15
1789746560,P0,61.28028571428571,900,14
1789746561,P0,61.57306666666666,900,15
1789746562,P0,62.034800000000004,900,15
1789746563,P0,63.076,900,15
1789746564,P0,68.54353333333333,900,15
1789746565,P0,62.9598,900,15
1789746566,P0,64.19266666666667,900,15
1789746567,P0,71.25121428571428,900,14
1789746568,P0,64.21300000000001,900,15
1789746569,P0,61.85757142857143,900,14
1789746570,P0,64.312,900,15
1789746571,P0,69.95066666666666,900,15
1789746572,P0,63.881400000000006,900,15
1789746573,P0,61.3854,900,15
1789746574,P0,61.40253333333333,900,15
1789746575,P0,61.5445,900,14
1789746576,P0,61.8102,900,15
1789746577,P0,62.00513333333333,900,15
1789746578,P0,61.57333333333333,900,15
1789746579,P0,61.191066666666664,900,15
1789746580,P0,61.467866666666666,900,15
1789746581,P0,62.22828571428572,900,14
1789746582,P0,65.938,900,15
1789746583,P0,62.151266666666665,900,15
1789746584,P0,61.50326666666666,900,15
1789746585,P0,65.63035714285714,900,14
1789746586,P0,67.206,900,15
1789746587,P0,61.413,900,15
1789746588,P0,62.08314285714286,900,14
1789746589,P0,74.70346666666667,900,15
1789746590,P0,67.002,900,15
1789746591,P0,61.169,900,15
1789746592,P0,61.122,900,15
1789746593,P0,61.245,900,15
1789746594,P0,61.489,900,15
1789746595,P0,61.733,900,15
1789746596,P0,62.103,900,14
1789746597,P0,62.33166666666666,900,15
1789746598,P0,61.614,900,15
1789746599,P0,60.88,900,15
1789746600,P0,64.13133333333333,900,15
1789746601,P0,63.66806666666667,900,15
1789746602,P0,61.296533333333336,900,15
1789746603,P0,64.73342857142858,900,14
1789746604,P0,63.65186666666666,900,15
1789746605,P0,61.519,900,15
1789746606,P0,60.974333333333334,900,15
1789746607,P0,71.45042857142857,900,14
1789746608,P0,67.48033333333333,900,15
1789746609,P0,62.26993333333333,900,15
1789746610,P0,60.9114,900,15
1789746611,P0,60.97046666666667,900,15
1789746612,P0,61.003,900,15
1789746613,P0,61.00064285714286,900,14
1789746614,P0,61.08133333333333,900,15
1789746615,P0,61.12466666666666,900,15
1789746616,P0,61.126,900,15
1789746617,P0,61.288666666666664,900,15
1789746618,P0,62.9576,900,15
1789746619,P0,64.48126666666667,900,15
1789746620,P0,62.44813333333333,900,15
1789746621,P0,62.49214285714286,900,14
1789746622,P0,65.04666666666667,900,15
1789746623,P0,63.71633333333334,900,15
1789746624,P0,60.906666666666666,900,15
1789746625,P0,61.762142857142855,900,14
