phase,request_id,p_mhz,d_mhz,input_len,output_len,burst_size,rank,rep,background_target,background_active,status,error,ttft_ms,tpot_ms,client_first_chunk_ms,client_done_ms,chunks,t_request_received_ms,t_route_selected_ms,t_prefill_started_ms,t_prefill_completed_ms,t_kv_handoff_completed_ms,t_decode_request_started_ms,t_decode_response_headers_received_ms,t_decode_first_real_chunk_received_ms,t_decode_first_real_chunk_forwarded_ms,t_decode_last_chunk_received_ms,t_response_completed_ms,rate_rps,arrival_s,awaiting_first_requests,awaiting_first_tokens,decoding_requests
smoke,k1-smoke-000001,2520,1050,128,16,,,,,,ok,,921.7473091557622,56.97040666515628,921.9598742201924,1780.5641312152147,16,0.1456988975405693,0.23380108177661896,0.9155729785561562,760.6704360805452,760.6760980561376,760.7989660464227,852.9944722540677,921.8930080533028,921.9499542377889,1776.449108030647,1776.484697125852,,,,,
tier_1305,k1-tier_1305-000002,1305,1050,512,32,,,,,,ok,,211.53048425912857,60.89031322288417,211.5955469198525,2103.3152011223137,32,0.05500577390193939,0.07696589455008507,0.21937675774097443,127.92792171239853,127.930399030447,127.98193888738751,142.3699138686061,211.5854900330305,211.59134013578296,2099.18519994244,2099.226291757077,2.0,0.19980585132214743,0,0,0
tier_1305,k1-tier_1305-000003,1305,1050,128,32,,,,,,ok,,274.24698509275913,63.1399889056,274.2966371588409,2235.223045106977,32,0.029535964131355286,0.04198914393782616,0.12004794552922249,91.4740301668644,91.4786639623344,91.58542798832059,99.05273607000709,274.2765210568905,274.28827434778214,2231.6161771304905,2231.6245730035007,2.0,0.9304581915073507,0,0,1
tier_1305,k1-tier_1305-000004,1305,1050,512,32,,,,,,ok,,294.1612070426345,63.90699554955767,294.2559299990535,2277.9695466160774,32,0.07239961996674538,0.0963238999247551,0.22570881992578506,123.2758080586791,123.28069470822811,123.38586384430528,134.83491679653525,294.23360666260123,294.2464929074049,2275.350468698889,2275.3578750416636,2.0,1.2129898515024042,0,0,2
tier_1305,k1-tier_1305-000006,1305,1050,1024,32,,,,,,ok,,511.60550117492676,65.00547144922518,511.6719347424805,2530.0022456794977,32,0.05350867286324501,0.07784971967339516,0.207382719963789,339.81021074578166,339.81387596577406,339.8973918519914,354.83032604679465,511.65900984779,511.6660478524864,2526.8286247737706,2526.837521698326,2.0,1.6747617846086449,1,2048,3
tier_1305,k1-tier_1305-000005,1305,1050,2048,32,,,,,,ok,,555.1117546856403,65.01659848577073,555.1794739440084,2577.3489899002016,32,0.05167210474610329,0.07624411955475807,0.2344897948205471,381.2360097654164,381.24080281704664,381.3711330294609,392.8889147937298,555.1634267903864,555.171996820718,2570.677979849279,2570.683425758034,2.0,1.6310167886946767,0,0,3
tier_1305,k1-tier_1305-000007,1305,1050,1024,32,,,,,,ok,,360.50232918933034,64.63337357666704,360.56199623271823,2367.039531003684,32,0.053404830396175385,0.07359683513641357,0.20563695579767227,158.35805283859372,158.3628598600626,158.46681129187346,173.406554851681,360.5557340197265,360.5598732829094,2364.1903148964047,2364.2008411698043,2.0,2.801216541700998,0,0,4
tier_1305,k1-tier_1305-000009,1305,1050,512,32,,,,,,ok,,286.45112784579396,65.37670939559898,286.4824612624943,2317.108833231032,32,0.02726120874285698,0.03739120438694954,0.10439613834023476,102.25345706567168,102.25500212982297,102.29117935523391,116.912049241364,286.4783890545368,286.4805511198938,2313.156380318105,2313.1836489774287,2.0,3.8488510945894485,1,1024,3
tier_1305,k1-tier_1305-000008,1305,1050,1024,32,,,,,,ok,,422.0806658267975,65.38669006418317,422.11512895300984,2457.1516416035593,32,0.028011854737997055,0.03761099651455879,0.10901503264904022,236.98262590914965,236.98414070531726,237.03593388199806,252.73061683401465,422.1086776815355,422.11232986301184,2449.0960696712136,2449.1092986427248,2.0,3.713607762884974,0,0,3
tier_1305,k1-tier_1305-000010,1305,1050,128,32,,,,,,ok,,297.61228803545237,65.60436341791383,297.6444656960666,2335.4587857611477,32,0.02517877146601677,0.03653159365057945,0.11355383321642876,159.64626986533403,159.64796673506498,159.7034865990281,165.2584527619183,297.6374668069184,297.6414319127798,2331.3727327622473,2331.4021197147667,2.0,4.155455175431492,0,0,5
tier_1305,k1-tier_1305-000011,1305,1050,512,32,,,,,,ok,,303.2510350458324,65.70917603770091,303.2824802212417,2343.0653722025454,32,0.02741999924182892,0.03412412479519844,0.0997418537735939,103.91205782070756,103.91359496861696,103.95006416365504,109.89998793229461,303.2784550450742,303.2808559946716,2340.2629122138023,2340.26862308383,2.0,4.214015432790661,1,128,3
tier_1305,k1-tier_1305-000012,1305,1050,2048,32,,,,,,ok,,534.6258948557079,65.96581122627661,534.6572808921337,2582.519511692226,32,0.02695387229323387,0.03799796104431152,0.11030305176973343,316.6296179406345,316.6312030516565,316.68784469366074,339.5825629122555,534.6528487280011,534.6559430472553,2579.5929967425764,2579.601936042309,2.0,4.562991872158994,0,0,5
tier_1305,k1-tier_1305-000013,1305,1050,512,32,,,,,,ok,,338.40707829222083,65.9762833477749,338.43969320878386,2390.16941934824,32,0.027650967240333557,0.0375150702893734,0.10400032624602318,121.54611526057124,121.5480649843812,121.59636709839106,143.55394523590803,338.43472925946116,338.43753999099135,2383.699513040483,2383.7061431258917,2.0,4.7590051656397065,1,2048,5
tier_1305,k1-tier_1305-000014,1305,1050,512,32,,,,,,ok,,271.5226109139621,65.5292083449181,271.5730778872967,2305.773723870516,32,0.025860033929347992,0.03503495827317238,0.10513607412576675,97.07319270819426,97.0748239196837,97.12982969358563,107.79789695516229,271.5484709478915,271.5627900324762,2302.9539296403527,2302.9619129374623,2.0,5.6228825150874115,0,0,6
tier_1305,k1-tier_1305-000015,1305,1050,2048,32,,,,,,ok,,407.2497100569308,65.98565167176628,407.3233250528574,2455.8169580996037,32,0.0513419508934021,0.1143449917435646,0.24502677842974663,244.63267205283046,244.63741714134812,244.74444007501006,261.17308204993606,407.3010520078242,407.3143661953509,2452.8562538325787,2452.875399030745,2.0,6.211250305326369,0,0,5
tier_1305,k1-tier_1305-000017,1305,1050,128,32,,,,,,ok,,465.1879770681262,66.98978494011587,465.24818427860737,2545.7395710982382,32,0.05334801971912384,0.07453886792063713,0.23708026856184006,292.9623331874609,292.9641301743686,293.0014240555465,311.343340203166,465.2413250878453,465.2455970644951,2541.924658231437,2541.9438532553613,2.0,6.935826632856276,1,2048,4
tier_1305,k1-tier_1305-000016,1305,1050,2048,32,,,,,,ok,,479.93778390809894,66.99356812262728,479.9929866567254,2564.401932992041,32,0.05125300958752632,0.07165689021348953,0.20390097051858902,305.4202999919653,305.42209185659885,305.4806347936392,325.93832397833467,479.98903691768646,479.9911938607693,2556.789648719132,2556.7998378537595,2.0,6.920727937738926,0,0,4
