request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-b14-r03-static-both_heavy-0000,P0,D0,1788009917.0238986,1788009917.1962836,1788009917.1962862,1788009917.196409,1788009924.4385111,completed
phase3c-b14-r03-static-both_heavy-0001,P0,D1,1788009924.4443297,1788009924.5743535,1788009924.5743554,1788009924.5744553,1788009931.8143544,completed
phase3c-b14-r03-static-both_heavy-0002,P1,D0,1788009931.819529,1788009931.9464335,1788009931.9464357,1788009931.9465322,1788009939.18575,completed
phase3c-b14-r03-static-both_heavy-0003,P1,D1,1788009939.1918738,1788009939.3155475,1788009939.3155499,1788009939.3156466,1788009946.5556102,completed
