request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,client_observed_ttft_ms,client_observed_tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0000,small_light,128,64,64,P1,D1,723.0361129622906,55.87984630209763,12710.249138996005,55.896934508050364,55.87031604770187,16231.756013003178,576.2504449812695,3666.761405998841,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0001,prefill_medium,1024,64,64,P1,D1,323.0906190001406,56.902318412164554,335.40323498891667,56.90839322235819,56.90217126966528,3920.632007997483,236.32960201939568,3671.2918039993383,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0002,prefill_heavy,2048,64,64,P1,D1,478.0370570369996,58.01413866639551,486.48507200414315,58.034433809567304,58.018891889202806,4142.654402006883,385.14218595810235,3747.491132002324,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0003,decode_medium,128,128,128,P1,D1,168.16180699970573,55.887033472178636,177.20293899765238,55.88761699206277,55.88537589766041,7274.9302969896235,94.35781999491155,7171.19443701813,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0004,decode_heavy,128,256,256,P1,D1,186.115148011595,55.95832966272628,196.8223589938134,55.959288827508836,55.95814750972661,14466.441010008566,108.79161598859355,14345.861613983288,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0005,balanced_medium,512,128,128,P1,D1,200.0420190161094,56.32865349587977,208.0957629950717,56.33156655097791,56.32907735398332,7362.204714969266,121.27867998788133,7232.197943958454,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0006,both_heavy,2048,256,256,P1,D1,462.85983797861263,58.08257545508883,471.4779530186206,58.0820659255408,58.08083309025011,15282.404764031526,373.9438810152933,14899.68910504831,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0007,small_light,128,64,64,P1,D1,159.75349996006116,55.892471746090685,164.16812501847744,55.896226729687655,55.891572952359205,3685.6304089888,83.42921902658418,3597.2645249566995,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0008,prefill_medium,1024,64,64,P1,D1,289.0440010232851,56.89098339690457,293.8773990026675,56.89354471415133,56.88870381028022,3878.1707159942016,206.12096803961322,3666.760233056266,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0009,prefill_heavy,2048,64,64,P1,D1,468.66221801610664,58.01117879390303,474.060523963999,58.010071142768815,58.005704650736696,4128.695005958434,379.15400601923466,3743.925051006954,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0010,decode_medium,128,128,128,P1,D1,173.59977000160143,55.88535092153227,177.4207380367443,55.88801072426434,55.88575211806428,7275.198100018315,98.02299295552075,7172.768608026672,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0011,decode_heavy,128,256,256,P1,D1,171.03659000713378,55.95758378428096,175.67288101417944,55.958412721406155,55.95702373322246,14445.06812497275,94.27490900270641,14345.650930015836,True,True
phase3c-xpyd_feedback_table_2p2d_ttft_r2_255388-0012,balanced_medium,512,128,128,P1,D1,194.34943300439045,56.32831235407067,198.77442897995934,56.33446051167163,56.329016417437266,7353.250913962256,115.48059503547847,7232.247144973371,True,True
