unix_ts,event,seq,workload_id,policy
1785100210.731118338,workload_start,1,steady_start,auto_dvfs_exclusive_control
1785100245.872987643,workload_end,1,steady_start,auto_dvfs_exclusive_control
1785100246.132287686,workload_start,2,short_ramp,auto_dvfs_exclusive_control
1785100276.677881721,workload_end,2,short_ramp,auto_dvfs_exclusive_control
1785100276.859672037,workload_start,3,prefill_shift,auto_dvfs_exclusive_control
1785100312.292307168,workload_end,3,prefill_shift,auto_dvfs_exclusive_control
1785100312.540603954,workload_start,4,decode_shift,auto_dvfs_exclusive_control
1785100352.390464398,workload_end,4,decode_shift,auto_dvfs_exclusive_control
1785100352.490193731,workload_start,5,sudden_burst,auto_dvfs_exclusive_control
1785100382.806941220,workload_end,5,sudden_burst,auto_dvfs_exclusive_control
1785100383.051559773,workload_start,6,short_recovery,auto_dvfs_exclusive_control
1785100413.658070871,workload_end,6,short_recovery,auto_dvfs_exclusive_control
1785100413.811035704,workload_start,7,long_prefill,auto_dvfs_exclusive_control
1785100449.366121185,workload_end,7,long_prefill,auto_dvfs_exclusive_control
1785100449.604353377,workload_start,8,mixed_pressure,auto_dvfs_exclusive_control
1785100493.567569860,workload_end,8,mixed_pressure,auto_dvfs_exclusive_control
1785100493.685221142,workload_start,9,quiet_window,auto_dvfs_exclusive_control
1785100524.329250828,workload_end,9,quiet_window,auto_dvfs_exclusive_control
1785100524.571678632,workload_start,10,prefill_peak,auto_dvfs_exclusive_control
1785100554.198418711,workload_end,10,prefill_peak,auto_dvfs_exclusive_control
1785100554.361600001,workload_start,11,decode_peak,auto_dvfs_exclusive_control
1785100643.504464431,workload_end,11,decode_peak,auto_dvfs_exclusive_control
1785100643.721838309,workload_start,12,final_recovery,auto_dvfs_exclusive_control
