proxy_start hostname=ganymede http=0.0.0.0:30158 registry=0.0.0.0:31158
registry_add role=decode http=10.1.0.3:33158 zmq=10.1.0.3:34158
registry_add role=prefill http=10.1.0.6:32158 zmq=10.1.0.6:34158
route count=31 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_41750058ac2d41aa953eae417d028a56 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=32 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_6f7c697b02ed4117aea9d5585e7193ab prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=33 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_0fdf71f58c4e44cfa44a216079fb3fb3 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=34 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_bce0ac1cb2264b8682bbe2ab1d2e3159 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=35 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_4e0b21d1872c4ddeb28e40d6f5a4fa3b prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=36 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_05a2c006695847e2937ecd48e264836f prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=37 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_09c66b59c8e24916b83cea879b19a089 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=38 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_87182e58dc3c463c9bdb67fda9d1f9f7 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=39 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_8eddbc7b811447d2a13302d30dc536dd prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=40 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_9208fad376a649239d20ed4e8ba350b9 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=41 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_bbc4dd06a5714af7a46fdf6454dfc505 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=42 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_7104eaf7da9948f690142b4fa6ef0308 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=43 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_0302049f35a84d8bba237c1b164f1038 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=44 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_e88e143452924259b52ec913f8a6b98e prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=45 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_7d0d018911b543a790c647ba0544b870 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=46 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_a7f673d39f034785b103b3f8ba9ae38d prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=47 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_e17ab6d7832a41faa75e84bc66c5e2a9 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=48 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_9a0d25d75b614fe48c8236da7f4e972a prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=49 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_e7b15f8ffe784d92b4ff951cc31c28b3 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=50 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_384d14cadf6b41a7bba1f5cfe767fc1f prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=51 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_0266235c2fd74871876ef10a9c7417cb prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=52 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_0826b2f0fa1d4ab6817e665da70977af prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=53 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_dc0f0f6197df4d17b511d9737da92dd0 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=54 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_27a9912437964774a094244196f407a0 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=55 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_037bc675bc9f4568bc66aaf63fdbfa11 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=56 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_0b5cc6caf5f54b2cbc8324f16cc174f9 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=57 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_742ad3a7a6b4496694618e2354f52183 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=58 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_ab38ae5c71074ffd9dafc12bb793e668 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=59 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_d61b7888bdac45a6b6206e6f05faebb5 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=60 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_32e0e15989044ac59ad63845aaf7728a prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=61 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_bf572f2e8fa344b99bb35a465b794eb1 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=62 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_2f9234ff7fd94425bf2a2a3c9f93e503 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=63 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_c0f9a525afaf47a1a400305f173cec5a prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=64 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_32ecafe20d8e4f2cb221fd7214e50b01 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=65 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_08da6b82ee0d4ec2b690fa5a90fc8e2b prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=66 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_92c9511047924dc9967f67629d9c470c prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=67 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_85aeba375ced4fda9a669c606bc00470 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=68 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_6fce24a070e4471eba43980c524ab362 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=69 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_b86eeadeebd5409da1c6e8c22e43a3a4 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=70 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_1f10d352531e45479c20cb93bfc5bbf0 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
route count=71 request_id=___prefill_addr_10.1.0.6:34158___decode_addr_10.1.0.3:34158_fea9eb0f31354b9caeb128f61d3d8382 prefill_http=10.1.0.6:32158 decode_http=10.1.0.3:33158
