window_id,request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
light_before,phase3c-light_before-0000,P0,D0,1787912067.6158986,1787912068.2074804,1787912068.2074835,1787912068.207613,1787912075.4395156,completed
light_before,phase3c-light_before-0001,P0,D1,1787912075.4455824,1787912075.7777846,1787912075.7777872,1787912075.777882,1787912082.991866,completed
light_before,phase3c-light_before-0002,P1,D0,1787912082.9969137,1787912083.4343727,1787912083.434376,1787912083.4344733,1787912090.6174412,completed
light_before,phase3c-light_before-0003,P1,D1,1787912090.6228845,1787912090.8173664,1787912090.817369,1787912090.8174798,1787912097.9995916,completed
moderate,phase3c-moderate-0000,P0,D1,1787912140.0907102,1787912140.4977436,1787912140.497747,1787912140.4978638,1787912155.4181447,completed
moderate,phase3c-moderate-0001,P0,D1,1787912155.4252472,1787912155.8032749,1787912155.8032775,1787912155.8033721,1787912170.7210467,completed
moderate,phase3c-moderate-0002,P0,D1,1787912170.7306213,1787912171.1114275,1787912171.1114302,1787912171.1115196,1787912186.0287585,completed
moderate,phase3c-moderate-0003,P0,D1,1787912186.033858,1787912186.4153771,1787912186.41538,1787912186.4154713,1787912201.332067,completed
moderate,phase3c-moderate-0004,P0,D1,1787912201.3370047,1787912201.7163491,1787912201.716352,1787912201.7164435,1787912216.6331546,completed
moderate,phase3c-moderate-0005,P0,D1,1787912216.6372845,1787912217.0221536,1787912217.0221562,1787912217.0222473,1787912231.9390924,completed
moderate,phase3c-moderate-0006,P0,D1,1787912231.9450243,1787912232.3255236,1787912232.3255262,1787912232.325612,1787912247.2413094,completed
moderate,phase3c-moderate-0007,P0,D1,1787912247.245998,1787912247.6259615,1787912247.625964,1787912247.6260586,1787912262.5409741,completed
light_after,phase3c-light_after-0000,P0,D0,1787912304.624233,1787912304.762501,1787912304.7625036,1787912304.762601,1787912311.9472923,completed
light_after,phase3c-light_after-0001,P0,D1,1787912311.952497,1787912312.0598085,1787912312.0598114,1787912312.0599027,1787912319.2425208,completed
light_after,phase3c-light_after-0002,P1,D0,1787912319.246933,1787912319.3677928,1787912319.3677955,1787912319.3678856,1787912326.5507364,completed
light_after,phase3c-light_after-0003,P1,D1,1787912326.5555065,1787912326.648919,1787912326.648922,1787912326.6490095,1787912333.829949,completed
