window_id,endpoint_id,timestamp_s,health,queue,kv_cache_usage_frac,ttft_ms,tpot_ms,power_w,energy_j,observed_frequency_mhz,telemetry_age_s_at_observation,measurement_valid
light_before,D0,1787912098.00031,True,0,0.002106483946935537,,55.94731031093879,44.383111842105286,1340.076,1500,,True
light_before,D1,1787912098.00031,True,0,0.0019493629760274844,,55.95695385043683,43.16976315789471,1324.222,1500,,True
light_before,P0,1787912098.00031,True,0,0.0,585.602140003175,,80.2069210526316,2388.238,2520,,True
light_before,P1,1787912098.00031,True,0,0.0,398.08007849933347,,80.75255263157901,2403.948,2520,,True
moderate,D0,1787912262.542148,True,0,0.0,,,23.414674836601183,2859.031,1500,,True
moderate,D1,1787912262.542148,True,0,0.05852659408342472,,58.147021389716734,67.26341830065356,8237.023,1500,,True
moderate,P0,1787912262.542148,True,0,0.0,478.9310582491453,,82.44106851549769,9959.813,2520,,True
moderate,P1,1787912262.542148,True,0,0.0,,,65.61385154975534,7918.662,1890,,True
light_after,D0,1787912333.8306556,True,0,0.0022145087647271033,,55.95284381489027,45.25478767123289,1309.232,1500,,True
light_after,D1,1787912333.8306556,True,0,0.0020981238868964924,,55.95692996066073,45.09980821917807,1330.948,1500,,True
light_after,P0,1787912333.8306556,True,0,0.0,205.1011160001508,,79.62808219178093,2275.326,2520,,True
light_after,P1,1787912333.8306556,True,0,0.0,187.1004325003014,,80.61782191780831,2305.293,2520,,True
