timestamp_unix_s,endpoint_id,node,gpu_id,previous_requested_freq_mhz,requested_freq_mhz,observed_freq_before_mhz,observed_freq_after_mhz,command_status,readback_valid,transition_readback_latency_s,reason,error,workload,phase,decision_id,controller_action
1788168427.2489805,P0,uranus,0,,2520,2520,2520,success,True,0.6129964110441506,binary_feedback_global_safe_high,,global,warmup,global-high-warmup,True
1788168428.1391253,P1,uranus,1,,2520,2520,2520,success,True,0.62286874698475,binary_feedback_global_safe_high,,global,warmup,global-high-warmup,True
1788168429.0758495,D0,ganymede,0,,1500,1500,1500,success,True,0.668498671031557,binary_feedback_global_safe_high,,global,warmup,global-high-warmup,True
1788168430.0528855,D1,ganymede,1,,1500,1500,1500,success,True,0.6894663659622893,binary_feedback_global_safe_high,,global,warmup,global-high-warmup,True
1788168690.4530482,P0,uranus,0,2520,1710,2520,1710,success,True,0.8919041499611922,binary_feedback:small_light-P-binary-01,,small_light,P_search,small_light-P-binary-01,True
1788168691.6391165,P1,uranus,1,2520,1710,2520,1710,success,True,0.6038741499651223,binary_feedback:small_light-P-binary-01,,small_light,P_search,small_light-P-binary-01,True
1788168834.5439682,P0,uranus,0,1710,1305,1710,1305,success,True,0.6033365789917298,binary_feedback:small_light-P-binary-02,,small_light,P_search,small_light-P-binary-02,True
1788168835.4285617,P1,uranus,1,1710,1305,1710,1305,success,True,0.8822751899715513,binary_feedback:small_light-P-binary-02,,small_light,P_search,small_light-P-binary-02,True
1788168979.8028193,P0,uranus,0,1305,1110,1305,1110,success,True,0.615827072004322,binary_feedback:small_light-P-binary-03,,small_light,P_search,small_light-P-binary-03,True
1788168980.7125163,P1,uranus,1,1305,1110,1305,1110,success,True,0.8765824119909666,binary_feedback:small_light-P-binary-03,,small_light,P_search,small_light-P-binary-03,True
1788169123.0949814,P0,uranus,0,1110,1005,1110,1005,success,True,0.9018634780077264,binary_feedback:small_light-P-binary-04,,small_light,P_search,small_light-P-binary-04,True
1788169124.285484,P1,uranus,1,1110,1005,1110,1005,success,True,0.6116873460123315,binary_feedback:small_light-P-binary-04,,small_light,P_search,small_light-P-binary-04,True
1788169267.3171682,P0,uranus,0,1005,900,1005,900,success,True,0.6080449699657038,binary_feedback:small_light-P-binary-05,,small_light,P_search,small_light-P-binary-05,True
1788169268.2098591,P1,uranus,1,1005,900,1005,900,success,True,0.8970068250200711,binary_feedback:small_light-P-binary-05,,small_light,P_search,small_light-P-binary-05,True
1788169411.9349546,D0,ganymede,0,1500,975,1500,975,success,True,1.4345598479849286,binary_feedback:small_light-D-binary-01,,small_light,D_search,small_light-D-binary-01,True
1788169413.6857488,D1,ganymede,1,1500,975,1500,975,success,True,0.6602671059663408,binary_feedback:small_light-D-binary-01,,small_light,D_search,small_light-D-binary-01,True
1788169560.2006402,D0,ganymede,0,975,675,975,675,success,True,1.305630314978771,binary_feedback:small_light-D-binary-02,,small_light,D_search,small_light-D-binary-02,True
1788169561.8227699,D1,ganymede,1,975,675,975,675,success,True,0.671206928032916,binary_feedback:small_light-D-binary-02,,small_light,D_search,small_light-D-binary-02,True
1788169718.7677767,D0,ganymede,0,675,525,675,525,success,True,1.3128438440035097,binary_feedback:small_light-D-binary-03,,small_light,D_search,small_light-D-binary-03,True
1788169720.397979,D1,ganymede,1,675,525,675,525,success,True,0.6656063799746335,binary_feedback:small_light-D-binary-03,,small_light,D_search,small_light-D-binary-03,True
1788169877.4937239,D0,ganymede,0,525,450,525,450,success,True,1.6316242819884792,binary_feedback:small_light-D-binary-04,,small_light,D_search,small_light-D-binary-04,True
1788169879.454874,D1,ganymede,1,525,450,525,450,success,True,1.6316675269627012,binary_feedback:small_light-D-binary-04,,small_light,D_search,small_light-D-binary-04,True
1788170388.6931648,P0,uranus,0,900,2520,900,2520,success,True,1.5258719270350412,binary_feedback:prefill_heavy-baseline-high,,prefill_heavy,baseline_high,prefill_heavy-baseline-high,True
1788170390.4998705,P1,uranus,1,900,2520,900,2520,success,True,0.595916400954593,binary_feedback:prefill_heavy-baseline-high,,prefill_heavy,baseline_high,prefill_heavy-baseline-high,True
1788170391.4122386,D0,ganymede,0,450,1500,450,1500,success,True,0.7190028459881432,binary_feedback:prefill_heavy-baseline-high,,prefill_heavy,baseline_high,prefill_heavy-baseline-high,True
1788170392.445794,D1,ganymede,1,450,1500,450,1500,success,True,0.6470516139524989,binary_feedback:prefill_heavy-baseline-high,,prefill_heavy,baseline_high,prefill_heavy-baseline-high,True
1788170614.1417174,P0,uranus,0,2520,1710,2520,1710,success,True,0.6188140580197796,binary_feedback:prefill_heavy-P-binary-01,,prefill_heavy,P_search,prefill_heavy-P-binary-01,True
1788170615.0446305,P1,uranus,1,2520,1710,2520,1710,success,True,0.883611434022896,binary_feedback:prefill_heavy-P-binary-01,,prefill_heavy,P_search,prefill_heavy-P-binary-01,True
1788170765.147587,P0,uranus,0,1710,2115,1710,2115,success,True,0.6093805719865486,binary_feedback:prefill_heavy-P-binary-02,,prefill_heavy,P_search,prefill_heavy-P-binary-02,True
1788170766.0375938,P1,uranus,1,1710,2115,1710,2115,success,True,0.5962665990227833,binary_feedback:prefill_heavy-P-binary-02,,prefill_heavy,P_search,prefill_heavy-P-binary-02,True
1788170919.01873,P0,uranus,0,2115,2310,2115,2310,success,True,0.5774249869864434,binary_feedback:prefill_heavy-P-binary-03,,prefill_heavy,P_search,prefill_heavy-P-binary-03,True
1788170919.881929,P1,uranus,1,2115,2310,2115,2310,success,True,0.6047154110274278,binary_feedback:prefill_heavy-P-binary-03,,prefill_heavy,P_search,prefill_heavy-P-binary-03,True
1788171079.221184,P0,uranus,0,2310,2415,2310,2415,success,True,0.6173292190069333,binary_feedback:prefill_heavy-P-binary-04,,prefill_heavy,P_search,prefill_heavy-P-binary-04,True
1788171080.1325188,P1,uranus,1,2310,2415,2310,2415,success,True,0.8876784680178389,binary_feedback:prefill_heavy-P-binary-04,,prefill_heavy,P_search,prefill_heavy-P-binary-04,True
1788171238.9584908,P0,uranus,0,2415,2520,2415,2520,success,True,0.6131556049804203,binary_feedback:prefill_heavy-D-binary-01,,prefill_heavy,D_search,prefill_heavy-D-binary-01,True
1788171239.8563988,P1,uranus,1,2415,2520,2415,2520,success,True,0.5974171640118584,binary_feedback:prefill_heavy-D-binary-01,,prefill_heavy,D_search,prefill_heavy-D-binary-01,True
1788171240.740633,D0,ganymede,0,1500,975,1500,975,success,True,1.3634134689928032,binary_feedback:prefill_heavy-D-binary-01,,prefill_heavy,D_search,prefill_heavy-D-binary-01,True
1788171242.430364,D1,ganymede,1,1500,975,1500,975,success,True,0.9814083660021424,binary_feedback:prefill_heavy-D-binary-01,,prefill_heavy,D_search,prefill_heavy-D-binary-01,True
1788171394.83911,D0,ganymede,0,975,1275,975,1275,success,True,1.2922331360168755,binary_feedback:prefill_heavy-D-binary-02,,prefill_heavy,D_search,prefill_heavy-D-binary-02,True
1788171396.4467993,D1,ganymede,1,975,1275,975,1275,success,True,0.6647786310059018,binary_feedback:prefill_heavy-D-binary-02,,prefill_heavy,D_search,prefill_heavy-D-binary-02,True
1788171555.8722672,D0,ganymede,0,1275,1125,1275,1125,success,True,1.3005630070110783,binary_feedback:prefill_heavy-D-binary-03,,prefill_heavy,D_search,prefill_heavy-D-binary-03,True
1788171557.488526,D1,ganymede,1,1275,1125,1275,1125,success,True,0.6550664670066908,binary_feedback:prefill_heavy-D-binary-03,,prefill_heavy,D_search,prefill_heavy-D-binary-03,True
1788171708.8309793,D0,ganymede,0,1125,1050,1125,1050,success,True,1.3067518040188588,binary_feedback:prefill_heavy-D-binary-04,,prefill_heavy,D_search,prefill_heavy-D-binary-04,True
1788171710.4661856,D1,ganymede,1,1125,1050,1125,1050,success,True,0.6693124520243146,binary_feedback:prefill_heavy-D-binary-04,,prefill_heavy,D_search,prefill_heavy-D-binary-04,True
1788172238.669902,D0,ganymede,0,1050,1500,1050,1500,success,True,1.2902166380081326,binary_feedback:decode_heavy-baseline-high,,decode_heavy,baseline_high,decode_heavy-baseline-high,True
1788172240.2746055,D1,ganymede,1,1050,1500,1050,1500,success,True,0.9685159290092997,binary_feedback:decode_heavy-baseline-high,,decode_heavy,baseline_high,decode_heavy-baseline-high,True
1788172715.527143,P0,uranus,0,2520,1710,2520,1710,success,True,0.9419556650100276,binary_feedback:decode_heavy-P-binary-01,,decode_heavy,P_search,decode_heavy-P-binary-01,True
1788172716.7482514,P1,uranus,1,2520,1710,2520,1710,success,True,0.8771533500403166,binary_feedback:decode_heavy-P-binary-01,,decode_heavy,P_search,decode_heavy-P-binary-01,True
1788173032.3530445,P0,uranus,0,1710,1305,1710,1305,success,True,0.8897237909841351,binary_feedback:decode_heavy-P-binary-02,,decode_heavy,P_search,decode_heavy-P-binary-02,True
1788173033.5241513,P1,uranus,1,1710,1305,1710,1305,success,True,0.8817989809904248,binary_feedback:decode_heavy-P-binary-02,,decode_heavy,P_search,decode_heavy-P-binary-02,True
1788173351.4821684,P0,uranus,0,1305,1110,1305,1110,success,True,0.8956357240094803,binary_feedback:decode_heavy-P-binary-03,,decode_heavy,P_search,decode_heavy-P-binary-03,True
1788173352.6590087,P1,uranus,1,1305,1110,1305,1110,success,True,0.869337655021809,binary_feedback:decode_heavy-P-binary-03,,decode_heavy,P_search,decode_heavy-P-binary-03,True
1788173668.3203897,P0,uranus,0,1110,1005,1110,1005,success,True,0.882605605002027,binary_feedback:decode_heavy-P-binary-04,,decode_heavy,P_search,decode_heavy-P-binary-04,True
