window_id,workload,phase,axis,repeat,confirmation_attempt,candidate_index,P0_requested_freq_mhz,P1_requested_freq_mhz,D0_requested_freq_mhz,D1_requested_freq_mhz,completed_requests,configured_max_concurrency,observed_peak_concurrency,concurrency_valid,dispatch_mode,closed_loop_batch_size,client_queue_valid,max_client_queue_delay_ms,p99_client_queue_delay_ms,nominal_trace_rate_rps,offered_rate_rps,achieved_throughput_rps,slo_goodput_rps,measurement_valid,route_valid,clocks_valid,slo_pass,slo_violation_count,ttft_measurement_scope,mean_ttft_ms,p99_ttft_ms,max_ttft_ms,mean_client_ttft_ms,p99_client_ttft_ms,mean_tpot_ms,p99_tpot_ms,max_tpot_ms,joules_per_request,total_gpu_gross_energy_j,P_pool_energy_j,D_pool_energy_j,route_distribution_json,frequency_match_fraction_json,window_start_unix_s,window_end_unix_s,hard_gates_json
011-small_light-P_search-r01,small_light,P_search,P,1,0,1,1005,1005,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.03266334533691406,0.03266334533691406,1.0,,0.5355890161099939,0.5355890161099939,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,198.79820644200663,204.50179401086643,204.50179401086643,203.20390312554082,212.2156730038114,56.00769054379069,56.05667652395953,56.05667652395953,482.420625,7718.73,3739.076,3979.654,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169164.232364,1788169194.1060162,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
012-small_light-P_search-r02,small_light,P_search,P,2,0,1,1005,1005,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.014781951904296875,0.014781951904296875,1.0,,0.5353913643892068,0.5353913643892068,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,199.2111928666418,212.18841499648988,212.18841499648988,203.2205273717409,215.76683700550348,56.012240793770324,56.052304698996956,56.052304698996956,481.2004375,7699.207,3720.905,3978.3019999999997,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169235.5967958,1788169265.4814765,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
013-small_light-P_search-r01,small_light,P_search,P,1,0,0,900,900,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.030279159545898438,0.030279159545898438,1.0,,0.5348584962108368,0.5348584962108368,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,203.3249648011406,214.27354001207277,214.27354001207277,207.66178606936592,221.18182299891487,56.021861142769,56.067727079304554,56.067727079304554,479.0193125,7664.309,3684.21,3980.099,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169308.8561006,1788169338.7705548,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
014-small_light-P_search-r02,small_light,P_search,P,2,0,0,900,900,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.015735626220703125,0.015735626220703125,1.0,,0.5347129729937411,0.5347129729937411,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,205.07584481310914,215.41364496806636,215.41364496806636,209.11535937193548,219.8922429815866,56.01905490760738,56.05309609497439,56.05309609497439,480.916375,7694.662,3696.1980000000003,3998.464,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169380.112951,1788169410.0355465,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
015-small_light-D_search-r01,small_light,D_search,D,1,0,7,900,900,975,975,16,2,2,True,closed_loop_batches,2,True,0.07748603820800781,0.07748603820800781,1.0,,0.5280727593497864,0.5280727593497864,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,206.71167755426723,215.5773679842241,215.5773679842241,211.3405084965052,221.26587497768924,56.72816821635703,56.75805850778633,56.75805850778633,453.641375,7258.262,3767.3419999999996,3490.92,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169453.7582307,1788169484.0570858,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
016-small_light-D_search-r02,small_light,D_search,D,2,0,7,900,900,975,975,16,2,2,True,closed_loop_batches,2,True,0.01811981201171875,0.01811981201171875,1.0,,0.5281676596704189,0.5281676596704189,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,206.02215213511954,216.32487000897527,216.32487000897527,209.9347751827736,220.07057297741994,56.73537063979431,56.79416753968874,56.79416753968874,450.930125,7214.882,3747.5,3467.382,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169528.0651116,1788169558.3585227,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
017-small_light-D_search-r01,small_light,D_search,D,1,0,3,900,900,675,675,16,2,2,True,closed_loop_batches,2,True,0.02384185791015625,0.02384185791015625,1.0,,0.5220468812880691,0.5220468812880691,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,200.92501412364072,213.18808995420113,213.18808995420113,205.13425625904347,218.37682998739183,57.49271486095654,57.52182417523323,57.52182417523323,453.6953125,7259.125,3815.837,3443.288,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169604.8354967,1788169635.484085,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
018-small_light-D_search-r02,small_light,D_search,D,2,0,3,900,900,675,675,16,2,2,True,closed_loop_batches,2,True,0.012159347534179688,0.012159347534179688,1.0,,0.5221022799886883,0.5221022799886883,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,199.44748687703395,212.92202098993585,212.92202098993585,203.35166862787446,216.5320699568838,57.48482161398565,57.520652222188396,57.520652222188396,452.2388125,7235.821,3782.996,3452.825,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169686.225497,1788169716.8708334,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
019-small_light-D_search-r01,small_light,D_search,D,1,0,1,900,900,525,525,16,2,2,True,closed_loop_batches,2,True,0.013113021850585938,0.013113021850585938,1.0,,0.5152835290229435,0.5152835290229435,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,202.87356169137638,232.10021300474182,232.10021300474182,207.04643194403616,237.51920700306073,58.22312900295762,58.246665270186014,58.246665270186014,456.795125,7308.722,3868.233,3440.4889999999996,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169763.5765138,1788169794.6273801,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
020-small_light-D_search-r02,small_light,D_search,D,2,0,1,900,900,525,525,16,2,2,True,closed_loop_batches,2,True,0.0152587890625,0.0152587890625,1.0,,0.5158068776521346,0.5158068776521346,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,200.77933586435392,210.59900900581852,210.59900900581852,204.74325287432293,214.1935219988227,58.22788054357507,58.26160711114339,58.26160711114339,455.917875,7294.686,3840.897,3453.7889999999998,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169844.7259154,1788169875.745277,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
021-small_light-D_search-r01,small_light,D_search,D,1,0,0,900,900,450,450,16,2,2,True,closed_loop_batches,2,True,0.030517578125,0.030517578125,1.0,,0.5106998878800334,0.5106998878800334,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,200.15659925047657,216.15987899713218,216.15987899713218,204.35715607527527,220.57687700726092,58.83110319129108,58.90086363531679,58.90086363531679,458.1606875,7330.571,3890.7030000000004,3439.868,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169920.6073234,1788169951.936878,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
022-small_light-D_search-r02,small_light,D_search,D,2,0,0,900,900,450,450,16,2,2,True,closed_loop_batches,2,True,0.032901763916015625,0.032901763916015625,1.0,,0.5111873582742194,0.5111873582742194,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,198.65314787602983,209.16255400516093,209.16255400516093,202.60424218940898,212.36467303242534,58.836120722209294,58.900146254537894,58.900146254537894,458.55162499999994,7336.825999999999,3884.7969999999996,3452.029,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169994.0849185,1788170025.384597,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
023-small_light-confirmation-r01,small_light,confirmation,,1,0,,900,900,450,450,16,2,2,True,closed_loop_batches,2,True,0.03647804260253906,0.03647804260253906,1.0,,0.5098869985883846,0.5098869985883846,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,208.2048828851839,220.7895049941726,220.7895049941726,212.64489343229798,227.4278019904159,58.84581088789024,58.88009831745414,58.88009831745414,459.357625,7349.722,3889.248,3460.474,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788170066.1621385,1788170097.5416403,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
024-small_light-confirmation-r02,small_light,confirmation,,2,0,,900,900,450,450,16,2,2,True,closed_loop_batches,2,True,0.10514259338378906,0.10514259338378906,1.0,,0.5097431405573319,0.5097431405573319,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,209.48446967668133,214.68350297072902,214.68350297072902,213.77584773654235,217.982258007396,58.845405560575834,58.89255379322946,58.89255379322946,459.2305625,7347.689,3894.1270000000004,3453.562,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788170138.5161698,1788170169.9045274,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
025-small_light-confirmation-r03,small_light,confirmation,,3,0,,900,900,450,450,16,2,2,True,closed_loop_batches,2,True,0.03504753112792969,0.03504753112792969,1.0,,0.5096439465812412,0.5096439465812412,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,210.81750931261922,218.91956799663603,218.91956799663603,214.79338300196105,222.31586003908888,58.85230789383982,58.87936490462235,58.87936490462235,458.63712499999997,7338.1939999999995,3886.423,3451.771,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788170210.4735456,1788170241.8680124,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
