window_id,workload,phase,axis,repeat,confirmation_attempt,candidate_index,P0_requested_freq_mhz,P1_requested_freq_mhz,D0_requested_freq_mhz,D1_requested_freq_mhz,completed_requests,configured_max_concurrency,observed_peak_concurrency,concurrency_valid,dispatch_mode,closed_loop_batch_size,client_queue_valid,max_client_queue_delay_ms,p99_client_queue_delay_ms,nominal_trace_rate_rps,offered_rate_rps,achieved_throughput_rps,slo_goodput_rps,measurement_valid,route_valid,clocks_valid,slo_pass,slo_violation_count,ttft_measurement_scope,mean_ttft_ms,p99_ttft_ms,max_ttft_ms,mean_client_ttft_ms,p99_client_ttft_ms,mean_tpot_ms,p99_tpot_ms,max_tpot_ms,joules_per_request,total_gpu_gross_energy_j,P_pool_energy_j,D_pool_energy_j,route_distribution_json,frequency_match_fraction_json,window_start_unix_s,window_end_unix_s,hard_gates_json
001-global_warmup-warmup-r01,global_warmup,warmup,,1,0,,2520,2520,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.0553131103515625,0.0553131103515625,4.0,,1.8087608034925873,1.5826657030560138,True,True,True,False,2,proxy_request_received_to_first_real_decode_chunk,249.17935925986967,683.1960910349153,683.1960910349153,254.72053882549517,695.2526940149255,56.27453631580769,56.63743179757148,56.63743179757148,156.13049999999998,2498.0879999999997,1490.114,1007.9739999999999,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788168472.5951076,1788168481.4409428,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
002-small_light-baseline_high-r01,small_light,baseline_high,,1,0,,2520,2520,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.012636184692382812,0.012636184692382812,1.0,,0.5400669591355937,0.5400669591355937,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,170.37395981969894,174.6073780232109,174.6073780232109,174.30359455465805,179.54617697978392,55.98530658128781,56.00409377791313,56.00409377791313,543.3850625,8694.161,4790.225,3903.936,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788168517.8436315,1788168547.4695876,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
003-small_light-baseline_high-r02,small_light,baseline_high,,2,0,,2520,2520,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.03337860107421875,0.03337860107421875,1.0,,0.5379833927944246,0.5379833927944246,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,182.51219388912432,193.3703090180643,193.3703090180643,187.30698830768233,196.28420000663027,55.99547652199694,56.050513063498315,56.050513063498315,546.956375,8751.302,4809.787,3941.5150000000003,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788168588.4001555,1788168618.1408505,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
004-small_light-baseline_high-r03,small_light,baseline_high,,3,0,,2520,2520,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.08153915405273438,0.08153915405273438,1.0,,0.5380040690823991,0.5380040690823991,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,181.7720143844781,191.03231199551374,191.03231199551374,186.94863525161054,199.89246304612607,55.98962982739544,56.03899211079503,56.03899211079503,548.6083125,8777.733,4816.601000000001,3961.132,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788168658.9120018,1788168688.6515539,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
005-small_light-P_search-r01,small_light,P_search,P,1,0,8,1710,1710,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.03719329833984375,0.03719329833984375,1.0,,0.5368361679632094,0.5368361679632094,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,188.29470430864603,201.5702470089309,201.5702470089309,192.99980725554633,206.62369299679995,56.006871112971105,56.0737457301926,56.0737457301926,487.72837499999997,7803.6539999999995,3834.8239999999996,3968.83,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788168731.6353087,1788168761.43956,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
006-small_light-P_search-r02,small_light,P_search,P,2,0,8,1710,1710,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.014781951904296875,0.014781951904296875,1.0,,0.5356604992536146,0.5356604992536146,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,195.8438351211953,202.77969597373158,202.77969597373158,200.52671512166853,206.9576740032062,56.04412124318067,56.12676966628651,56.12676966628651,488.7584375,7820.135,3840.819,3979.316,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788168802.768591,1788168832.6382565,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
007-small_light-P_search-r01,small_light,P_search,P,1,0,4,1305,1305,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.022172927856445312,0.022172927856445312,1.0,,0.5351944987230917,0.5351944987230917,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,199.5067778734665,206.60650898935273,206.60650898935273,204.05120250143227,210.76703601283953,56.04586582835292,56.15970133323341,56.15970133323341,485.0515625,7760.825,3763.004,3997.821,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788168876.7312279,1788168906.6269014,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
008-small_light-P_search-r02,small_light,P_search,P,2,0,4,1305,1305,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.0133514404296875,0.0133514404296875,1.0,,0.5359400227681334,0.5359400227681334,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,194.7043153741106,207.12504599941894,207.12504599941894,198.69324593310012,210.61999996891245,56.008947954401336,56.0379406032596,56.0379406032596,485.000625,7760.01,3778.0209999999997,3981.989,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788168948.1200976,1788168977.9741845,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
009-small_light-P_search-r01,small_light,P_search,P,1,0,2,1110,1110,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.03504753112792969,0.03504753112792969,1.0,,0.5353185396256653,0.5353185396256653,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,197.1954476866813,214.06572504201904,214.06572504201904,202.2230359398236,218.86362601071596,55.9996711815493,56.020869285843915,56.020869285843915,483.2715625,7732.345,3730.4300000000003,4001.915,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169021.0198812,1788169050.9086275,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
010-small_light-P_search-r02,small_light,P_search,P,2,0,2,1110,1110,1500,1500,16,2,2,True,closed_loop_batches,2,True,0.03409385681152344,0.03409385681152344,1.0,,0.5363582393405087,0.5363582393405087,True,True,True,True,0,proxy_request_received_to_first_real_decode_chunk,192.17758337617852,201.34608302032575,201.34608302032575,196.3305576282437,205.79342998098582,55.999239258992944,56.018973571351836,56.018973571351836,483.04724999999996,7728.755999999999,3739.12,3989.636,"{""P0->D0"": 8, ""P0->D1"": 0, ""P1->D0"": 0, ""P1->D1"": 8}","{""D0"": 1.0, ""D1"": 1.0, ""P0"": 1.0, ""P1"": 1.0}",1788169091.481209,1788169121.3120177,"{""endpoint_assignment"": true, ""endpoint_coverage"": true, ""explicit_compatibility"": true, ""fixed_clocks"": true, ""logical_request_id"": true, ""no_invalidating_thermal_or_hw_slowdown"": true, ""no_resource_overlap"": true, ""nvml_energy_windows"": true, ""pair_coverage"": true, ""phase3a_token_semantics"": true, ""real_sse_and_latency"": true, ""requested_output_tokens"": true}"
