bin,request_index_start,request_index_end,nominal_send_start_s,nominal_send_end_s,count,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
1,1,160,0.0,5.0,160,5989.238400012255,10013.613481179345,10207.666983837262,,,,,,
2,161,320,5.0,10.0,160,11052.405376452953,12761.904800101182,13066.760296616703,,,,,,
3,321,480,10.0,15.0,160,14358.77554898616,17444.084185326938,17644.55322965281,,,,,,
4,481,640,15.0,20.0,160,17988.136896514334,20350.825294555398,20531.588993110927,,,,,,
5,641,800,20.0,25.0,160,21215.040260984097,23602.983416849747,23769.73017100594,,,,,,
6,801,960,25.0,30.0,160,24454.70528700389,24590.630702936323,24607.697506200057,,,,,,
7,961,1120,30.0,35.0,160,24601.4498154982,24713.006878632586,24754.100999434013,,,,,,
8,1121,1280,35.0,40.0,160,24770.332896965556,25239.40070073004,25242.845223436598,,,,,,
9,1281,1440,40.0,45.0,160,25058.15077450825,25170.097225363133,25192.24905710551,,,,,,
10,1441,1600,45.0,50.0,160,24888.840968953446,24965.389114804566,25005.615531959338,,,,,,
11,1601,1760,50.0,55.0,160,24864.835796994157,25038.27785893227,25042.407639856683,,,,,,
12,1761,1920,55.0,60.0,160,24303.920951031614,24863.02439417923,24866.887329770252,,,,,,
