workload_id,purpose,input_len,output_len,planned_requests,completed_requests,mean_ttft_ms,mean_tpot_ms,mean_e2e_latency_ms
small_light,,128,64,48,48,191.02262768259,56.36743707442225,4441.987383523762
prefill_medium,,1024,64,48,48,327.41711668495554,57.365861715004066,4499.61281558232
prefill_heavy,,2048,64,48,48,463.788907185517,58.64634446497706,4724.309385206046
decode_medium,,128,128,48,48,189.04070618251959,56.05742978316518,7839.056121709291
decode_heavy,,128,256,48,48,184.7601811872058,56.02524321428991,14741.971589935323
balanced_medium,,512,128,48,48,214.05799950540919,56.3986878889285,7385.412048707319
both_heavy,,2048,256,48,48,464.52774833475513,58.14513906372275,15300.161196979994
