adaptive,attempt,axis,candidate_id,control_inclusive_duration_sum_s,control_inclusive_energy_sum_j,decode_frequency_mhz,early_stop_reason,energy_statistic,event,grid_index,input_output_shapes,latency_statistic,measured_energy_j,measured_power_w,prefill_frequency_mhz,probe_id,repeat_index,request_active_duration_sum_s,request_active_energy_sum_j,sample_count,search_stage,slo_met,tpot_ms,ttft_ms,workload_id
True,1,P,production-trigger-balanced_medium-attempt-1-binary-slo-P-1,23.597968339920044,3044.561511076987,1500,,mean_request_energy_j,probe_candidate_aggregated,1,"[[384, 96], [512, 128], [640, 160]]",p95,974.1944480116168,131.36670566287808,1005,production-trigger-balanced_medium-attempt-1-binary-slo-P-1,,22.243541479110718,2922.5833440348506,3,binary-slo,True,56.54353910486435,266.8755396036431,balanced_medium
True,1,P,production-trigger-balanced_medium-attempt-1-binary-slo-P-0,23.641818046569824,3040.4786877036095,1500,,mean_request_energy_j,probe_candidate_aggregated,0,"[[384, 96], [512, 128], [640, 160]]",p95,974.279021811982,131.17492033217553,900,production-trigger-balanced_medium-attempt-1-binary-slo-P-0,,22.274672269821167,2922.837065435946,3,binary-slo,True,56.549342683986325,277.33988226391375,balanced_medium
True,1,P,production-trigger-balanced_medium-attempt-1-energy-refine-P-2,23.309840202331543,3035.25047069788,1500,,mean_request_energy_j,probe_candidate_aggregated,2,"[[384, 96], [512, 128], [640, 160]]",p95,979.8215757434567,132.07223620434652,1110,production-trigger-balanced_medium-attempt-1-energy-refine-P-2,,22.24722647666931,2939.46472723037,3,energy-refine,True,56.54278579090884,258.63365940749645,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-binary-slo-D-7,25.121264696121216,2980.078737549484,975,,mean_request_energy_j,probe_candidate_aggregated,7,"[[384, 96], [512, 128], [640, 160]]",p95,921.2316826432943,122.20362532645744,1005,production-trigger-balanced_medium-attempt-1-binary-slo-D-7,,22.609159469604492,2763.695047929883,3,binary-slo,True,57.554073558766504,269.0263910451904,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-binary-slo-D-3,24.385520696640015,2897.073192641139,675,,mean_request_energy_j,probe_candidate_aggregated,3,"[[384, 96], [512, 128], [640, 160]]",p95,928.1244840597113,120.96436469410769,1005,production-trigger-balanced_medium-attempt-1-binary-slo-D-3,,23.03358221054077,2784.373452179134,3,binary-slo,True,58.71185138204156,275.32561253756285,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-binary-slo-D-1,24.647018432617188,2907.343600705266,525,,mean_request_energy_j,probe_candidate_aggregated,1,"[[384, 96], [512, 128], [640, 160]]",p95,935.6413300683101,119.7330580127155,1005,production-trigger-balanced_medium-attempt-1-binary-slo-D-1,,23.44650650024414,2806.9239902049303,3,binary-slo,True,59.84045134305158,273.8353766966611,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-binary-slo-D-0,24.985785722732544,2927.7408236712217,450,,mean_request_energy_j,probe_candidate_aggregated,0,"[[384, 96], [512, 128], [640, 160]]",p95,941.6458736707767,118.99357753425942,1005,production-trigger-balanced_medium-attempt-1-binary-slo-D-0,,23.755429983139038,2824.93762101233,3,binary-slo,True,60.715790679418205,279.2464336147532,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-energy-refine-D-6,23.987374544143677,2856.4674021974206,900,,mean_request_energy_j,probe_candidate_aggregated,6,"[[384, 96], [512, 128], [640, 160]]",p95,917.2467654397091,121.11889598250582,1005,production-trigger-balanced_medium-attempt-1-energy-refine-D-6,,22.72256302833557,2751.740296319127,3,energy-refine,True,57.802291177004264,275.66033541224897,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-energy-refine-D-8,23.776610136032104,2853.2115413099527,1050,,mean_request_energy_j,probe_candidate_aggregated,8,"[[384, 96], [512, 128], [640, 160]]",p95,917.1063796008626,122.14788822278678,1005,production-trigger-balanced_medium-attempt-1-energy-refine-D-8,,22.532755851745605,2751.319138802588,3,energy-refine,True,57.33877646659594,267.434190842323,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-energy-refine-D-9,23.684707641601562,2851.202252149582,1125,,mean_request_energy_j,probe_candidate_aggregated,9,"[[384, 96], [512, 128], [640, 160]]",p95,916.2011020456752,122.30804639366693,1005,production-trigger-balanced_medium-attempt-1-energy-refine-D-9,,22.472469568252563,2748.6033061370254,3,energy-refine,True,57.1682070337421,273.3569682575762,balanced_medium
True,1,D,production-trigger-balanced_medium-attempt-1-energy-refine-D-10,23.654752731323242,2895.1763556674123,1200,,mean_request_energy_j,probe_candidate_aggregated,10,"[[384, 96], [512, 128], [640, 160]]",p95,931.2220175142089,124.44108146170576,1005,production-trigger-balanced_medium-attempt-1-energy-refine-D-10,,22.442242860794067,2793.666052542627,3,energy-refine,True,57.010119140273105,275.3918156027794,balanced_medium
False,1,,production-trigger-balanced_medium-attempt-1-confirm,23.784926652908325,2878.474137239158,1125,,mean_request_energy_j,probe_candidate_aggregated,,"[[384, 96], [512, 128], [640, 160]]",p95,923.0932274560133,123.09290082463797,1005,production-trigger-balanced_medium-attempt-1-confirm,,22.49247455596924,2769.27968236804,3,confirmation,True,57.15783775988922,278.61321319360286,balanced_medium
True,1,P,production-trigger-prefill_heavy-attempt-1-binary-slo-P-8,15.669716358184814,2022.3668873608112,1500,,mean_request_energy_j,probe_candidate_aggregated,8,"[[1792, 48], [2048, 64], [2304, 80]]",p95,583.6735785255829,139.44544612582942,1710,production-trigger-prefill_heavy-attempt-1-binary-slo-P-8,,12.557637929916382,1751.0207355767488,3,binary-slo,False,58.31618632283211,541.9582843082026,prefill_heavy
