seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,input_1024_r1,30.719155,12,2331.891854,1477.165757,3809.057611,1.058071559,123.996173,317.421468
2,input_1024_r4,27.635987,24,2150.544188,1167.692068,3318.236256,0.921732293,120.069397,138.259844
3,input_1536_r1,31.629182,12,2290.719201,1531.236976,3821.956177,1.061654494,120.836392,318.496348
4,input_1536_r3,30.639005,24,2122.18852,1347.323731,3469.512251,0.963753403,113.238411,144.56301
5,input_2048_r1,32.254986,12,2299.698935,1513.61265,3813.311585,1.059253218,118.223942,317.775965
6,input_2048_r3,30.603336,24,2541.179926,1400.318353,3941.498279,1.094860633,128.793091,164.229095
7,input_2560_r1,31.903138,12,2277.888453,1513.329945,3791.218398,1.053116222,118.83528,315.934866
8,input_2560_r2,33.195433,20,2325.603664,1515.285404,3840.889069,1.06691363,115.705345,192.044453
9,input_3072_r1,31.572808,12,2253.804707,1510.271957,3764.076664,1.045576851,119.21894,313.673055
10,input_3072_r2,33.300646,20,2247.346281,1534.659461,3782.005742,1.050557151,113.571542,189.100287
