request_index,request_id,route,prefill_tp,decode_tp,input_tokens,output_tokens,prefill_mhz,decode_mhz,predicted_p99_ttft_ms,forwarding_ttft_ms,forwarding_ttft_slo_met,wait_excluded_ttft_ms,raw_ttft_ms,pre_forward_overhead_ms,prefill_http_ms,prefill_to_decode_dispatch_ms,decode_to_first_chunk_ms,actual_minus_predicted_ms
9,9aa55ec364434b3890da11982296b29c,P1-D2,1,2,512,128,210,360,497.8,577.744,False,1187.985,21187.985,610.241,343.862,0.188,233.688,79.944
14,b5e5108c9ba04aafb9d08cc1e40021bf,P2-D1,2,1,512,128,210,570,176.9,387.205,True,853.777,20853.777,466.572,206.818,0.152,180.23,210.305
11,d6b9c38c0f4544f2881953886ed54713,P1-D0,1,1,512,128,210,570,497.8,548.665,False,25861.058,45861.058,25312.393,342.109,0.161,206.392,50.865
10,c141e9b0ecde42f8a958da2ecef305f4,P2-D2,2,2,512,128,210,360,176.9,321.252,True,30811.996,50811.996,30490.744,203.333,0.215,117.7,144.352
26,74b59400214649ea9a22853c9325fb24,P1-D1,1,1,512,128,210,570,497.8,544.278,False,25060.791,45060.791,24516.513,343.299,0.171,200.793,46.478
29,cc0250a5817d4cdfbf7274d747912f3a,P2-D1,2,1,512,128,210,570,176.9,373.576,True,792.387,20792.387,418.811,202.385,0.152,171.033,196.676
16,28c0dbcf7bad46cdb3c82f0d826629ea,P1-D0,1,1,512,128,210,570,497.8,542.13,False,80720.228,100720.228,80178.098,341.653,0.152,200.321,44.33
12,1c10025a24a94f6bac2a53d53eefb603,P1-D2,1,2,512,128,210,360,497.8,576.985,False,111426.482,131426.482,110849.497,341.676,0.15,235.153,79.185
17,87423abb752d42dab9b37e5fb935556f,P2-D0,2,1,512,128,210,570,176.9,375.0,True,107648.838,127648.838,107273.838,201.578,0.177,173.243,198.1
13,5815db3adfb24752ab393f5b409540c2,P0-D2,1,2,512,128,210,360,497.8,573.353,False,137216.223,157216.223,136642.87,350.769,0.169,222.412,75.553
18,b421bc9c787b405bac0ebb55944fef00,P0-D0,1,1,512,128,210,570,497.8,546.482,False,159513.653,179513.653,158967.171,342.497,0.187,203.793,48.682
