scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,3483.579,4,1024,870.89475,3.4019326171875,True
D1,decode,1364.954,4,1024,341.2385,1.332962890625,True
P0,prefill,3658.166,4,1024,914.5415,3.572427734375,True
P1,prefill,4690.548,4,1024,1172.637,4.58061328125,True
P_pool,prefill,8348.714,4,1024,2087.1785,8.153041015625,True
D_pool,decode,4848.533,4,1024,1212.13325,4.7348955078125,True
all_GPU_boards,all,13197.247,4,1024,3299.31175,12.8879365234375,True
