seq,workload_id,duration_s,successful_requests,gpu_stream_count,covered_gpu_stream_count,min_gpu_coverage_ratio,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,baseline_short,31.650249,10,8,8,1.0,4915.936592,2591.687298,7507.62389,2.085451081,237.205841,750.762389
2,decode_scale_to_2,33.679943,80,8,8,1.0,5451.639743,3253.918842,8705.558585,2.418210718,258.479019,108.819482
3,decode_scale_to_3,24.810305,160,8,8,1.0,4213.69309,3142.956099,7356.649189,2.043513664,296.515866,45.979057
4,decode_scale_to_4,25.015989,200,8,8,1.0,4143.597506,3665.044169,7808.641675,2.169067132,312.14603,39.043208
5,short_r32_capacity,39.689003,320,8,8,1.0,8135.632341,6595.551236,14731.183576,4.091995438,371.165377,46.034949
6,balanced_prefill_scale_to_3,51.932554,160,8,8,1.0,12423.618803,9450.777268,21874.396071,6.076221131,421.207786,136.714975
7,balanced_prefill_scale_to_4,54.987122,240,8,8,1.0,15251.550607,10362.485945,25614.036552,7.115010153,465.818822,106.725152
8,decode_heavy_capacity,85.487998,40,8,8,1.0,24150.902063,17971.601052,42122.503114,11.70069531,492.730022,1053.062578
9,long_prompt_capacity,43.203654,80,8,8,1.0,12952.170893,8496.593389,21448.764282,5.957990078,496.457186,268.109554
10,balanced_extreme_capacity,51.953589,320,8,8,1.0,16095.99139,11306.540059,27402.531449,7.611814291,527.442512,85.632911
11,extreme_short_rps_capacity,43.713346,500,8,8,1.0,13792.119961,8728.949062,22521.069023,6.255852506,515.198929,45.042138
12,long_decode_capacity,147.893394,12,8,8,1.0,47058.657314,31878.979091,78937.636406,21.927121224,533.746873,6578.136367
13,very_long_prompt_capacity,45.151012,24,8,8,1.0,12534.125044,8776.430616,21310.55566,5.919598794,471.984007,887.939819
14,recovery_short,29.512896,15,8,8,1.0,7485.454057,3785.175224,11270.629282,3.130730356,381.888286,751.375285
