kind,mode,rep,from_mhz,from_mhz_read,to_mhz,cmd_ms,reach_ms,reach_minus_exit_ms
switch_breakdown,idle,0,1050,1050,1500,144.61001101881266,359.9848668090999,215.37485579028726
switch_breakdown,idle,0,1500,1500,1050,140.6085640192032,494.526541326195,353.9179773069918
switch_breakdown,idle,1,1050,1050,1500,152.3603922687471,498.4071282669902,346.0467359982431
switch_breakdown,idle,1,1500,1500,1050,152.37555326893926,496.3864372111857,344.01088394224644
switch_breakdown,idle,2,1050,1050,1500,142.33362674713135,500.19740080460906,357.8637740574777
switch_breakdown,idle,2,1500,1500,1050,143.09617318212986,492.10301879793406,349.0068456158042
switch_breakdown,idle,3,1050,1050,1500,143.09039898216724,500.1742448657751,357.08384588360786
switch_breakdown,idle,3,1500,1500,1050,144.98565578833222,496.1722791194916,351.18662333115935
switch_breakdown,idle,4,1050,1050,1500,138.9343892224133,498.26159002259374,359.32720080018044
switch_breakdown,idle,4,1500,1500,1050,155.6402719579637,498.3937288634479,342.7534569054842
switch_breakdown,idle,5,1050,1050,1500,145.05426213145256,496.26218201592565,351.2079198844731
switch_breakdown,idle,5,1500,1500,1050,142.13104685768485,500.9752376936376,358.84419083595276
switch_breakdown,loaded,0,1050,1050,1500,186.12785823643208,143.68305215612054,-42.44480608031154
switch_breakdown,loaded,0,1500,1500,1050,173.1751011684537,156.17675986140966,-16.99834130704403
switch_breakdown,loaded,1,1050,1050,1500,175.275060813874,194.8976586572826,19.622597843408585
switch_breakdown,loaded,1,1500,1500,1050,148.30543706193566,105.61234503984451,-42.69309202209115
switch_breakdown,loaded,2,1050,1050,1500,168.9126561395824,165.20303301513195,-3.709623124450445
switch_breakdown,loaded,2,1500,1500,1050,161.8612981401384,97.1942562609911,-64.66704187914729
switch_breakdown,loaded,3,1050,1050,1500,155.43870208784938,145.59338800609112,-9.84531408175826
switch_breakdown,loaded,3,1500,1500,1050,195.88326709344983,136.8067730218172,-59.076494071632624
switch_breakdown,loaded,4,1050,1050,1500,164.56501372158527,126.56416604295373,-38.000847678631544
switch_breakdown,loaded,4,1500,1500,1050,188.43043129891157,183.22512693703175,-5.205304361879826
switch_breakdown,loaded,5,1050,1050,1500,174.25405606627464,200.98392385989428,26.729867793619633
switch_breakdown,loaded,5,1500,1500,1050,211.543720215559,201.5092233195901,-10.034496895968914
