phase,freq_mhz,input_len,level_at_send,level_at_done,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,max_gap_ms
closed_loop,1050,512,32,32,2510580.6123966,ok,,346.83185582980514,101.88313154138478,256,26327.062003780156,973.4573261812329
closed_loop,1050,512,32,32,2510580.610324368,ok,,349.0631189197302,101.9050183340761,256,26334.862700197846,973.319785669446
closed_loop,1050,512,32,32,2510580.618781498,ok,,1304.4194327667356,98.45293365857181,256,26409.99373467639,973.7413795664907
closed_loop,1050,512,32,32,2510580.614563726,ok,,1309.1272679157555,98.49131488259516,256,26424.50788198039,973.4157691709697
closed_loop,1050,512,32,32,2510580.617979311,ok,,1305.9614850208163,98.51282259230229,256,26426.76840396598,973.2071990147233
closed_loop,1050,512,32,32,2510580.616392105,ok,,1307.388667948544,98.52303789526809,256,26430.796958040446,973.2059971429408
closed_loop,1050,512,32,32,2510580.613498445,ok,,1310.0819890387356,98.54724122686129,256,26439.674026798457,973.626411985606
closed_loop,1050,512,32,32,2510580.615580016,ok,,1308.1582873128355,98.55574768255738,256,26439.922824967653,973.527807276696
closed_loop,1050,512,32,32,2510580.617191831,ok,,1306.6469286568463,98.56718211781745,256,26441.357898060232,973.4543222002685
closed_loop,1050,512,32,32,2510580.621156428,ok,,2274.619897827506,94.95782362406744,256,26488.893133122474,973.4061360359192
closed_loop,1050,512,32,32,2510580.621839194,ok,,2274.013547692448,94.96830253880105,256,26490.962457843125,973.2412789016962
closed_loop,1050,512,32,32,2510580.619493059,ok,,2275.946426205337,94.97721612489983,256,26495.16284232959,973.1309153139591
closed_loop,1050,512,32,32,2510580.620151165,ok,,2275.5742711015046,94.98478938807168,256,26496.722973883152,973.1222949922085
closed_loop,1050,512,32,32,2510580.622935317,ok,,2273.0202130042017,94.99036915344642,256,26495.584434829652,973.0965220369399
closed_loop,1050,512,32,32,2510580.62347622,ok,,2272.3415861837566,94.99565075315974,256,26496.248207986355,973.032214678824
closed_loop,1050,512,32,32,2510580.622407124,ok,,2273.506686091423,94.9995902750422,256,26498.417227063328,973.0060929432511
closed_loop,1050,512,32,32,2510580.626639303,ok,,3241.078593302518,92.39297457148923,256,26801.400908268988,973.5223930329084
