phase,input_len,level_at_send,level_at_done,send_mono_s,status,error,ttft_ms,tpot_ms,tokens,latency_ms,max_gap_ms
switch_loaded,512,16,16,2510559.548652105,ok,,197.23231811076403,76.56916805415177,256,19722.490056883544,968.2173258624971
switch_loaded,512,16,16,2510559.551744442,ok,,1158.2056218758225,73.07044488250041,256,19791.272077243775,968.49320596084
switch_loaded,512,16,16,2510559.556061446,ok,,1154.222382698208,73.07886269089639,256,19789.385011885315,968.2358601130545
switch_loaded,512,16,16,2510559.555178978,ok,,1155.2355689927936,73.08415591388064,256,19791.737558785826,968.212422914803
switch_loaded,512,16,16,2510559.557244425,ok,,1153.2200458459556,73.08896028564548,256,19790.952424053103,968.2103958912194
switch_loaded,512,16,16,2510559.550456267,ok,,1160.0581649690866,73.09474614540152,256,19799.25474105403,968.2556660845876
switch_loaded,512,16,16,2510559.554151042,ok,,1156.4071401953697,73.09950557628683,256,19796.817617025226,968.2554160244763
switch_loaded,512,16,16,2510559.552964639,ok,,1157.638416159898,73.1054547955008,256,19799.565762281418,968.7105328775942
switch_loaded,512,16,16,2510559.562357237,ok,,2115.723248105496,69.52012068245048,256,19843.456603121012,189.5737536251545
switch_loaded,512,16,16,2510559.561022035,ok,,2117.6970242522657,69.52896787803255,256,19847.6359853521,189.4593578763306
switch_loaded,512,16,16,2510559.560336911,ok,,2118.6937568709254,69.53368007442823,256,19849.81805505231,189.39362792298198
switch_loaded,512,16,16,2510559.561612737,ok,,2117.5029990263283,69.53744625891832,256,19849.593515973538,189.3757120706141
switch_loaded,512,16,16,2510559.559584246,ok,,2119.58768684417,69.54178694891287,256,19852.764565963298,189.40762290731072
switch_loaded,512,16,16,2510559.558852223,ok,,2120.4162747599185,69.54430151438596,256,19854.232121724635,189.38203202560544
switch_loaded,512,16,16,2510559.558075827,ok,,2121.1406979709864,69.5477864942422,256,19855.8422611095,189.39627800136805
switch_loaded,512,16,16,2510559.562962144,ok,,2305.5749949999154,68.9862589917931,256,19897.1015708521,84.26660532131791
