mono_s,power_w,sm_mhz,energy_mj
2510563.486,60.56,1050,56466290325
2510563.601,60.57,1050,56466296376
2510563.716,60.60,1050,56466302422
2510563.836,60.59,1050,56466308486
2510563.956,60.61,1050,56466314537
2510564.077,60.64,1050,56466326638
2510564.196,60.63,1050,56466332708
2510564.315,60.63,1050,56466338774
2510564.431,60.60,1050,56466344834
2510564.546,60.58,1050,56466350920
2510564.661,60.61,1050,56466356978
2510564.777,60.63,1050,56466369108
2510564.895,60.73,1050,56466375186
2510565.017,60.72,1050,56466381255
2510565.136,60.74,1050,56466387340
2510565.256,60.74,1050,56466393409
2510565.374,60.74,1050,56466405550
2510565.489,60.80,1050,56466411620
2510565.603,60.86,1050,56466417707
2510565.718,60.85,1050,56466423783
2510565.835,60.83,1050,56466429864
2510565.950,60.81,1050,56466435940
2510566.066,60.83,1050,56466442024
2510566.181,60.78,1050,56466454161
2510566.296,60.77,1050,56466460256
2510566.416,60.78,1050,56466466345
2510566.535,60.83,1050,56466472435
2510566.654,60.82,1050,56466478526
2510566.770,60.86,1050,56466490673
2510566.885,60.85,1050,56466496761
2510567.001,60.87,1050,56466502858
2510567.115,60.90,1050,56466508951
2510567.234,60.95,1050,56466515047
2510567.349,60.96,1050,56466521137
2510567.465,61.03,1050,56466527235
2510567.580,61.05,1050,56466539420
2510567.695,61.07,1050,56466545510
2510567.809,61.04,1050,56466551616
2510567.924,61.02,1050,56466557710
2510568.039,61.03,1050,56466563814
2510568.155,61.02,1050,56466569916
2510568.273,61.05,1050,56466582125
2510568.389,61.12,1050,56466588215
2510568.504,61.12,1050,56466594325
2510568.619,61.12,1050,56466600430
2510568.733,61.06,1050,56466606531
2510568.848,61.10,1050,56466612641
2510568.963,61.12,1050,56466618738
2510569.079,61.18,1050,56466630956
2510569.195,61.17,1050,56466637068
2510569.315,61.22,1050,56466643181
2510569.434,61.19,1050,56466649301
2510569.554,61.19,1050,56466655415
2510569.674,61.24,1050,56466667649
2510569.794,61.25,1050,56466673770
2510569.914,61.27,1050,56466679887
2510570.033,61.28,1050,56466686011
2510570.149,61.27,1050,56466692131
2510570.263,61.29,1050,56466698265
2510570.378,61.32,1050,56466710472
2510570.494,61.27,1050,56466716592
2510570.612,61.25,1050,56466722724
2510570.728,61.25,1050,56466728835
2510570.842,61.20,1050,56466734918
2510570.956,61.21,1485,56466741553
2510571.074,63.19,1500,56466756007
2510571.192,64.13,1500,56466763233
2510571.308,65.13,1500,56466770441
2510571.424,66.20,1500,56466777677
2510571.539,67.18,1500,56466784886
2510571.654,68.25,1050,56466791149
2510571.772,68.24,1050,56466803276
2510571.886,68.21,1050,56466809347
2510572.001,68.16,1050,56466815413
2510572.116,67.19,1050,56466821490
2510572.233,66.13,1410,56466827681
2510572.349,65.67,1500,56466834884
2510572.464,65.73,1500,56466842102
2510572.579,65.72,1500,56466856583
2510572.694,66.79,1500,56466863836
2510572.813,67.79,1500,56466871072
2510572.934,68.01,1050,56466878156
2510573.053,68.03,1050,56466884269
2510573.173,68.08,1050,56466896439
2510573.292,68.08,1050,56466902526
2510573.405,66.45,1050,56466908623
2510573.520,65.38,1050,56466914688
2510573.635,65.32,1500,56466921354
2510573.753,65.37,1500,56466928627
2510573.873,65.34,1500,56466943173
2510573.994,65.46,1500,56466950465
2510574.113,67.35,1500,56466957737
2510574.231,69.18,1050,56466965113
2510574.347,68.44,1050,56466971261
2510574.462,68.48,1050,56466977368
2510574.577,68.51,1050,56466989562
2510574.692,68.56,1050,56466995663
2510574.807,67.52,1050,56467001763
2510574.921,66.13,1485,56467008099
2510575.036,66.06,1500,56467015313
2510575.152,66.06,1500,56467022562
2510575.272,66.16,1500,56467037127
2510575.395,66.15,1500,56467044424
2510575.513,67.22,1500,56467051673
2510575.657,68.26,1050,56467058649
2510575.772,68.40,1050,56467071049
2510575.892,68.52,1050,56467077179
2510576.006,68.56,1050,56467083300
2510576.121,67.80,1050,56467089411
2510576.236,66.77,1050,56467095526
2510576.352,65.67,1485,56467102320
2510576.472,65.78,1500,56467116961
2510576.594,65.90,1500,56467124260
2510576.712,65.91,1500,56467131579
2510576.833,66.96,1500,56467138839
2510576.952,67.89,1500,56467146198
2510577.075,68.96,1050,56467158595
2510577.193,68.97,1050,56467164731
2510577.312,68.96,1050,56467170855
2510577.431,68.99,1050,56467176979
2510577.552,67.88,1050,56467183108
2510577.671,65.61,1050,56467196228
2510577.785,65.69,1500,56467203519
2510577.901,65.72,1500,56467210806
2510578.016,65.71,1500,56467218100
2510578.132,65.69,1500,56467225394
2510578.252,66.76,1500,56467232726
2510578.372,67.81,1500,56467246585
2510578.491,68.97,1050,56467252767
2510578.605,68.98,1050,56467258944
2510578.720,69.01,1050,56467265129
2510578.834,69.03,1050,56467271313
2510578.950,68.00,1050,56467277466
2510579.065,65.93,1050,56467283648
2510579.179,64.06,1050,56467296005
2510579.294,62.79,1050,56467302174
2510579.411,61.69,1050,56467308285
2510579.522,59.05,1050,56467313879
2510579.628,55.54,1050,56467316276
2510579.734,52.03,1050,56467318573
2510579.839,48.47,1050,56467320862
2510579.946,44.95,1050,56467323146
2510580.051,41.41,1050,56467325429
2510580.156,37.90,1050,56467327716
2510580.264,34.33,1050,56467329995
2510580.370,30.82,1050,56467334557
2510580.475,24.07,1050,56467336831
2510580.581,24.07,1050,56467339100
2510580.686,23.00,1050,56467341407
2510580.793,27.70,1005,56467348417
2510580.901,32.27,1035,56467355687
2510581.008,36.60,1050,56467362956
2510581.115,40.99,1050,56467369996
2510581.226,45.39,1050,56467377105
2510581.333,49.80,1050,56467384297
2510581.441,54.22,1050,56467391448
2510581.547,58.56,1050,56467398550
2510581.655,59.61,1035,56467405676
2510581.766,71.44,1050,56467412809
2510581.873,71.82,1050,56467427174
2510581.981,71.50,1050,56467434262
2510582.088,71.34,1050,56467441360
2510582.195,71.28,1050,56467448477
2510582.305,71.29,1050,56467455586
2510582.413,71.40,1050,56467462756
2510582.519,71.35,1050,56467469871
2510582.626,71.46,1050,56467477036
2510582.733,71.60,1050,56467484184
2510582.840,71.54,1050,56467491348
2510582.947,71.53,1050,56467498486
2510583.054,71.45,1050,56467505604
2510583.165,71.66,1050,56467512729
2510583.272,71.57,1050,56467526963
2510583.380,71.67,1050,56467534095
2510583.486,71.78,1050,56467541222
2510583.593,71.60,1050,56467548388
2510583.700,71.58,1050,56467555554
2510583.806,71.49,1050,56467562733
2510583.913,71.39,1050,56467569866
2510584.025,71.37,1050,56467576941
2510584.132,71.53,1050,56467584028
2510584.239,71.37,1050,56467591123
2510584.346,71.36,1050,56467598260
2510584.453,71.39,1050,56467605406
2510584.560,71.24,1050,56467612571
2510584.667,71.31,1050,56467619705
2510584.774,71.24,1050,56467634000
2510584.884,71.34,1050,56467641155
2510584.992,71.41,1050,56467648316
2510585.099,71.62,1050,56467655545
2510585.207,71.08,1050,56467662673
2510585.320,70.41,1050,56467668975
2510585.434,69.67,1050,56467675233
2510585.549,68.86,1050,56467681491
2510585.662,68.12,1050,56467687756
2510585.776,67.31,1050,56467700286
2510585.890,66.54,1050,56467706537
2510586.007,65.68,1050,56467712817
2510586.120,63.98,1050,56467719089
2510586.235,63.14,1050,56467725363
2510586.349,62.82,1050,56467731640
2510586.463,62.81,1050,56467737901
2510586.577,62.80,1050,56467750440
2510586.690,62.82,1050,56467756729
2510586.808,62.82,1050,56467763002
2510586.921,62.85,1050,56467769278
2510587.034,62.88,1050,56467775563
2510587.148,62.87,1050,56467781841
2510587.261,62.90,1050,56467788142
2510587.374,62.94,1050,56467800686
2510587.487,62.93,1050,56467806978
2510587.600,62.93,1050,56467813251
2510587.713,62.93,1050,56467819547
2510587.827,62.92,1050,56467825830
2510587.942,62.91,1050,56467832114
2510588.055,62.89,1050,56467838401
2510588.168,62.90,1050,56467850987
2510588.281,62.94,1050,56467857267
2510588.395,62.96,1050,56467863571
2510588.508,62.96,1050,56467869852
2510588.621,62.98,1050,56467876136
2510588.734,62.97,1050,56467882423
2510588.847,63.00,1050,56467888720
2510588.961,63.04,1050,56467895014
2510589.074,63.06,1050,56467907601
2510589.187,63.07,1050,56467913908
2510589.300,63.05,1050,56467920222
2510589.414,63.06,1050,56467926520
2510589.527,63.05,1050,56467932825
2510589.640,63.11,1050,56467939140
2510589.754,63.13,1050,56467945444
2510589.867,63.18,1050,56467958054
2510589.980,63.17,1050,56467964357
2510590.094,63.17,1050,56467970670
2510590.207,63.18,1050,56467976971
2510590.320,63.16,1050,56467983289
2510590.434,63.16,1050,56467989609
2510590.547,63.17,1050,56467995922
2510590.660,63.18,1050,56468002237
2510590.774,63.18,1050,56468014836
2510590.887,63.15,1050,56468021152
2510591.001,63.11,1050,56468027460
2510591.114,63.12,1050,56468033784
2510591.227,63.12,1050,56468040107
2510591.341,63.16,1050,56468046416
2510591.454,63.21,1050,56468052734
2510591.568,63.23,1050,56468065378
2510591.686,63.22,1050,56468071702
2510591.800,63.20,1050,56468078026
2510591.914,63.25,1050,56468084336
2510592.027,63.24,1050,56468090658
2510592.146,63.25,1050,56468096981
2510592.259,63.28,1050,56468103305
2510592.373,63.30,1050,56468115945
2510592.486,63.32,1050,56468122273
2510592.600,63.28,1050,56468128599
2510592.714,63.25,1050,56468134922
2510592.828,63.27,1050,56468141245
2510592.946,63.28,1050,56468147581
2510593.059,63.37,1050,56468153896
2510593.174,63.38,1050,56468166553
2510593.288,63.36,1050,56468172877
2510593.406,63.34,1050,56468179211
2510593.519,63.35,1050,56468185540
2510593.633,63.38,1050,56468191872
2510593.747,63.42,1050,56468198207
2510593.865,63.44,1050,56468210874
2510593.980,63.43,1050,56468217200
2510594.093,63.44,1050,56468223551
2510594.206,63.47,1050,56468229881
2510594.320,63.46,1050,56468236210
2510594.434,63.45,1050,56468242557
2510594.548,63.44,1050,56468248886
2510594.665,63.45,1050,56468261569
2510594.779,63.51,1050,56468267903
2510594.893,63.49,1050,56468274236
2510595.006,63.46,1050,56468280575
2510595.120,63.44,1050,56468286922
2510595.233,63.45,1050,56468293257
2510595.348,63.44,1050,56468299600
2510595.464,63.51,1050,56468312280
2510595.576,63.51,1050,56468318628
2510595.690,63.46,1050,56468324975
2510595.806,63.48,1050,56468331328
2510595.920,63.46,1050,56468337644
2510596.034,63.49,1050,56468343937
2510596.147,63.45,1050,56468350235
2510596.264,63.37,1050,56468362815
2510596.378,63.24,1050,56468369110
2510596.491,63.19,1050,56468375402
2510596.604,63.20,1050,56468381694
2510596.718,63.18,1050,56468387988
2510596.831,63.18,1050,56468394287
2510596.944,63.06,1050,56468400589
2510597.057,62.99,1050,56468406896
2510597.170,63.02,1050,56468419497
2510597.283,63.09,1050,56468425806
2510597.396,63.10,1050,56468432106
2510597.509,63.11,1050,56468438421
2510597.624,63.07,1050,56468444734
2510597.737,63.03,1050,56468451021
2510597.851,63.03,1050,56468457334
2510597.964,63.13,1050,56468469971
2510598.076,63.19,1050,56468476289
2510598.189,63.20,1050,56468482602
2510598.304,63.23,1050,56468488919
2510598.417,63.20,1050,56468495232
2510598.530,63.16,1050,56468501543
2510598.643,63.13,1050,56468507854
2510598.756,63.18,1050,56468514167
2510598.869,63.26,1050,56468526792
2510598.984,63.26,1050,56468533115
2510599.095,63.25,1050,56468539440
2510599.208,63.23,1050,56468545755
2510599.324,63.16,1050,56468552077
2510599.437,63.17,1050,56468558387
2510599.550,63.22,1050,56468564702
2510599.663,63.27,1050,56468577367
2510599.776,63.32,1050,56468583685
2510599.889,63.32,1050,56468590017
2510600.003,63.31,1050,56468596344
2510600.116,63.25,1050,56468602679
2510600.229,63.20,1050,56468609009
2510600.343,63.27,1050,56468615348
2510600.457,63.36,1050,56468621677
