request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0000,P1,D1,1788438539.622158,1788438539.7449865,1788438539.74499,1788438539.7451024,1788438543.3477044,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0001,P1,D1,1788438543.358993,1788438543.4525185,1788438543.4525206,1788438543.4526298,1788438547.0527046,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0002,P1,D1,1788438547.061691,1788438547.1515303,1788438547.1515336,1788438547.151622,1788438550.7517571,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0003,P1,D1,1788438550.7595592,1788438550.8603866,1788438550.8603902,1788438550.8604772,1788438554.4593534,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0004,P1,D1,1788438554.468979,1788438554.573674,1788438554.573677,1788438554.5737674,1788438558.1756468,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0005,P1,D1,1788438558.1830668,1788438558.2903519,1788438558.2903533,1788438558.290428,1788438561.8903005,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0006,P1,D1,1788438562.8965368,1788438563.0051868,1788438563.005189,1788438563.005284,1788438566.603805,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0007,P1,D1,1788438567.8949494,1788438568.0074472,1788438568.0074506,1788438568.0075366,1788438571.6043506,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0008,P1,D1,1788438572.895403,1788438573.0183353,1788438573.0183375,1788438573.0184512,1788438576.619364,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0009,P1,D1,1788438577.8968146,1788438578.0178492,1788438578.017851,1788438578.0179386,1788438581.6165965,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0010,P1,D1,1788438582.8951998,1788438583.0096302,1788438583.0096326,1788438583.0097704,1788438586.6081257,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0011,P1,D1,1788438587.8951483,1788438588.0158982,1788438588.0159,1788438588.0159833,1788438591.613235,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0012,P1,D1,1788438592.8966186,1788438593.0044854,1788438593.0044873,1788438593.004573,1788438596.6042488,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0013,P1,D1,1788438597.8980482,1788438598.0094361,1788438598.0094385,1788438598.0095282,1788438601.6083283,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0014,P1,D1,1788438602.895308,1788438603.0066333,1788438603.0066352,1788438603.006764,1788438606.603575,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0015,P1,D1,1788438607.8959634,1788438608.007534,1788438608.0075364,1788438608.00762,1788438611.6054738,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0016,P1,D1,1788438612.8965197,1788438613.0149288,1788438613.0149312,1788438613.015024,1788438616.6155958,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0017,P1,D1,1788438617.896445,1788438618.013411,1788438618.0134134,1788438618.0134995,1788438621.6117823,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0018,P1,D1,1788438622.8951263,1788438623.0150583,1788438623.01506,1788438623.0151463,1788438626.6132004,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0019,P1,D1,1788438627.8964322,1788438628.015394,1788438628.0153959,1788438628.0154822,1788438631.6137,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0020,P1,D1,1788438632.896192,1788438633.0145066,1788438633.0145087,1788438633.0146074,1788438636.6126559,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0021,P1,D1,1788438637.896036,1788438638.0172148,1788438638.0172167,1788438638.0173068,1788438641.6158566,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0022,P1,D1,1788438642.8999047,1788438643.0194364,1788438643.0194383,1788438643.019529,1788438646.6190138,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0023,P1,D1,1788438647.8975778,1788438648.0068927,1788438648.006895,1788438648.0069911,1788438651.6039786,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0024,P1,D1,1788438652.8946524,1788438653.0064197,1788438653.0064228,1788438653.0065598,1788438656.604411,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0025,P1,D1,1788438657.8968253,1788438658.0092423,1788438658.0092447,1788438658.0093412,1788438661.6094,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0026,P1,D1,1788438662.8972716,1788438663.0078108,1788438663.0078132,1788438663.0079086,1788438666.6071677,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0027,P1,D1,1788438667.8961155,1788438668.0102448,1788438668.010247,1788438668.0103338,1788438671.6082942,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0028,P1,D1,1788438672.8951175,1788438673.0100412,1788438673.010044,1788438673.0101392,1788438676.6078234,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0029,P1,D1,1788438677.894398,1788438678.0052571,1788438678.005259,1788438678.0053442,1788438681.605353,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0030,P1,D1,1788438682.8943164,1788438683.0031443,1788438683.003146,1788438683.0032191,1788438686.601179,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0031,P1,D1,1788438687.89729,1788438688.004273,1788438688.0042763,1788438688.0044224,1788438691.6046615,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0032,P1,D1,1788438692.8952234,1788438693.012804,1788438693.0128067,1788438693.0128944,1788438696.610648,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0033,P1,D1,1788438697.89455,1788438698.0141838,1788438698.0141857,1788438698.0142741,1788438701.6115801,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0034,P1,D1,1788438702.8949397,1788438703.014582,1788438703.0145838,1788438703.0146608,1788438706.6117861,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0035,P1,D1,1788438707.8963635,1788438708.01051,1788438708.0105119,1788438708.010595,1788438711.6083875,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0036,P1,D1,1788438712.8940644,1788438713.0055625,1788438713.005565,1788438713.0056524,1788438716.606589,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0037,P1,D1,1788438717.896142,1788438718.0099182,1788438718.0099208,1788438718.01001,1788438721.6087558,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0038,P1,D1,1788438722.8961172,1788438723.018359,1788438723.0183613,1788438723.0184653,1788438726.6187127,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0039,P1,D1,1788438727.8977132,1788438728.020785,1788438728.0207875,1788438728.020889,1788438731.6206012,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0040,P1,D1,1788438732.8951054,1788438733.017434,1788438733.0174363,1788438733.017525,1788438736.616831,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0041,P1,D1,1788438737.8951824,1788438738.0147111,1788438738.0147133,1788438738.0148022,1788438741.6133747,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0042,P1,D1,1788438746.5496283,1788438746.6873336,1788438746.687336,1788438746.6874225,1788438750.371096,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0043,P1,D1,1788438750.378676,1788438750.5124898,1788438750.512492,1788438750.5125785,1788438754.1958776,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0044,P1,D1,1788438754.2040951,1788438754.3355205,1788438754.335523,1788438754.3356066,1788438758.019233,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0045,P1,D1,1788438758.0277002,1788438758.1591983,1788438758.1592007,1788438758.1592872,1788438761.8441553,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0046,P1,D1,1788438762.897597,1788438763.0354352,1788438763.035438,1788438763.0355337,1788438766.73044,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0047,P1,D1,1788438767.8950536,1788438768.0298345,1788438768.029837,1788438768.0299246,1788438771.7133687,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0048,P1,D1,1788438776.5336802,1788438776.7732534,1788438776.7732563,1788438776.7733643,1788438780.4445243,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0049,P1,D1,1788438780.4512048,1788438780.673833,1788438780.6738353,1788438780.6739264,1788438784.342741,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0050,P1,D1,1788438784.3503277,1788438784.575766,1788438784.5757682,1788438784.5758524,1788438788.2438996,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0051,P1,D1,1788438788.2503338,1788438788.4706604,1788438788.470679,1788438788.4708138,1788438792.1395833,completed
phase3c-xpyd_feedback_2p2d_fast_adaptive_r6_256683-0052,P1,D1,1788438792.895661,1788438793.116922,1788438793.116924,1788438793.1170208,1788438796.7863889,completed
