seq,workload_id,duration_s,successful_requests,neptune_energy_j,ganymede_energy_j,combined_energy_j,combined_energy_wh,combined_avg_power_w,energy_per_request_j
1,steady_start,37.83652,12,2332.742915,1236.847218,3569.590133,0.991552815,94.342453,297.465844
2,short_ramp,31.51467,48,2044.586622,1137.231907,3181.818529,0.88383848,100.963093,66.287886
3,prefill_shift,35.533438,36,2266.252638,1246.702955,3512.955593,0.975820998,98.863375,97.5821
4,decode_shift,42.445272,24,3067.275014,2364.894551,5432.169565,1.50893599,127.980556,226.340399
5,sudden_burst,34.62124,80,2531.35339,1639.833601,4171.186991,1.158663053,120.480579,52.139837
6,short_recovery,30.69234,24,1892.392298,1100.538235,2992.930533,0.831369593,97.513926,124.705439
7,long_prefill,34.873472,24,2458.826476,1627.379386,4086.205862,1.135057184,117.172325,170.258578
8,mixed_pressure,42.927215,30,2889.491075,2431.72168,5321.212755,1.478114654,123.958956,177.373759
9,quiet_window,34.99158,12,2125.975718,1118.190278,3244.165996,0.901157221,92.71276,270.347166
10,prefill_peak,29.605166,20,2594.770718,1116.8287,3711.599418,1.030999838,125.369993,185.579971
11,decode_peak,88.953946,10,6098.041341,5510.657402,11608.698743,3.22463854,130.502347,1160.869874
12,final_recovery,35.748329,12,2155.750016,1273.442106,3429.192122,0.952553367,95.925941,285.76601
