unix_ns,monotonic_ns,elapsed_s,role,running,waiting,kv_cache_usage,scrape_ok,error
1785486437224225698,1111807293642999,0.025969014037400484,prefill,0.0,0.0,0.0,True,
1785486437250125032,1111807317380009,0.04970595007762313,decode,0.0,0.0,0.0,True,
1785486437777347186,1111807846215921,0.5785417279694229,prefill,0.0,0.0,0.0,True,
1785486437802698466,1111807869882707,0.6022085600998253,decode,0.0,0.0,0.0,True,
1785486438328965197,1111808396053978,1.1283797940704972,prefill,0.0,0.0,0.0,True,
1785486438352534876,1111808419095406,1.1514213581103832,decode,0.0,0.0,0.0,True,
