unix_ns,monotonic_ns,event,client_request_id,internal_request_id,route_index,stage,upstream_url,http_status,bytes,prefill_http,decode_http,traceparent,error
1785486095619702174,1111465663232649,upstream_headers,queue_pressure_5m-00695-19bada51f17f,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00695-19bada51f17f_a131449ca3564eff85d2d47e9d087c77,1775,decode,http://10.1.0.3:33023/v1/completions,200,,,,00-0d5aad0081c3489983bb6f01b6fcb4d2-500beabb7a78411e-01,
1785486095654452895,1111465697983379,proxy_arrival,queue_pressure_5m-00696-500cf18db2e9,,,,,,,,,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095656451935,1111465699982497,proxy_route,queue_pressure_5m-00696-500cf18db2e9,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00696-500cf18db2e9_0e3f0f58b5064d85b0a0aa8e3ca5ddac,1776,,,,,10.1.0.6:32023,10.1.0.3:33023,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095657811121,1111465701340869,upstream_dispatch,queue_pressure_5m-00696-500cf18db2e9,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00696-500cf18db2e9_0e3f0f58b5064d85b0a0aa8e3ca5ddac,1776,prefill,http://10.1.0.6:32023/v1/completions,,,,,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095665262071,1111465708792307,upstream_headers,queue_pressure_5m-00696-500cf18db2e9,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00696-500cf18db2e9_0e3f0f58b5064d85b0a0aa8e3ca5ddac,1776,prefill,http://10.1.0.6:32023/v1/completions,200,,,,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095670731228,1111465714260957,upstream_first_chunk,queue_pressure_5m-00694-c34b46bbbc4c,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00694-c34b46bbbc4c_fd8e10d32487433f91a547323c97f52e,1774,decode,http://10.1.0.3:33023/v1/completions,200,380,,,00-15962e3a1e5142e59109fff4f2eac367-2aa55d6d5fce45d9-01,
1785486095673010419,1111465716540164,upstream_complete,queue_pressure_5m-00679-b25f08207ccc,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00679-b25f08207ccc_656a92fa57d34352ab04fcf20e836008,1759,decode,http://10.1.0.3:33023/v1/completions,200,12497,,,00-a21494563035496898bae650055a8071-1afda170d7be4427-01,
1785486095675394493,1111465718924221,proxy_complete,queue_pressure_5m-00679-b25f08207ccc,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00679-b25f08207ccc_656a92fa57d34352ab04fcf20e836008,1759,,,,,10.1.0.6:32023,10.1.0.3:33023,00-a21494563035496898bae650055a8071-1afda170d7be4427-01,
1785486095729092937,1111465772623327,upstream_first_chunk,queue_pressure_5m-00696-500cf18db2e9,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00696-500cf18db2e9_0e3f0f58b5064d85b0a0aa8e3ca5ddac,1776,prefill,http://10.1.0.6:32023/v1/completions,200,716,,,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095733086791,1111465776617286,upstream_complete,queue_pressure_5m-00696-500cf18db2e9,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00696-500cf18db2e9_0e3f0f58b5064d85b0a0aa8e3ca5ddac,1776,prefill,http://10.1.0.6:32023/v1/completions,200,716,,,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095735877429,1111465779407274,upstream_dispatch,queue_pressure_5m-00696-500cf18db2e9,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00696-500cf18db2e9_0e3f0f58b5064d85b0a0aa8e3ca5ddac,1776,decode,http://10.1.0.3:33023/v1/completions,,,,,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095742963019,1111465786493480,upstream_headers,queue_pressure_5m-00696-500cf18db2e9,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00696-500cf18db2e9_0e3f0f58b5064d85b0a0aa8e3ca5ddac,1776,decode,http://10.1.0.3:33023/v1/completions,200,,,,00-450baacd4646470288d9debe2d3e815c-920fc837d6914d5f-01,
1785486095780081356,1111465823611687,proxy_arrival,queue_pressure_5m-00697-001be3832f39,,,,,,,,,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
1785486095781830153,1111465825359981,proxy_route,queue_pressure_5m-00697-001be3832f39,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00697-001be3832f39_0a5e5edca9904c9786dad2ceb8b497e9,1777,,,,,10.1.0.6:32023,10.1.0.3:33023,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
1785486095783110864,1111465826640534,upstream_dispatch,queue_pressure_5m-00697-001be3832f39,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00697-001be3832f39_0a5e5edca9904c9786dad2ceb8b497e9,1777,prefill,http://10.1.0.6:32023/v1/completions,,,,,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
1785486095790540420,1111465834070660,upstream_headers,queue_pressure_5m-00697-001be3832f39,___prefill_addr_10.1.0.6:34023___decode_addr_10.1.0.3:34023_queue_pressure_5m-00697-001be3832f39_0a5e5edca9904c9786dad2ceb8b497e9,1777,prefill,http://10.1.0.6:32023/v1/completions,200,,,,00-f2906491b74b42c8a9fdbd7593b76885-29dccacb1669456b-01,
