window_id,request_index,request_id,trace_id,client_span_id,planned_send_unix_ns,client_ready_unix_ns,actual_send_unix_ns,response_headers_unix_ns,first_token_unix_ns,completed_unix_ns,planned_to_ready_ms,client_queue_delay_ms,send_lag_ms,ttft_ms,tpot_ms,e2e_ms,planned_input_tokens,actual_input_tokens,max_tokens,actual_output_tokens,token_event_count,http_status,response_request_id,outcome,timeout,cancelled,retry_count,attempt_count,response_bytes,error
baseline_3m,15,baseline_3m-00015-2076662f0d12,d24a742c00de4d66840a64dfe079f9b2,0eaceeb4c83c4580,1785485257739084129,1785485257740243530,1785485257744282716,1785485257846930102,1785485258010526537,1785485259803058633,1.159401,4.039186,5.198587,266.243821,57.823615999999994,2058.775917,32,32,32,32,32,200,baseline_3m-00015-2076662f0d12,success,False,False,0,1,12371,
baseline_3m,16,baseline_3m-00016-0b2d0a45036d,8b8215e3d66e4084b4e5be60e22d42ce,b8efd5e504944434,1785485258739084129,1785485258739433347,1785485258743080160,1785485258846842103,1785485258991059887,1785485260779978740,0.349218,3.646813,3.996031,247.979727,57.707059774193546,2036.89858,32,32,32,32,32,200,baseline_3m-00016-0b2d0a45036d,success,False,False,0,1,12376,
baseline_3m,17,baseline_3m-00017-d640ec8d5ffd,bdf08bb692934d07b85ce81c7b9c328f,9502fb3085414f7b,1785485259739084129,1785485259740284137,1785485259744462162,1785485259844968125,1785485260028120001,1785485261817238177,1.200008,4.178025,5.378033,283.657839,57.713489548387095,2072.776015,32,32,32,32,32,200,baseline_3m-00017-d640ec8d5ffd,success,False,False,0,1,12381,
baseline_3m,18,baseline_3m-00018-4cec5e768470,8f416edf91ca4120b4ec1543a3b266c6,46ad65d82c0e4098,1785485260739084129,1785485260739558107,1785485260743985309,1785485260839936515,1785485261005264535,1785485262800006778,0.473978,4.427202,4.90118,261.279226,57.89491106451613,2056.021469,32,32,32,32,32,200,baseline_3m-00018-4cec5e768470,success,False,False,0,1,12392,
baseline_3m,19,baseline_3m-00019-86a2e2095a04,81b33205045b4d96a5d48c5736ccc5ea,8e1770a69a8543fd,1785485261739084129,1785485261739846074,1785485261743270714,1785485261825082934,1785485261989395436,1785485263779732485,0.761945,3.42464,4.186585,246.124722,57.752808032258066,2036.461771,32,32,32,32,32,200,baseline_3m-00019-86a2e2095a04,success,False,False,0,1,12302,
baseline_3m,20,baseline_3m-00020-0aa41f7d41c9,c233c92a27a4485fac0871be325f6018,cc276471f65343d7,1785485262739084129,1785485262739511138,1785485262743073682,1785485262834769003,1785485262968748221,1785485264757684372,0.427009,3.562544,3.989553,225.674539,57.70761777419355,2014.61069,32,32,32,32,32,200,baseline_3m-00020-0aa41f7d41c9,success,False,False,0,1,12414,
baseline_3m,21,baseline_3m-00021-5764b6d65cfd,62cc09b442c54b158d4f0ad35cbde701,4540503b9e7a46fb,1785485263739084129,1785485263739793225,1785485263743047706,1785485263831386253,1785485264003449630,1785485265795186701,0.709096,3.254481,3.963577,260.401924,57.797970032258064,2052.138995,32,32,32,32,32,200,baseline_3m-00021-5764b6d65cfd,success,False,False,0,1,12356,
baseline_3m,22,baseline_3m-00022-650fa72bb358,a93d6ca892814fe2a032f63037c75b94,6d40e4ec41b349f0,1785485264739084129,1785485264740013259,1785485264743344216,1785485264844516533,1785485264990827821,1785485266772539217,0.92913,3.330957,4.260087,247.483605,57.47456116129032,2029.195001,32,32,32,32,32,200,baseline_3m-00022-650fa72bb358,success,False,False,0,1,12344,
baseline_3m,23,baseline_3m-00023-f2862b6f79fc,a573325df06b4eab9db3ff67c160bca9,0cd1366ce1ad425f,1785485265739084129,1785485265739624026,1785485265743750255,1785485265843044918,1785485266024306937,1785485267813346956,0.539897,4.126229,4.666126,280.556682,57.71096835483871,2069.596701,32,32,32,32,32,200,baseline_3m-00023-f2862b6f79fc,success,False,False,0,1,12381,
baseline_3m,24,baseline_3m-00024-c4765a17fb30,9dadeedb303b4a8b87098f45f653211c,1066c3e0ae1d47d0,1785485266739084129,1785485266741181012,1785485266745244221,1785485266828295080,1785485267000550050,1785485268795231898,2.096883,4.063209,6.160092,255.305829,57.89296283870968,2049.987677,32,32,32,32,32,200,baseline_3m-00024-c4765a17fb30,success,False,False,0,1,12363,
