unix_ns,monotonic_ns,event,window_id,detail
1785485242739133899,1110612782663362,window_start,baseline_3m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""180"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""32"", ""max_tokens"": ""32"", ""request_rate"": ""1"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""120"", ""window_id"": ""baseline_3m""}"
1785485422739614015,1110792783143620,sending_stopped,baseline_3m,
1785485423752493905,1110793796023117,window_end,baseline_3m,
1785485423757301380,1110793800831151,inter_window_pause_start,baseline_3m,
1785485428763677879,1110798807208501,inter_window_pause_end,baseline_3m,
1785485428766804436,1110798810334199,window_start,prefill_heavy_3m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""180"", ""input_tokens"": ""1024"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""64"", ""max_tokens"": ""32"", ""request_rate"": ""2"", ""retries"": ""1"", ""shared_prefix_tokens"": ""768"", ""timeout_s"": ""180"", ""window_id"": ""prefill_heavy_3m""}"
1785485608767633790,1110978811163675,sending_stopped,prefill_heavy_3m,
1785485610484648553,1110980528177990,window_end,prefill_heavy_3m,
1785485610489545815,1110980533075370,inter_window_pause_start,prefill_heavy_3m,
1785485615494542700,1110985538073251,inter_window_pause_end,prefill_heavy_3m,
1785485615498559853,1110985542089774,window_start,decode_heavy_3m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""180"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""64"", ""max_tokens"": ""256"", ""request_rate"": ""1"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""300"", ""window_id"": ""decode_heavy_3m""}"
1785485795499391430,1111165542921015,sending_stopped,decode_heavy_3m,
1785485810029740703,1111180073270123,window_end,decode_heavy_3m,
1785485810034153493,1111180077683035,inter_window_pause_start,decode_heavy_3m,
1785485815040528333,1111185084058931,inter_window_pause_end,decode_heavy_3m,
1785485815043256305,1111185086786014,window_start,mixed_3m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""180"", ""input_tokens"": ""1024"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""128"", ""max_tokens"": ""128"", ""request_rate"": ""2"", ""retries"": ""1"", ""shared_prefix_tokens"": ""512"", ""timeout_s"": ""300"", ""window_id"": ""mixed_3m""}"
1785485995043930428,1111365087460276,sending_stopped,mixed_3m,
1785486003632071899,1111373675601361,window_end,mixed_3m,
1785486003636160105,1111373679689930,inter_window_pause_start,mixed_3m,
1785486008642228805,1111378685759800,inter_window_pause_end,mixed_3m,
1785486008646124993,1111378689654888,window_start,queue_pressure_5m,"{""cancel_after_s"": ""0.25"", ""cancel_fraction"": ""0.01"", ""duration_s"": ""300"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""5"", ""max_concurrency"": ""512"", ""max_tokens"": ""32"", ""request_rate"": ""8"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""300"", ""window_id"": ""queue_pressure_5m""}"
1785486308646544708,1111678690074516,sending_stopped,queue_pressure_5m,
1785486310605235701,1111680648765131,window_end,queue_pressure_5m,
1785486310622387650,1111680665917583,inter_window_pause_start,queue_pressure_5m,
1785486315629363162,1111685672893930,inter_window_pause_end,queue_pressure_5m,
1785486315633267498,1111685676797459,window_start,recovery_2m,"{""cancel_after_s"": ""0"", ""cancel_fraction"": ""0"", ""duration_s"": ""120"", ""input_tokens"": ""32"", ""inter_window_pause_s"": ""0"", ""max_concurrency"": ""32"", ""max_tokens"": ""32"", ""request_rate"": ""1"", ""retries"": ""1"", ""shared_prefix_tokens"": ""16"", ""timeout_s"": ""120"", ""window_id"": ""recovery_2m""}"
