unix_ns,monotonic_ns,window_id,request_id,attempt,event,http_status,detail
1785485896715636129,1111266759166117,mixed_3m,mixed_3m-00163-27871e81cb28,1,response_headers,200,response_request_id=mixed_3m-00163-27871e81cb28
1785485896882197134,1111266925727977,mixed_3m,mixed_3m-00142-1f539e635e19,1,request_complete,200,
1785485896945237577,1111266988767276,mixed_3m,mixed_3m-00163-27871e81cb28,1,first_token,,
1785485897044076606,1111267087606458,mixed_3m,mixed_3m-00164-11816af7b78d,0,client_ready,,
1785485897047351189,1111267090881171,mixed_3m,mixed_3m-00164-11816af7b78d,0,semaphore_acquired,,
1785485897049704181,1111267093233935,mixed_3m,mixed_3m-00164-11816af7b78d,1,attempt_send,,
1785485897223495532,1111267267025617,mixed_3m,mixed_3m-00164-11816af7b78d,1,response_headers,200,response_request_id=mixed_3m-00164-11816af7b78d
1785485897369879668,1111267413410336,mixed_3m,mixed_3m-00143-aae41e6fa811,1,request_complete,200,
1785485897439679797,1111267483209596,mixed_3m,mixed_3m-00164-11816af7b78d,1,first_token,,
1785485897545289244,1111267588819136,mixed_3m,mixed_3m-00165-de9c5d37bc45,0,client_ready,,
1785485897548789631,1111267592319611,mixed_3m,mixed_3m-00165-de9c5d37bc45,0,semaphore_acquired,,
1785485897551246856,1111267594776662,mixed_3m,mixed_3m-00165-de9c5d37bc45,1,attempt_send,,
1785485897721848433,1111267765378396,mixed_3m,mixed_3m-00165-de9c5d37bc45,1,response_headers,200,response_request_id=mixed_3m-00165-de9c5d37bc45
1785485897865055437,1111267908586179,mixed_3m,mixed_3m-00144-d8b1831f1997,1,request_complete,200,
1785485897932149766,1111267975679823,mixed_3m,mixed_3m-00165-de9c5d37bc45,1,first_token,,
1785485898044070320,1111268087600245,mixed_3m,mixed_3m-00166-0f9e001546c2,0,client_ready,,
1785485898047746772,1111268091276797,mixed_3m,mixed_3m-00166-0f9e001546c2,0,semaphore_acquired,,
1785485898050552157,1111268094082264,mixed_3m,mixed_3m-00166-0f9e001546c2,1,attempt_send,,
1785485898224339185,1111268267869114,mixed_3m,mixed_3m-00166-0f9e001546c2,1,response_headers,200,response_request_id=mixed_3m-00166-0f9e001546c2
1785485898356922848,1111268400452913,mixed_3m,mixed_3m-00145-1d587ae70fae,1,request_complete,200,
1785485898426239638,1111268469769711,mixed_3m,mixed_3m-00166-0f9e001546c2,1,first_token,,
1785485898544026300,1111268587556215,mixed_3m,mixed_3m-00167-c3bb223e0258,0,client_ready,,
1785485898547688973,1111268591218975,mixed_3m,mixed_3m-00167-c3bb223e0258,0,semaphore_acquired,,
1785485898550506682,1111268594036767,mixed_3m,mixed_3m-00167-c3bb223e0258,1,attempt_send,,
1785485898715300647,1111268758830575,mixed_3m,mixed_3m-00167-c3bb223e0258,1,response_headers,200,response_request_id=mixed_3m-00167-c3bb223e0258
1785485898852197633,1111268895727515,mixed_3m,mixed_3m-00146-40c5be8f44c3,1,request_complete,200,
1785485898916306526,1111268959836591,mixed_3m,mixed_3m-00167-c3bb223e0258,1,first_token,,
1785485899044090707,1111269087620635,mixed_3m,mixed_3m-00168-7efa1f59841a,0,client_ready,,
