adaptive,attempt,axis,candidate_id,control_inclusive_duration_sum_s,control_inclusive_energy_sum_j,decode_frequency_mhz,duration_s,early_stop_reason,end,energy_statistic,event,grid_index,latency_statistic,mean_power_w,measured_energy_j,measured_power_w,prefill_frequency_mhz,probe_id,repeat_index,request_duration_sum_s,request_energy_sum_j,sample_count,search_stage,slo_met,start,tpot_ms,ttft_ms,workload_id
True,1,P,production-00001-attempt-1-binary-slo-P-8,13.121665239334106,1632.5367627553642,1500,11.351774454116821,stable_with_slo_headroom,1788678439.951258,mean_request_energy_j,probe_candidate_aggregated,8,p95,130.1897796459433,482.8770214219888,130.19011796220482,1710,production-00001-attempt-1-binary-slo-P-8,,11.127072095870972,1448.6310642659664,3,binary-slo,True,1788678428.5994835,55.937888879062875,185.1436968659982,small_light
True,1,P,production-00001-attempt-1-binary-slo-P-3,13.117475271224976,1602.5003653205931,1500,11.408418416976929,stable_with_slo_headroom,1788678453.4555142,mean_request_energy_j,probe_candidate_aggregated,3,p95,129.05154092227403,478.9692364782095,129.05161127091654,1200,production-00001-attempt-1-binary-slo-P-3,,11.134370803833008,1436.9077094346285,3,binary-slo,True,1788678442.0470958,55.95216472588834,183.5898287827149,small_light
True,1,P,production-00001-attempt-1-binary-slo-P-1,13.152835845947266,1609.7700593695045,1500,11.3701651096344,stable_with_slo_headroom,1788678466.9935615,mean_request_energy_j,probe_candidate_aggregated,1,p95,128.8306730037933,478.7905093481143,128.83080338179244,1005,production-00001-attempt-1-binary-slo-P-1,,11.149297714233398,1436.371528044343,3,binary-slo,True,1788678455.6233964,55.93665407005963,191.28257433185354,small_light
True,1,P,production-00001-attempt-1-binary-slo-P-0,13.106142282485962,1610.6590087413788,1500,11.477235078811646,stable_with_slo_headroom,1788678480.5335834,mean_request_energy_j,probe_candidate_aggregated,0,p95,129.20191973039903,480.39846090227365,129.2023510916928,900,production-00001-attempt-1-binary-slo-P-0,,11.154597282409668,1441.195382706821,3,binary-slo,True,1788678469.0563483,55.949388293822906,191.3175224326551,small_light
True,1,P,production-00001-attempt-1-energy-refine-P-2,13.133159399032593,1619.5391506068408,1500,11.368487358093262,stable_with_slo_headroom,1788678494.0489192,mean_request_energy_j,probe_candidate_aggregated,2,p95,130.0172068098536,482.97510199497145,130.0171808160745,1110,production-00001-attempt-1-energy-refine-P-2,,11.144104242324829,1448.9253059849143,3,energy-refine,True,1788678482.6804318,55.946842941921204,186.64277883945033,small_light
True,1,D,production-00001-attempt-1-binary-slo-D-7,14.980029821395874,1676.3504991158843,975,11.507860660552979,stable_with_slo_headroom,1788678509.4212117,mean_request_energy_j,probe_candidate_aggregated,7,p95,120.73278857398469,454.08421163260937,120.73322989096054,1005,production-00001-attempt-1-binary-slo-D-7,,11.283203601837158,1362.252634897828,3,binary-slo,True,1788678497.913351,56.66503250961089,187.30166578898206,small_light
True,1,D,production-00001-attempt-1-binary-slo-D-3,12.958890438079834,1488.5248370543122,675,11.717548131942749,stable_with_slo_headroom,1788678522.7210371,mean_request_energy_j,probe_candidate_aggregated,3,p95,119.25388862066808,454.7280002273619,119.25413673697444,1005,production-00001-attempt-1-binary-slo-D-3,,11.439325094223022,1364.1840006820858,3,binary-slo,True,1788678511.003489,57.43740150568238,191.32982860319316,small_light
True,1,D,production-00001-attempt-1-binary-slo-D-1,13.08883547782898,1501.9582697376609,525,11.811639308929443,stable_with_slo_headroom,1788678536.151628,mean_request_energy_j,probe_candidate_aggregated,1,p95,118.48228190447088,457.3835728106399,118.48225191981605,1005,production-00001-attempt-1-binary-slo-D-1,,11.58106255531311,1372.1507184319198,3,binary-slo,True,1788678524.3399887,58.167245882629814,192.07732871873304,small_light
True,1,D,production-00001-attempt-1-binary-slo-D-0,13.225423336029053,1507.5643391683698,450,11.967936038970947,stable_with_slo_headroom,1788678549.8191605,mean_request_energy_j,probe_candidate_aggregated,0,p95,118.27090996807992,460.7691016346216,118.27093638860198,1005,production-00001-attempt-1-binary-slo-D-0,,11.687635660171509,1382.3073049038649,3,binary-slo,True,1788678537.8512244,58.76755433633835,190.72067444212735,small_light
True,1,D,production-00001-attempt-1-energy-refine-D-6,12.86062502861023,1479.1984706446528,900,11.61042594909668,stable_with_slo_headroom,1788678563.0197067,mean_request_energy_j,probe_candidate_aggregated,6,p95,119.28713389983027,450.5429294208686,119.2868722015022,1005,production-00001-attempt-1-energy-refine-D-6,,11.33088493347168,1351.6287882626057,3,energy-refine,True,1788678551.4092808,56.83351126776653,198.25406696181744,small_light
