canary_active_at_end,canary_active_at_start,control_inclusive_ttft_ms,d_mhz,duration_s,end,endpoints,energy_j,frequency_changed,frequency_source,inference,mean_power_w,observed_output_tokens,p_mhz,phase,request_id,service_sequence,settle_wait_s,start,table_hit,table_revision,tpot_ms,ttft_ms,workload_id
small_light,small_light,188.6303424835205,1500,7.29940390586853,1788678546.3185248,"{""P1"": {""energy_j"": 593.8659116625786, ""clock_match_fraction"": null, ""mean_power_w"": 81.35813818784926, ""samples"": 68}, ""D1"": {""energy_j"": 488.53701408952475, ""clock_match_fraction"": null, ""mean_power_w"": 66.92834379212168, ""samples"": 62}}",1082.4029257521033,False,safe_high,"{""start"": 1788678539.0269608, ""end"": 1788678546.3185248, ""duration_s"": 7.291563987731934, ""energy_j"": 1081.6668600142002, ""mean_power_w"": 148.3449726058917, ""endpoints"": {""P1"": {""energy_j"": 593.2956067919731, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.36740043565328, ""samples"": 68}, ""D1"": {""energy_j"": 488.3712532222271, ""clock_match_fraction"": 1.0, ""mean_power_w"": 66.97757217023843, ""samples"": 62}}}",148.28648197997094,128,2520,production,production-00011,11,0.0,1788678539.019121,False,0,55.94854390589652,180.78599101863801,decode_medium
small_light,small_light,179.15034294128418,1500,14.472890138626099,1788678565.8469222,"{""P1"": {""energy_j"": 1157.8523352742195, ""clock_match_fraction"": null, ""mean_power_w"": 80.00145956916202, ""samples"": 134}, ""D1"": {""energy_j"": 981.300458651036, ""clock_match_fraction"": null, ""mean_power_w"": 67.80266064703163, ""samples"": 122}}",2139.1527939252555,False,safe_high,"{""start"": 1788678551.3771198, ""end"": 1788678565.8469222, ""duration_s"": 14.469802379608154, ""energy_j"": 2138.8292913921177, ""mean_power_w"": 147.81330354630853, ""endpoints"": {""P1"": {""energy_j"": 1157.5955031216145, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.00078181806947, ""samples"": 134}, ""D1"": {""energy_j"": 981.2337882705033, ""clock_match_fraction"": 1.0, ""mean_power_w"": 67.81252172823906, ""samples"": 122}}}",147.80412021619367,256,2520,production,production-00012,12,0.0,1788678551.374032,False,0,56.02324124306951,176.05877295136452,decode_heavy
small_light,small_light,212.4307155609131,1500,7.379904270172119,1788678578.3851044,"{""P1"": {""energy_j"": 599.0063892304897, ""clock_match_fraction"": null, ""mean_power_w"": 81.16723026496918, ""samples"": 69}, ""D1"": {""energy_j"": 497.30107562988997, ""clock_match_fraction"": null, ""mean_power_w"": 67.38584369445914, ""samples"": 63}}",1096.3074648603797,False,safe_high,"{""start"": 1788678571.0142322, ""end"": 1788678578.3851044, ""duration_s"": 7.370872259140015, ""energy_j"": 1095.2858394272625, ""mean_power_w"": 148.59650268244553, ""endpoints"": {""P1"": {""energy_j"": 598.3510190844536, ""clock_match_fraction"": 1.0, ""mean_power_w"": 81.17777625877147, ""samples"": 69}, ""D1"": {""energy_j"": 496.93482034280896, ""clock_match_fraction"": 1.0, ""mean_power_w"": 67.41872642367406, ""samples"": 63}}}",148.55307395942833,128,2520,production,production-00013,13,0.0,1788678571.0052001,False,0,56.399476551267455,203.39456002693623,balanced_medium
small_light,small_light,456.66027069091797,1500,15.291807413101196,1788678598.7330332,"{""P1"": {""energy_j"": 1261.281529545784, ""clock_match_fraction"": null, ""mean_power_w"": 82.48086674601892, ""samples"": 142}, ""D1"": {""energy_j"": 1028.384085420519, ""clock_match_fraction"": null, ""mean_power_w"": 67.25065635730247, ""samples"": 128}}",2289.665614966303,False,safe_high,"{""start"": 1788678583.445449, ""end"": 1788678598.7330332, ""duration_s"": 15.287584066390991, ""energy_j"": 2289.186548963189, ""mean_power_w"": 149.74155098815478, ""endpoints"": {""P1"": {""energy_j"": 1260.8906421661377, ""clock_match_fraction"": 1.0, ""mean_power_w"": 82.47808395952794, ""samples"": 141}, ""D1"": {""energy_j"": 1028.2959067970514, ""clock_match_fraction"": 1.0, ""mean_power_w"": 67.26346702862683, ""samples"": 128}}}",149.7315231033214,256,2520,production,production-00014,14,0.0,1788678583.4412258,False,0,58.14766188599535,452.43213803041726,both_heavy
prefill_medium,prefill_medium,3968.234062194824,900,7.553059339523315,1788678611.4455776,"{""P1"": {""energy_j"": 481.31696051359177, ""clock_match_fraction"": null, ""mean_power_w"": 63.724768848958675, ""samples"": 70}, ""D1"": {""energy_j"": 303.43635622411966, ""clock_match_fraction"": null, ""mean_power_w"": 40.17396694294606, ""samples"": 67}}",784.7533167377114,True,table,"{""start"": 1788678607.6739576, ""end"": 1788678611.4455776, ""duration_s"": 3.771620035171509, ""energy_j"": 456.77760023251176, ""mean_power_w"": 121.10912445392725, ""endpoints"": {""P1"": {""energy_j"": 240.60776740312576, ""clock_match_fraction"": 1.0, ""mean_power_w"": 63.79427544646196, ""samples"": 36}, ""D1"": {""energy_j"": 216.169832829386, ""clock_match_fraction"": 1.0, ""mean_power_w"": 57.3148490074653, ""samples"": 33}}}",103.89873579190474,64,1005,production,production-00015,15,0.5,1788678603.8925183,True,1,56.828786729879326,186.78966199513525,small_light
prefill_medium,prefill_medium,3994.6188926696777,1500,7.587893009185791,1788678624.1906054,"{""P1"": {""energy_j"": 613.2357751727104, ""clock_match_fraction"": null, ""mean_power_w"": 80.81766235110804, ""samples"": 72}, ""D1"": {""energy_j"": 338.9753729738295, ""clock_match_fraction"": null, ""mean_power_w"": 44.67318827024458, ""samples"": 67}}",952.2111481465399,True,safe_high,"{""start"": 1788678620.305058, ""end"": 1788678624.1906054, ""duration_s"": 3.885547399520874, ""energy_j"": 586.0399790070951, ""mean_power_w"": 150.82559000035866, ""endpoints"": {""P1"": {""energy_j"": 330.97401252388954, ""clock_match_fraction"": 1.0, ""mean_power_w"": 85.18079397633957, ""samples"": 38}, ""D1"": {""energy_j"": 255.06596648320556, ""clock_match_fraction"": 1.0, ""mean_power_w"": 65.64479602401909, ""samples"": 35}}}",125.49085062135262,64,2520,production,production-00016,16,0.5,1788678616.6027124,False,0,56.95915473107662,292.2717350302264,prefill_medium
prefill_medium,prefill_medium,461.5161418914795,1500,4.1258320808410645,1788678633.4782743,"{""P1"": {""energy_j"": 369.43248879909515, ""clock_match_fraction"": null, ""mean_power_w"": 89.54132925443372, ""samples"": 40}, ""D1"": {""energy_j"": 263.1650004014373, ""clock_match_fraction"": null, ""mean_power_w"": 63.784709422248284, ""samples"": 36}}",632.5974892005324,False,safe_high,"{""start"": 1788678629.3564138, ""end"": 1788678633.4782743, ""duration_s"": 4.121860504150391, ""energy_j"": 632.2158988378942, ""mean_power_w"": 153.38119720483076, ""endpoints"": {""P1"": {""energy_j"": 369.1354555785656, ""clock_match_fraction"": 1.0, ""mean_power_w"": 89.55554299008303, ""samples"": 40}, ""D1"": {""energy_j"": 263.0804432593286, ""clock_match_fraction"": 1.0, ""mean_power_w"": 63.825654214747736, ""samples"": 36}}}",153.326038676682,64,2520,production,production-00017,17,0.0,1788678629.3524423,False,0,58.08530631844723,457.539908005856,prefill_heavy
prefill_medium,prefill_medium,191.44964218139648,1500,7.301324129104614,1788678645.9363356,"{""P1"": {""energy_j"": 585.3790100514889, ""clock_match_fraction"": null, ""mean_power_w"": 80.17436285536824, ""samples"": 68}, ""D1"": {""energy_j"": 491.8195759318769, ""clock_match_fraction"": null, ""mean_power_w"": 67.36032632373909, ""samples"": 63}}",1077.1985859833658,False,safe_high,"{""start"": 1788678638.6389797, ""end"": 1788678645.9363356, ""duration_s"": 7.297355890274048, ""energy_j"": 1076.74519116804, ""mean_power_w"": 147.5527858800379, ""endpoints"": {""P1"": {""energy_j"": 585.0096654891968, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.16734750033235, ""samples"": 68}, ""D1"": {""energy_j"": 491.73552567884326, ""clock_match_fraction"": 1.0, ""mean_power_w"": 67.38543837970556, ""samples"": 63}}}",147.53468917910732,128,2520,production,production-00018,18,0.0,1788678638.6350114,False,0,55.93630288155588,187.4781580409035,decode_medium
prefill_medium,prefill_medium,182.7373504638672,1500,14.477820634841919,1788678665.5226688,"{""P1"": {""energy_j"": 1153.5365825593472, ""clock_match_fraction"": null, ""mean_power_w"": 79.6761205746173, ""samples"": 134}, ""D1"": {""energy_j"": 984.8015867546201, ""clock_match_fraction"": null, ""mean_power_w"": 68.02139711446792, ""samples"": 123}}",2138.3381693139672,False,safe_high,"{""start"": 1788678651.049112, ""end"": 1788678665.5226688, ""duration_s"": 14.473556756973267, ""energy_j"": 2137.899992760271, ""mean_power_w"": 147.7107547687091, ""endpoints"": {""P1"": {""energy_j"": 1153.18480733037, ""clock_match_fraction"": 1.0, ""mean_power_w"": 79.675288299455, ""samples"": 134}, ""D1"": {""energy_j"": 984.7151854299009, ""clock_match_fraction"": 1.0, ""mean_power_w"": 68.0354664692541, ""samples"": 123}}}",147.6975176890852,256,2520,production,production-00019,19,0.0,1788678651.0448482,False,0,56.028765074762646,178.4688449697569,decode_heavy
prefill_medium,prefill_medium,208.96005630493164,1500,7.37676739692688,1788678678.0650892,"{""P1"": {""energy_j"": 596.8655925393105, ""clock_match_fraction"": null, ""mean_power_w"": 80.9115375913793, ""samples"": 69}, ""D1"": {""energy_j"": 496.20954420790076, ""clock_match_fraction"": null, ""mean_power_w"": 67.26652983725891, ""samples"": 65}}",1093.0751367472112,False,safe_high,"{""start"": 1788678670.692434, ""end"": 1788678678.0650892, ""duration_s"": 7.372655153274536, ""energy_j"": 1092.434262290597, ""mean_power_w"": 148.1737907957619, ""endpoints"": {""P1"": {""energy_j"": 596.3102635145187, ""clock_match_fraction"": 1.0, ""mean_power_w"": 80.88134479606983, ""samples"": 69}, ""D1"": {""energy_j"": 496.1239987760782, ""clock_match_fraction"": 1.0, ""mean_power_w"": 67.29244599969208, ""samples"": 64}}}",148.17806742863823,128,2520,production,production-00020,20,0.0,1788678670.6883218,False,0,56.397417983714874,204.84403101727366,balanced_medium
