gpu_type,phase,slo_ms,unsafe_support,safe_support,base_p_th,base_rho_th,chosen_p_th,chosen_rho_th,selection_reason,before_false_safe,before_false_unsafe,before_true_safe,before_true_unsafe,before_false_safe_rate_pct,before_false_unsafe_rate_pct,before_safe_precision_pct,before_admit_rate_pct,after_false_safe,after_false_unsafe,after_true_safe,after_true_unsafe,after_false_safe_rate_pct,after_false_unsafe_rate_pct,after_safe_precision_pct,after_admit_rate_pct,retuned,low_support_flag
l40s,prefill,200,107,134,0.4,1.0,0.2,1.0,retuned_min_false_safe_max_admit,2,44,90,105,1.87,32.84,97.83,38.17,0,62,72,107,0.0,46.27,100.0,29.88,True,False
l40s,prefill,500,51,190,0.05,1.0,0.2,0.8,retuned_min_false_safe_max_admit,0,80,110,51,0.0,42.11,100.0,45.64,0,55,135,51,0.0,28.95,100.0,56.02,True,False
l40s,prefill,1000,34,207,0.1,0.7,0.5,0.4,retuned_min_false_safe_max_admit,4,64,143,30,11.76,30.92,97.28,61.0,0,81,126,34,0.0,39.13,100.0,52.28,True,False
l40s,decode,200,13,228,0.4,1.0,0.02,1.0,retuned_min_false_safe_max_admit,5,17,211,8,38.46,7.46,97.69,89.63,2,34,194,11,15.38,14.91,98.98,81.33,True,False
l40s,decode,500,1,240,0.05,1.0,0.05,1.0,low_support_keep_base,1,21,219,0,100.0,8.75,99.55,91.29,1,21,219,0,100.0,8.75,99.55,91.29,False,True
l40s,decode,1000,1,240,0.1,0.7,0.1,0.7,low_support_keep_base,1,26,214,0,100.0,10.83,99.53,89.21,1,26,214,0,100.0,10.83,99.53,89.21,False,True
