gpu_type,phase,slo_ms,target,p_th,rho_th,false_safe,false_unsafe,true_safe,true_unsafe,unsafe_support,safe_support,false_safe_rate_pct,false_unsafe_rate_pct,safe_precision_pct,admit_rate_pct
l40s,prefill,200,p99_ttft,0.5,1.0,3,35,99,104,107,134,2.8,26.12,97.06,42.32
l40s,prefill,200,p99_ttft,0.5,0.9,3,35,99,104,107,134,2.8,26.12,97.06,42.32
l40s,prefill,200,p99_ttft,0.5,0.8,3,39,95,104,107,134,2.8,29.1,96.94,40.66
l40s,prefill,200,p99_ttft,0.5,0.7,3,48,86,104,107,134,2.8,35.82,96.63,36.93
l40s,prefill,200,p99_ttft,0.5,0.6,3,50,84,104,107,134,2.8,37.31,96.55,36.1
l40s,prefill,200,p99_ttft,0.5,0.5,3,52,82,104,107,134,2.8,38.81,96.47,35.27
l40s,prefill,200,p99_ttft,0.5,0.4,2,52,82,105,107,134,1.87,38.81,97.62,34.85
l40s,prefill,200,p99_ttft,0.5,0.3,1,55,79,106,107,134,0.93,41.04,98.75,33.2
l40s,prefill,200,p99_ttft,0.5,0.2,0,71,63,107,107,134,0.0,52.99,100.0,26.14
l40s,prefill,200,p99_ttft,0.5,0.1,0,91,43,107,107,134,0.0,67.91,100.0,17.84
l40s,prefill,200,p99_ttft,0.4,1.0,2,44,90,105,107,134,1.87,32.84,97.83,38.17
l40s,prefill,200,p99_ttft,0.4,0.9,2,44,90,105,107,134,1.87,32.84,97.83,38.17
l40s,prefill,200,p99_ttft,0.4,0.8,2,46,88,105,107,134,1.87,34.33,97.78,37.34
l40s,prefill,200,p99_ttft,0.4,0.7,2,52,82,105,107,134,1.87,38.81,97.62,34.85
l40s,prefill,200,p99_ttft,0.4,0.6,2,54,80,105,107,134,1.87,40.3,97.56,34.02
l40s,prefill,200,p99_ttft,0.4,0.5,2,56,78,105,107,134,1.87,41.79,97.5,33.2
l40s,prefill,200,p99_ttft,0.4,0.4,1,56,78,106,107,134,0.93,41.79,98.73,32.78
l40s,prefill,200,p99_ttft,0.4,0.3,1,58,76,106,107,134,0.93,43.28,98.7,31.95
l40s,prefill,200,p99_ttft,0.4,0.2,0,74,60,107,107,134,0.0,55.22,100.0,24.9
l40s,prefill,200,p99_ttft,0.4,0.1,0,91,43,107,107,134,0.0,67.91,100.0,17.84
l40s,prefill,200,p99_ttft,0.3,1.0,1,52,82,106,107,134,0.93,38.81,98.8,34.44
l40s,prefill,200,p99_ttft,0.3,0.9,1,52,82,106,107,134,0.93,38.81,98.8,34.44
l40s,prefill,200,p99_ttft,0.3,0.8,1,54,80,106,107,134,0.93,40.3,98.77,33.61
l40s,prefill,200,p99_ttft,0.3,0.7,1,60,74,106,107,134,0.93,44.78,98.67,31.12
