request_id,selected_prefill_endpoint_id,selected_decode_endpoint_id,route_timestamp_wall_s,prefill_completion_wall_s,kv_handoff_completion_wall_s,decode_start_wall_s,decode_completion_wall_s,outcome
phase3c-b13-r04-static-decode_heavy-0000,P0,D0,1788009564.7016964,1788009564.808626,1788009564.8086286,1788009564.808774,1788009579.172836,completed
phase3c-b13-r04-static-decode_heavy-0001,P0,D1,1788009579.1795056,1788009579.2865126,1788009579.2865152,1788009579.2866209,1788009593.649053,completed
phase3c-b13-r04-static-decode_heavy-0002,P1,D0,1788009593.6553884,1788009593.7612095,1788009593.761212,1788009593.7613075,1788009608.122925,completed
phase3c-b13-r04-static-decode_heavy-0003,P1,D1,1788009608.129542,1788009608.2368708,1788009608.2368734,1788009608.2369847,1788009622.5991979,completed
