scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
D0,decode,343.008,4,256,85.752,1.339875,True
D1,decode,967.596,4,256,241.899,3.779671875,True
P0,prefill,1193.243,4,256,298.31075,4.66110546875,True
P1,prefill,1170.031,4,256,292.50775,4.57043359375,True
P_pool,prefill,2363.274,4,256,590.8185,9.2315390625,True
D_pool,decode,1310.604,4,256,327.651,5.119546875,True
all_GPU_boards,all,3673.8779999999997,4,256,918.4694999999999,14.351085937499999,True
