gpu_type,phase,slo_ms,unsafe_support,safe_support,base_p_th,base_rho_th,chosen_p_th,chosen_rho_th,selection_reason,before_false_safe,before_false_unsafe,before_true_safe,before_true_unsafe,before_false_safe_rate_pct,before_false_unsafe_rate_pct,before_safe_precision_pct,before_admit_rate_pct,after_false_safe,after_false_unsafe,after_true_safe,after_true_unsafe,after_false_safe_rate_pct,after_false_unsafe_rate_pct,after_safe_precision_pct,after_admit_rate_pct,retuned,low_support_flag
l4,prefill,200,141,61,0.05,1.0,0.4,0.2,retuned_min_false_safe_max_admit,0,37,24,141,0.0,60.66,100.0,11.88,0,29,32,141,0.0,47.54,100.0,15.84,True,False
l4,prefill,500,112,90,0.05,0.6,0.5,0.4,retuned_min_false_safe_max_admit,3,38,52,109,2.68,42.22,94.55,27.23,0,29,61,112,0.0,32.22,100.0,30.2,True,False
l4,prefill,1000,77,125,0.1,0.8,0.3,1.0,retuned_min_false_safe_max_admit,0,43,82,77,0.0,34.4,100.0,40.59,0,21,104,77,0.0,16.8,100.0,51.49,True,False
l4,prefill,2000,61,141,0.05,1.0,0.1,1.0,retuned_min_false_safe_max_admit,0,33,108,61,0.0,23.4,100.0,53.47,0,24,117,61,0.0,17.02,100.0,57.92,True,False
l4,decode,200,63,139,0.05,1.0,0.15,1.0,retuned_min_false_safe_max_admit,0,44,95,63,0.0,31.65,100.0,47.03,0,29,110,63,0.0,20.86,100.0,54.46,True,False
l4,decode,500,12,190,0.05,0.6,0.02,0.1,retuned_min_false_safe_max_admit,8,54,136,4,66.67,28.42,94.44,71.29,1,104,86,11,8.33,54.74,98.85,43.07,True,False
l4,decode,1000,1,201,0.1,0.8,0.1,0.8,low_support_keep_base,1,33,168,0,100.0,16.42,99.41,83.66,1,33,168,0,100.0,16.42,99.41,83.66,False,True
l4,decode,2000,0,202,0.05,1.0,0.05,1.0,low_support_keep_base,0,30,172,0,0.0,14.85,100.0,85.15,0,30,172,0,0.0,14.85,100.0,85.15,False,True
