gpu_type,phase,slo_ms,sample_idx,target,p_violate_oof,rho_phase_oof,actual_unsafe
l4,prefill,200,0,p99_ttft,0.9986115997098356,0.012629313745347448,0
l4,prefill,200,1,p99_ttft,0.998250933098192,0.12629313745347448,1
l4,prefill,200,2,p99_ttft,0.9997954778645312,0.6314656872673724,1
l4,prefill,200,3,p99_ttft,0.9092659394918843,0.016850336736075038,1
l4,prefill,200,4,p99_ttft,0.9907658849645422,0.1685033673607504,1
l4,prefill,200,5,p99_ttft,0.9969377821274436,0.8425168368037519,1
l4,prefill,200,6,p99_ttft,0.9390817931413344,0.030365861068013242,1
l4,prefill,200,7,p99_ttft,0.992886599507222,0.3036586106801324,1
l4,prefill,200,8,p99_ttft,0.993734091973411,1.518293053400662,1
l4,prefill,200,9,p99_ttft,0.9976787503121612,0.04984004400511184,1
l4,prefill,200,10,p99_ttft,0.9994239003826901,0.49840044005111844,1
l4,prefill,200,11,p99_ttft,0.9992834176974729,2.492002200255592,1
l4,prefill,200,12,p99_ttft,0.978695548600409,0.0450600827635897,1
l4,prefill,200,13,p99_ttft,0.9956092176069463,0.45060082763589704,1
l4,prefill,200,14,p99_ttft,0.9966975286569784,2.253004138179485,1
l4,prefill,200,15,p99_ttft,0.9986115997098356,0.07018883318619314,1
l4,prefill,200,16,p99_ttft,0.999745550838818,0.7018883318619314,1
l4,prefill,200,17,p99_ttft,0.999745550838818,3.509441659309657,1
l4,prefill,200,18,p99_ttft,0.9960926581652246,0.1252826402155814,1
l4,prefill,200,19,p99_ttft,0.9966801221726345,1.252826402155814,1
l4,prefill,200,20,p99_ttft,0.9966801221726345,6.26413201077907,1
l4,prefill,200,21,p99_ttft,0.9968753547516231,0.20078097298610248,1
l4,prefill,200,22,p99_ttft,0.9968465816716084,2.007809729861025,1
l4,prefill,200,23,p99_ttft,0.9978438532186478,10.039048649305125,1
l4,prefill,200,24,p99_ttft,0.9818228705682062,0.170399365439779,1
l4,prefill,200,25,p99_ttft,0.995041829010268,1.70399365439779,1
l4,prefill,200,26,p99_ttft,0.995041829010268,8.51996827198895,1
l4,prefill,200,27,p99_ttft,0.9977588473312563,0.2678879071583991,1
l4,prefill,200,28,p99_ttft,0.9985738347073065,2.6788790715839914,1
l4,prefill,200,29,p99_ttft,0.9985738347073065,13.394395357919956,1
l4,prefill,200,30,p99_ttft,0.9943617030760359,0.5663502868608863,1
l4,prefill,200,31,p99_ttft,0.9941914445542791,5.663502868608862,1
l4,prefill,200,32,p99_ttft,0.9941914445542791,28.317514343044312,1
l4,prefill,200,33,p99_ttft,0.998822856450114,0.9297229689456228,1
l4,prefill,200,34,p99_ttft,0.9966801221726345,9.297229689456227,1
l4,prefill,200,35,p99_ttft,0.9966801221726345,46.48614844728114,1
l4,prefill,200,36,p99_ttft,0.9978000083293275,0.34374800521177745,1
l4,prefill,200,37,p99_ttft,0.998307225086776,3.4374800521177744,1
l4,prefill,200,38,p99_ttft,0.998307225086776,17.187400260588873,1
l4,prefill,200,39,p99_ttft,0.9986901719800453,0.548874561343432,1
l4,prefill,200,40,p99_ttft,0.9982309822205617,5.48874561343432,1
l4,prefill,200,41,p99_ttft,0.9982309822205617,27.4437280671716,1
l4,prefill,200,42,p99_ttft,0.9993656823260617,1.254430970760684,1
l4,prefill,200,43,p99_ttft,0.9994671811209419,12.54430970760684,1
l4,prefill,200,44,p99_ttft,0.9994671811209419,62.721548538034206,1
l4,prefill,200,45,p99_ttft,0.9996807720548934,1.969587827688402,1
l4,prefill,200,46,p99_ttft,0.9996889450523221,19.69587827688402,1
l4,prefill,200,47,p99_ttft,0.9996889450523221,98.4793913844201,1
l4,prefill,200,48,p99_ttft,0.9988966586567751,0.651343793509563,1
l4,prefill,200,49,p99_ttft,0.9978050263773838,6.513437935095629,1
l4,prefill,200,50,p99_ttft,0.9978028580140366,32.56718967547815,1
l4,prefill,200,51,p99_ttft,0.9987094833487573,1.0997563837247746,1
l4,prefill,200,52,p99_ttft,0.9978028580140366,10.997563837247746,1
l4,prefill,200,53,p99_ttft,0.9978028580140366,54.98781918623873,1
l4,prefill,200,54,p99_ttft,0.9993897122842708,2.6236960897984085,1
l4,prefill,200,55,p99_ttft,0.9993897122842708,26.236960897984087,1
l4,prefill,200,56,p99_ttft,0.9993897122842708,131.18480448992042,1
l4,prefill,200,57,p99_ttft,0.9997698704139717,4.293009918078329,1
l4,prefill,200,58,p99_ttft,0.9997698704139717,42.9300991807833,1
l4,prefill,200,59,p99_ttft,0.9997698704139717,214.6504959039165,1
l4,prefill,200,60,p99_ttft,0.9818228705682062,0.170399365439779,1
l4,prefill,200,61,p99_ttft,0.995041829010268,1.70399365439779,1
l4,prefill,200,62,p99_ttft,0.9943617030760359,0.5663502868608863,1
l4,prefill,200,63,p99_ttft,0.9941914445542791,5.663502868608862,1
l4,prefill,200,64,p99_ttft,0.9988966586567751,0.651343793509563,1
l4,prefill,200,65,p99_ttft,0.9978050263773838,6.513437935095629,1
l4,prefill,200,66,p99_ttft,0.9993897122842708,2.6236960897984085,1
l4,prefill,200,67,p99_ttft,0.9993897122842708,26.236960897984087,1
