unix_ts,rx_bytes,tx_bytes,gpu_util_pct,gpu_power_w,gpu_sm_mhz,gpu_memory_used_mib
1784565863,21572565241,6030663047,89, 56.50, 2040, 4216
1784565865,21572699089,6030833839,96, 55.47, 2040, 4216
1784565867,21573200035,6031440869,96, 55.00, 2040, 4216
1784565869,21574764645,6032810379,70, 57.95, 2040, 4216
1784565871,21576119813,6033997081,92, 56.21, 2040, 4216
1784565873,21576821019,6034622987,90, 56.94, 2040, 4216
1784565875,21578544785,6037030247,95, 55.06, 2040, 4216
1784565877,21579729758,6037341378,97, 56.39, 2040, 4216
1784565880,21580091428,6037679140,86, 56.30, 2040, 4216
1784565882,21580408336,6037958714,99, 55.64, 2040, 4216
1784565884,21581602072,6039154646,96, 57.86, 2040, 4216
1784565886,21582522938,6039967896,96, 56.64, 2040, 4216
