window_id,window_start_unix_ns,sending_stopped_unix_ns,window_end_unix_ns,client_observed_drain_s,planned_requests,completed_requests,failed_requests,timeout_requests,cancelled_requests,retry_attempts,actual_send_rps,completion_output_tps,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p99_tpot_ms,mean_e2e_ms,p99_e2e_ms
baseline_3m,1785490308494924880,1785490488496174478,1785490489533539743,1.037365265,180,180,0,0,0,0,1.0056284709472236,31.82017098822182,254.9098463888889,252.176737,283.47465845,296.33537681,57.90881335268817,58.15036468322581,2050.0830603222225,2097.1923347800002
prefill_heavy_3m,1785490494550032960,1785490674550363918,1785490676255265591,1.704901673,360,360,0,0,0,0,2.005706669721996,63.40806979181725,338.46894221944444,338.352214,371.9926868,382.35663673000005,62.22163161845878,62.50936654870968,2267.339522391667,2311.78787033
decode_heavy_3m,1785490681268939693,1785490861269633062,1785490875804846619,14.535213557,180,180,0,0,0,0,1.0056179640379006,236.90122484172517,264.6412238666666,266.66415800000004,299.107726,308.39171215000005,61.46420383938998,61.63124633058823,15938.01320291111,16018.51795857
mixed_3m,1785490880818151267,1785491060819864061,1785491069413005576,8.593141515,360,360,0,0,0,0,2.0056675926297856,244.3666259690049,389.3553458944444,390.718891,432.91218215,443.15762093000006,81.35396804962816,82.19215248929135,10721.309288197222,10868.44543272
