mono_s,power_w,sm_mhz,energy_mj
1867808.548,77.77,2520,86120107136
1867808.656,77.77,2520,86120115132
1867808.761,77.77,2520,86120126119
1867808.881,76.67,2520,86120131712
1867808.993,267.48,2520,86120145361
1867809.097,136.08,2520,86120171237
1867809.208,115.21,2520,86120179091
1867809.312,105.03,2520,86120186910
1867809.416,99.32,2520,86120194742
1867809.525,95.78,2520,86120202623
1867809.630,93.31,2520,86120210449
1867809.734,91.51,2520,86120218310
1867809.839,90.14,2520,86120226129
1867809.945,89.08,2520,86120233977
1867810.050,88.23,2520,86120241342
1867810.154,88.23,2520,86120256186
1867810.267,104.32,1830,86120277765
1867810.371,105.45,2505,86120285482
1867810.476,105.27,2505,86120293275
1867810.586,105.31,2520,86120301119
1867810.690,103.25,2520,86120308858
1867810.802,123.68,1905,86120350749
1867810.912,125.56,2415,86120358510
1867811.016,125.42,2505,86120366196
1867811.126,121.11,2505,86120373976
1867811.231,105.87,2505,86120381686
1867811.335,97.41,2520,86120389613
1867811.445,98.31,2520,86120403875
1867811.549,98.56,2520,86120411734
1867811.654,98.71,2520,86120419609
1867811.758,98.73,2520,86120427452
1867811.864,98.45,2520,86120435301
1867811.969,81.89,2520,86120449468
1867812.073,106.57,2505,86120465646
1867812.177,104.05,2505,86120473443
1867812.286,106.77,2505,86120481243
1867812.390,106.18,2520,86120489040
1867812.494,104.15,2520,86120509748
1867812.608,135.21,1785,86120548196
1867812.716,162.15,1665,86120582325
1867812.851,189.24,1695,86120617763
1867812.957,215.96,1710,86120653583
1867813.066,217.70,1695,86120689113
1867813.172,230.49,1680,86120724674
1867813.278,300.02,1695,86120760086
1867813.385,305.21,1635,86120795101
1867813.491,352.77,1545,86120830641
1867813.596,350.78,1545,86120897841
1867813.709,348.71,1635,86120932222
1867813.814,349.30,2235,86120943196
1867813.925,324.62,2505,86120951360
1867814.030,298.92,2505,86120959280
1867814.134,273.70,2505,86120967185
1867814.246,248.16,2520,86120974992
1867814.350,223.84,2520,86120989011
1867814.454,201.65,2520,86120997179
1867814.564,176.81,2520,86121005126
1867814.668,153.01,2520,86121013019
1867814.772,130.66,2520,86121020926
1867814.877,106.27,2520,86121029065
1867814.985,116.72,1830,86121068562
1867815.093,141.25,1800,86121099091
1867815.206,154.85,2325,86121142741
1867815.312,148.30,2490,86121150850
1867815.416,151.68,2505,86121158661
1867815.524,151.50,2505,86121166552
1867815.634,151.28,2520,86121174302
1867815.743,144.97,2520,86121190828
1867815.860,182.50,1680,86121237634
1867815.965,213.60,1695,86121264750
1867816.071,223.56,1680,86121300003
1867816.177,220.25,1680,86121335644
1867816.285,221.39,1695,86121370618
1867816.391,257.69,1695,86121406707
1867816.497,304.20,1650,86121478020
1867816.611,331.98,1560,86121512178
1867816.716,332.29,1560,86121546234
1867816.825,355.24,1575,86121579859
1867816.931,351.02,1590,86121613222
1867817.035,334.78,2415,86121621768
1867817.144,305.53,2505,86121629852
1867817.249,278.21,2505,86121637659
1867817.353,251.09,2505,86121645600
1867817.468,235.47,2520,86121653639
1867817.575,211.19,2520,86121684144
1867817.691,204.18,1755,86121713850
1867817.797,180.92,2415,86121728685
1867817.907,124.90,2505,86121736650
1867818.011,114.69,2505,86121744516
1867818.116,115.01,2520,86121752393
1867818.223,115.01,2415,86121785138
1867818.329,148.40,1785,86121810151
1867818.448,148.40,2415,86121818577
1867818.553,141.50,2505,86121825329
1867818.664,108.77,2505,86121833330
1867818.768,107.35,2505,86121841213
1867818.872,108.37,2520,86121849164
1867819.010,108.37,1740,86121921531
1867819.115,179.12,1755,86121955706
1867819.223,170.05,2475,86121964518
1867819.329,143.20,2505,86121972392
1867819.434,142.82,2505,86121980240
1867819.544,143.95,2505,86121988184
1867819.648,143.28,2520,86121995989
1867819.753,181.34,2070,86122019058
1867819.866,207.70,1650,86122055681
1867819.972,221.01,1680,86122091190
1867820.084,218.17,1710,86122126524
1867820.190,218.46,1680,86122162175
1867820.296,248.84,1680,86122219171
1867820.409,249.06,2265,86122226965
1867820.514,233.80,2505,86122234922
