workload_id,purpose,input_len,output_len,planned_requests,completed_requests,mean_ttft_ms,mean_tpot_ms,ttft_p90_ms,tpot_p90_ms,mean_e2e_latency_ms
small_light,,128,64,48,48,207.88363636044474,57.158191547228306,210.0383717683144,57.164339936478804,4269.5421553774695
prefill_medium,,1024,64,48,48,394.03968314582016,58.08083019413365,400.35866586258635,58.08613392273112,4293.25310690183
prefill_heavy,,2048,64,48,48,473.01283900257357,59.7966743137924,477.09670865442604,59.80105313198966,4489.898359480624
decode_medium,,128,128,48,48,195.53583016628787,56.55977430876319,204.48303655721247,56.56224133613644,7627.649886616079
decode_heavy,,128,256,48,48,197.1270240173908,56.67787933424632,205.47888161381707,56.6814540843388,14658.494458567779
balanced_medium,,512,128,48,48,250.14099147423016,57.22236607162716,252.38168630748987,57.225305068684285,7526.221755782899
