bin,request_index_start,request_index_end,nominal_send_start_s,nominal_send_end_s,count,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,tpot_p50_ms,tpot_p95_ms,tpot_p99_ms,e2e_p50_ms,e2e_p95_ms,e2e_p99_ms
1,1,160,0.0,5.0,160,3710.0131749757566,7061.78461780073,7405.3107939171605,,,,,,
2,161,320,5.0,10.0,160,10384.084059041925,13477.757475548422,13942.755593402544,,,,,,
3,321,480,10.0,15.0,160,17026.6142510809,20410.013302770676,20695.12387416442,,,,,,
4,481,640,15.0,20.0,160,23586.51494345395,26990.441427414768,27458.441760395654,,,,,,
5,641,800,20.0,25.0,160,30177.984614972956,33220.063635893166,33703.924903296866,,,,,,
6,801,960,25.0,30.0,160,34693.366576510016,35330.93640729203,35338.92233313527,,,,,,
7,961,1120,30.0,35.0,160,34716.654082003515,35342.56715126685,35351.22315629036,,,,,,
8,1121,1280,35.0,40.0,160,34715.44300595997,35346.666833607014,35354.68765757163,,,,,,
9,1281,1440,40.0,45.0,160,34700.07612853078,35330.48841220443,35341.86605090741,,,,,,
10,1441,1600,45.0,50.0,160,34584.633029066026,35226.722668414004,35290.93991867732,,,,,,
11,1601,1760,50.0,55.0,160,34476.91801353358,34560.425755591124,35164.58787983167,,,,,,
12,1761,1920,55.0,60.0,160,34323.21122504072,34375.44715167023,34377.32202956453,,,,,,
