time_start_s,time_end_s,component,samples,running_avg,running_max,waiting_avg,waiting_max,gpu_cache_usage_avg,gpu_cache_usage_max
0.0,5.0,decode,5,0.0,0.0,0.0,0.0,,
0.0,5.0,prefill,5,0.0,0.0,0.0,0.0,,
5.0,10.0,decode,5,0.0,0.0,0.0,0.0,,
5.0,10.0,prefill,5,0.0,0.0,0.0,0.0,,
10.0,15.0,decode,5,0.0,0.0,0.0,0.0,,
10.0,15.0,prefill,5,0.0,0.0,0.0,0.0,,
15.0,20.0,decode,5,3.4,13.0,0.0,0.0,,
15.0,20.0,prefill,5,1.0,4.0,0.0,0.0,,
20.0,25.0,decode,5,26.4,32.0,9.2,23.0,,
20.0,25.0,prefill,5,16.2,17.0,19.0,45.0,,
25.0,30.0,decode,5,30.4,32.0,40.0,55.0,,
25.0,30.0,prefill,5,15.8,17.0,82.0,108.0,,
30.0,35.0,decode,5,30.2,32.0,65.6,81.0,,
30.0,35.0,prefill,5,16.2,17.0,151.2,173.0,,
35.0,40.0,decode,5,32.0,32.0,97.6,111.0,,
35.0,40.0,prefill,5,15.4,17.0,215.8,244.0,,
40.0,45.0,decode,5,32.0,32.0,129.6,145.0,,
40.0,45.0,prefill,5,15.8,17.0,271.2,297.0,,
45.0,50.0,decode,5,29.0,32.0,162.8,177.0,,
45.0,50.0,prefill,5,15.8,17.0,288.0,302.0,,
50.0,55.0,decode,5,30.4,32.0,188.8,200.0,,
50.0,55.0,prefill,5,15.8,17.0,256.2,271.0,,
55.0,60.0,decode,5,32.0,32.0,221.8,239.0,,
55.0,60.0,prefill,5,16.2,17.0,220.6,239.0,,
60.0,65.0,decode,5,32.0,32.0,255.8,271.0,,
60.0,65.0,prefill,5,16.2,17.0,185.8,201.0,,
65.0,70.0,decode,5,29.0,32.0,286.2,303.0,,
65.0,70.0,prefill,5,15.8,17.0,163.6,177.0,,
70.0,75.0,decode,5,32.0,32.0,315.2,320.0,,
70.0,75.0,prefill,5,15.8,17.0,131.6,145.0,,
75.0,80.0,decode,5,28.6,32.0,345.8,369.0,,
75.0,80.0,prefill,5,15.8,17.0,97.8,111.0,,
80.0,85.0,decode,5,32.0,32.0,375.8,392.0,,
80.0,85.0,prefill,5,15.8,17.0,64.2,79.0,,
85.0,90.0,decode,5,32.0,32.0,407.8,416.0,,
85.0,90.0,prefill,5,16.2,17.0,36.8,47.0,,
90.0,95.0,decode,5,29.0,32.0,438.0,463.0,,
90.0,95.0,prefill,5,14.6,17.0,8.2,17.0,,
95.0,100.0,decode,5,30.4,32.0,464.8,472.0,,
95.0,100.0,prefill,5,0.0,0.0,0.0,0.0,,
100.0,105.0,decode,5,30.2,32.0,470.6,480.0,,
100.0,105.0,prefill,5,0.0,0.0,0.0,0.0,,
105.0,110.0,decode,5,32.0,32.0,468.8,480.0,,
105.0,110.0,prefill,5,2.8,14.0,0.0,0.0,,
110.0,115.0,decode,5,32.0,32.0,469.0,472.0,,
110.0,115.0,prefill,5,0.0,0.0,0.0,0.0,,
115.0,120.0,decode,5,29.0,32.0,472.2,480.0,,
115.0,120.0,prefill,5,0.0,0.0,0.0,0.0,,
120.0,125.0,decode,5,30.4,32.0,461.0,465.0,,
120.0,125.0,prefill,5,0.0,0.0,0.0,0.0,,
125.0,130.0,decode,5,30.2,32.0,407.6,440.0,,
125.0,130.0,prefill,5,0.0,0.0,0.0,0.0,,
130.0,135.0,decode,5,29.0,32.0,340.0,367.0,,
130.0,135.0,prefill,5,0.0,0.0,0.0,0.0,,
135.0,140.0,decode,5,32.0,32.0,265.0,295.0,,
135.0,140.0,prefill,5,0.0,0.0,0.0,0.0,,
140.0,145.0,decode,5,32.0,32.0,197.6,231.0,,
140.0,145.0,prefill,5,0.0,0.0,0.0,0.0,,
145.0,150.0,decode,5,30.4,32.0,125.8,152.0,,
145.0,150.0,prefill,5,0.0,0.0,0.0,0.0,,
150.0,155.0,decode,5,32.0,32.0,53.8,79.0,,
150.0,155.0,prefill,5,0.0,0.0,0.0,0.0,,
155.0,160.0,decode,4,17.75,32.0,5.5,15.0,,
155.0,160.0,prefill,4,0.0,0.0,0.0,0.0,,
