path	size_bytes	mtime_unix_s
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000003_periodic.prom	85841	1788168463.213892
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000004_periodic.prom	85842	1788168464.172891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000005_periodic.prom	85855	1788168465.233891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000006_periodic.prom	85842	1788168466.235890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000007_periodic.prom	85842	1788168467.221890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000008_periodic.prom	85842	1788168468.214890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000009_periodic.prom	85842	1788168469.211889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000010_periodic.prom	85842	1788168470.196889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000011_periodic.prom	85855	1788168471.168889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000012_periodic.prom	85842	1788168472.181888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000013_periodic.prom	85842	1788168473.134888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000014_periodic.prom	85931	1788168474.187887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000015_periodic.prom	88024	1788168475.198887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000016_periodic.prom	88022	1788168476.183887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000017_periodic.prom	88022	1788168477.191886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000018_periodic.prom	88033	1788168478.201886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000019_periodic.prom	88014	1788168479.170886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000020_periodic.prom	88031	1788168480.175885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000021_periodic.prom	88054	1788168481.201885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000022_after.prom	88052	1788168482.662884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/capability.json	906	1788168431.485903
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/monitor.log	132	1788168432.451902
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/samples.jsonl	280675	1788168482.710885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/stop.requested	5	1788168482.669884
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000001_before.prom	85843	1788168462.065892
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000002_periodic.prom	85844	1788168462.217892
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000003_periodic.prom	85844	1788168463.204891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000004_periodic.prom	85844	1788168464.146891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000005_periodic.prom	85844	1788168465.224891
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000006_periodic.prom	85844	1788168466.174890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000007_periodic.prom	85844	1788168467.225890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000008_periodic.prom	85843	1788168468.189890
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000009_periodic.prom	85844	1788168469.131889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000010_periodic.prom	85844	1788168470.123889
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000011_periodic.prom	85844	1788168471.133888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000012_periodic.prom	85844	1788168472.189888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000013_periodic.prom	85844	1788168473.198888
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000014_periodic.prom	87938	1788168474.141887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000015_periodic.prom	87940	1788168475.190887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000016_periodic.prom	87927	1788168476.123887
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000017_periodic.prom	87924	1788168477.184886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000018_periodic.prom	87940	1788168478.198886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000019_periodic.prom	87925	1788168479.166886
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000020_periodic.prom	87938	1788168480.178885
binary_dvfs/xpyd_binary_dvfs_255348/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000021_periodic.prom	87930	1788168481.205885
