proxy_start hostname=ganymede http=0.0.0.0:30012 registry=0.0.0.0:31012
registry_add role=decode http=10.1.0.3:33012 zmq=10.1.0.3:34012
registry_add role=prefill http=10.1.0.6:32012 zmq=10.1.0.6:34012
route count=31 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_87b05d96a0a246c79c7d3d4a04884170 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=32 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_b5300aab307142079a7a60ac7d0aa4b4 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=33 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_a3e7bf867a1a40ad9892a2856b5ba5d1 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=34 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_7dab9d127a144e7696c063d40cb250bf prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=35 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_cd81e4056b7e4a96b8ef7899360b9b8e prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=36 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_a7de2294277c4f4289f1b6e882c98552 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=37 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_26382ffbd6b04683a04b75685fe7a90c prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=38 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_48a8567ffe2044e0841fcc8326cea2d2 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=39 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_9d8357a854dd46fbbe248396b19c46db prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=40 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_597682a75e0b45ff94cd3ec7a30614d7 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=41 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_0d65e78fc0114249b9d2506860f8d452 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=42 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_a52f35ccef5442eaa83d87d286551c31 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=43 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_38fe749737dc47358c541352c8df8dee prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=44 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_09532ddf254c47619427121457dd82f1 prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
route count=45 request_id=___prefill_addr_10.1.0.6:34012___decode_addr_10.1.0.3:34012_3fe72eda93fd4f2a924f38b2f2cf0e4a prefill_http=10.1.0.6:32012 decode_http=10.1.0.3:33012
