step,gpu_type,gpu_freq_mhz,mem_freq_mhz,tp_degree,input_len,output_len,request_rate,run,num_prompts,benchmark_duration_s,request_throughput_rps,output_token_throughput_tps,total_token_throughput_tps,mean_ttft_ms,median_ttft_ms,p99_ttft_ms,mean_tpot_ms,median_tpot_ms,p99_tpot_ms,mean_itl_ms,median_itl_ms,p99_itl_ms,avg_power_w,min_power_w,max_power_w,energy_j,avg_gpu_util_pct,avg_mem_util_pct,monitor_samples
step2a,L40S,2520,9001,1,32,128,10,3,500,52.85,9.46,1211.03,1504.33,77.13,77.42,92.37,23.45,23.53,24.35,23.45,23.44,26.40,246.48,85.83,311.77,0,77.5,0.0,1234
step2a,L40S,2520,9001,1,32,128,50,1,500,13.84,36.13,4625.21,5745.38,151.87,157.82,234.53,34.45,35.22,37.73,34.45,34.95,50.06,192.36,84.66,354.65,0,43.1,0.0,636
step2a,L40S,2520,9001,1,32,128,50,2,500,13.83,36.15,4627.62,5748.37,135.53,140.16,191.15,34.50,35.29,37.78,34.50,34.96,47.76,221.96,85.86,357.15,0,54.3,0.0,502
step2a,L40S,2520,9001,1,32,128,50,3,500,13.82,36.18,4630.91,5752.46,142.21,151.23,197.11,34.32,35.09,37.44,34.32,34.25,51.29,210.85,84.80,354.20,0,50.5,0.0,545
step2a,L40S,2520,9001,1,32,512,1,1,500,510.94,0.98,501.03,531.37,69.66,69.88,85.11,21.74,21.54,23.24,21.74,21.51,24.10,279.49,84.26,308.89,0,97.7,0.0,9169
step2a,L40S,2520,9001,1,32,512,1,2,500,510.94,0.98,501.03,531.37,70.22,70.08,83.98,21.74,21.55,23.25,21.74,21.55,24.32,277.44,86.93,309.56,0,95.8,0.0,9372
step2a,L40S,2520,9001,1,32,512,1,3,500,510.93,0.98,501.04,531.38,70.63,70.39,84.80,21.74,21.55,23.25,21.74,21.52,24.32,279.15,88.05,308.87,0,96.4,0.0,9299
step2a,L40S,2520,9001,1,32,512,10,1,500,80.78,6.19,3169.07,3360.95,126.76,135.19,146.15,34.07,35.07,35.16,34.07,34.53,40.14,296.21,86.80,357.07,0,84.2,0.0,1868
step2a,L40S,2520,9001,1,32,512,10,2,500,80.81,6.19,3168.04,3359.85,125.56,135.05,146.04,34.09,35.09,35.17,34.09,34.59,39.53,300.76,87.44,356.75,0,86.1,0.0,1823
step2a,L40S,2520,9001,1,32,512,10,3,500,80.80,6.19,3168.42,3360.26,126.78,135.42,146.20,34.08,35.08,35.15,34.08,34.58,39.48,292.11,88.03,357.50,0,82.9,0.0,1899
step2a,L40S,2520,9001,1,32,512,50,1,500,56.65,8.83,4518.95,4792.56,156.91,168.53,255.92,50.26,50.60,52.88,50.26,50.44,68.96,280.29,86.69,352.23,0,70.8,0.0,1523
step2a,L40S,2520,9001,1,32,512,50,2,500,56.66,8.82,4518.37,4791.94,156.00,168.27,246.90,50.27,50.62,52.89,50.27,50.51,68.46,281.66,85.86,355.89,0,72.0,0.0,1527
step2a,L40S,2520,9001,1,32,512,50,3,500,56.62,8.83,4521.42,4795.17,156.42,166.58,248.84,50.24,50.56,52.84,50.24,50.57,68.77,279.9,85.76,354.91,0,70.7,0.0,1531
step2a,L40S,2520,9001,1,32,1024,1,1,500,524.07,0.95,976.96,1006.54,79.85,78.24,96.30,25.29,25.48,26.01,25.29,25.39,27.54,311.54,86.44,344.07,0,96.9,0.0,9828
step2a,L40S,2520,9001,1,32,1024,1,2,500,524.07,0.95,976.96,1006.54,79.35,78.10,95.18,25.32,25.54,26.07,25.32,25.46,27.47,310.61,87.56,343.27,0,96.1,0.0,9866
step2a,L40S,2520,9001,1,32,1024,1,3,500,524.06,0.95,976.99,1006.56,79.35,77.77,96.40,25.31,25.51,26.06,25.31,25.43,27.46,311.45,87.90,344.48,0,96.5,0.0,9816
step2a,L40S,2520,9001,1,32,1024,10,1,500,187.31,2.67,2733.48,2816.23,133.41,141.07,191.73,42.87,43.93,44.15,42.87,43.30,54.46,317.88,86.95,358.87,0,88.7,0.0,3964
step2a,L40S,2520,9001,1,32,1024,10,2,500,187.04,2.67,2737.42,2820.29,132.73,140.98,176.65,42.80,43.85,44.11,42.80,43.26,54.63,314.31,86.25,358.75,0,87.6,0.0,4009
step2a,L40S,2520,9001,1,32,1024,10,3,500,187.15,2.67,2735.82,2818.64,132.72,140.68,160.58,42.83,43.88,44.16,42.83,43.27,54.46,321.33,85.61,356.65,0,90.4,0.0,3886
step2a,L40S,2520,9001,1,32,1024,50,1,500,194.92,2.57,2626.71,2706.23,499.24,174.72,7002.27,89.15,87.57,100.80,89.15,70.43,230.75,318.24,87.59,353.95,0,89.9,0.0,4093
step2a,L40S,2520,9001,1,32,1024,50,2,500,194.97,2.56,2626.06,2705.56,498.98,176.93,7096.34,89.17,87.59,100.79,89.17,70.49,229.59,320.23,88.32,353.76,0,90.5,0.0,4068
step2a,L40S,2520,9001,1,32,1024,50,3,500,194.92,2.57,2626.68,2706.20,491.74,181.72,7015.38,89.15,87.51,100.87,89.15,70.85,231.08,318.24,88.62,353.17,0,89.4,0.0,4102
step2a,L40S,2520,9001,1,128,32,1,1,500,500.67,1.00,31.96,158.79,55.87,50.48,80.07,20.36,20.38,21.06,20.36,20.15,25.33,169.96,82.12,281.07,0,45.9,0.0,9519
step2a,L40S,2520,9001,1,128,32,1,2,500,500.66,1.00,31.96,158.79,52.75,51.52,78.02,20.29,20.31,20.74,20.29,20.17,22.28,165.18,81.85,265.62,0,45.4,0.0,9567
step2a,L40S,2520,9001,1,128,32,1,3,500,500.66,1.00,31.96,158.79,52.27,50.69,77.77,20.29,20.31,20.74,20.29,20.19,22.35,165.12,81.66,265.60,0,45.7,0.0,9576
step2a,L40S,2520,9001,1,128,32,10,1,500,50.71,9.86,315.49,1567.61,68.82,68.71,83.97,21.23,21.21,21.79,21.23,21.05,24.30,213.33,82.27,279.25,0,72.9,0.0,1218
step2a,L40S,2520,9001,1,128,32,10,2,500,50.73,9.86,315.41,1567.18,68.29,68.39,82.34,21.23,21.22,21.77,21.23,21.03,24.08,221.21,83.78,276.25,0,76.4,0.0,1161
step2a,L40S,2520,9001,1,128,32,10,3,500,50.71,9.86,315.49,1567.61,69.20,68.94,84.49,21.23,21.21,21.80,21.23,21.08,24.33,218.85,83.22,280.71,0,74.6,0.0,1189
step2a,L40S,2520,9001,1,128,32,50,1,500,10.77,46.41,1485.23,7379.72,93.64,93.18,118.06,25.14,25.26,26.27,25.14,24.99,30.92,175.35,84.75,315.39,0,42.0,0.0,469
step2a,L40S,2520,9001,1,128,32,50,2,500,10.79,46.35,1483.35,7370.39,93.67,94.04,116.96,25.19,25.28,26.32,25.19,25.18,31.02,178.36,83.22,315.15,0,44.3,0.0,454
step2a,L40S,2520,9001,1,128,32,50,3,500,10.77,46.43,1485.61,7381.65,94.03,94.68,113.89,25.20,25.29,26.29,25.20,25.22,30.98,175.57,85.51,316.65,0,42.6,0.0,461
step2a,L40S,2520,9001,1,128,128,1,1,500,502.67,0.99,127.32,253.65,62.88,63.86,78.68,20.66,20.66,21.15,20.66,20.63,22.44,242.25,82.46,280.43,0,89.4,0.0,9097
step2a,L40S,2520,9001,1,128,128,1,2,500,502.69,0.99,127.06,253.13,62.84,63.36,77.20,20.66,20.66,21.16,20.66,20.64,22.44,241.71,86.93,280.18,0,88.5,0.0,9152
step2a,L40S,2520,9001,1,128,128,1,3,500,502.68,0.99,127.06,253.13,63.22,64.02,78.32,20.66,20.66,21.16,20.66,20.63,22.48,240.57,85.10,280.98,0,88.1,0.0,9195
step2a,L40S,2520,9001,1,128,128,10,1,500,52.88,9.46,1210.34,2411.22,79.99,80.15,99.11,24.12,24.22,25.21,24.12,24.11,27.33,241.57,84.56,321.74,0,72.9,0.0,1317
step2a,L40S,2520,9001,1,128,128,10,2,500,52.87,9.46,1210.44,2411.42,79.41,79.35,95.22,24.12,24.22,25.20,24.12,24.11,27.32,251.58,85.12,320.50,0,77.3,0.0,1237
step2a,L40S,2520,9001,1,128,128,10,3,500,52.89,9.45,1210.10,2410.75,79.89,80.35,97.02,24.13,24.22,25.22,24.13,24.14,27.14,251.4,85.64,323.56,0,77.3,0.0,1248
step2a,L40S,2520,9001,1,128,128,50,1,500,15.17,32.97,4220.14,8407.31,155.34,163.83,204.37,41.41,42.58,47.02,41.41,41.86,57.96,219.4,85.34,353.16,0,50.9,0.0,572
step2a,L40S,2520,9001,1,128,128,50,2,500,15.35,32.57,4169.49,8306.41,159.41,166.15,379.48,42.12,43.50,48.44,42.12,42.09,57.22,237.17,85.46,351.45,0,57.6,0.0,501
