request_id,workload_id,input_len,requested_output_len,observed_output_tokens,prefill_endpoint_id,decode_endpoint_id,ttft_ms,tpot_ms,mean_itl_ms,e2e_latency_ms,prefill_latency_ms,decode_stream_latency_ms,real_sse,logical_request_id_propagated
phase3c-xpyd_feedback_table_2p2d_255386-0000,small_light,128,64,64,P1,D1,2640.1682649739087,55.962966428884855,55.95816903200651,6165.835149993654,577.4921210249886,3651.135557971429,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0001,prefill_medium,1024,64,64,P1,D1,342.0540769584477,56.975415953072826,56.97005384117513,3931.5052820020355,245.7574299769476,3673.6254619900137,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0002,prefill_heavy,2048,64,64,P1,D1,492.84225096926093,58.07105380956763,58.066952984691376,4151.318640972022,391.7302199988626,3750.7119200308807,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0003,decode_medium,128,128,128,P1,D1,195.1372339972295,55.94524846450741,55.94332764561354,7300.183788989671,109.4264549901709,7183.08997398708,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0004,decode_heavy,128,256,256,P1,D1,187.47548398096114,56.029129501970885,56.028106666681374,14474.903506983537,104.0196719695814,14363.000875979196,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0005,balanced_medium,512,128,128,P1,D1,218.69405399775133,56.39121482674927,56.38926091336271,7380.378336994909,132.1615750202909,7240.335417038295,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0006,both_heavy,2048,256,256,P1,D1,474.46181502891704,58.14912205096334,58.148085305868996,15302.48793802457,376.5307539724745,14917.957403988112,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0007,small_light,128,64,64,P1,D1,200.83602395607159,55.950402904907975,55.94403422271301,3725.7114069652744,121.28720799228176,3600.543137989007,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0008,prefill_medium,1024,64,64,P1,D1,310.6956229894422,56.95464666692599,56.950638079017935,3898.8383630057797,223.33684301702306,3671.295973996166,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0009,prefill_heavy,2048,64,64,P1,D1,475.6138809607364,58.07151768304822,58.067942809660934,4134.119494992774,382.3615930159576,3747.768610017374,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0010,decode_medium,128,128,128,P1,D1,188.99624102050439,55.9592208427223,55.95694518901085,7295.817288046237,109.92969799553975,7181.792148970999,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0011,decode_heavy,128,256,256,P1,D1,190.24605298181996,56.0252643646855,56.02414459606413,14476.688465976622,110.65499699907377,14362.136808980722,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0012,balanced_medium,512,128,128,P1,D1,210.16718802275136,56.402659496039476,56.40073740161867,7373.304944019765,129.6611279831268,7239.684419007972,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0013,both_heavy,2048,256,256,P1,D1,456.662600976415,58.14740395301259,58.146319145053695,15284.250608994626,364.6308759925887,14914.87718198914,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0014,small_light,128,64,64,P1,D1,2625.858242972754,58.78113941307963,58.77688138132235,6329.070025996771,127.75005999719724,3779.583299998194,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0015,prefill_medium,1024,64,64,P1,D1,3693.9139379537664,56.96923185753384,56.96515947680122,7282.975544978399,213.9668579911813,3670.6292779999785,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0016,prefill_heavy,2048,64,64,P1,D1,468.5332520166412,58.07105871379405,58.06730257066351,4127.009950985666,374.3549059727229,3748.7393409828655,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0017,decode_medium,128,128,128,P1,D1,188.12310602515936,55.95326817302972,55.95121124399987,7294.188163999934,109.387296019122,7180.62928901054,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0018,decode_heavy,128,256,256,P1,D1,185.14717498328537,56.02912440777337,56.02808299990298,14472.573898965493,107.12869599228725,14361.271250993013,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0019,balanced_medium,512,128,128,P1,D1,233.1502510351129,56.398083913271996,56.396058401712544,7395.706908020657,151.51578997028992,7240.01428403426,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0020,both_heavy,2048,256,256,P1,D1,469.5236819679849,58.14679740384842,58.14576432149967,15296.957019949332,374.22666599741206,14918.541473976802,True,True
phase3c-xpyd_feedback_table_2p2d_255386-0021,small_light,128,64,64,P1,D1,2706.9925139658153,58.779089349425504,58.77496304807239,6410.075142979622,116.57396500231698,3780.405191995669,True,True
